,ws_p,ws_k,complex_spread_ratio,repetition,run,pearson,euclidean,mape
0,0.1,2,0.05,0,0,0.07247098188175677,223.35165822191286,0.3450094610622245
1,0.1,2,0.05,0,1,-0.17160884299556037,189.47514983899967,0.29148462050240037
2,0.1,2,0.05,0,2,-0.3886304063128268,193.18464540712512,0.26626712684477033
3,0.1,2,0.05,0,3,-0.4097143552036439,219.8512152814135,0.3089624839029152
4,0.1,2,0.05,0,4,-0.3588833587876245,197.63066992995496,0.2734736154253086
5,0.1,2,0.05,0,5,-0.3921713197079279,205.16096900460707,0.28813504168525567
6,0.1,2,0.05,0,6,-0.4219014100081755,212.13345996210845,0.2900519761100267
7,0.1,2,0.05,0,7,-0.4253970065834747,197.84141626149662,0.2751903483456587
8,0.1,2,0.05,0,8,-0.3053841583774007,246.5045879038919,0.34899971587076045
9,0.1,2,0.05,0,9,-0.2983424210476647,187.87867358422338,0.2607107728933732
10,0.1,2,0.05,0,10,-0.1815677016398756,221.72460464445433,0.3245376521484222
11,0.1,2,0.05,0,11,-0.024320010522056013,192.4114057734267,0.2583227852428764
12,0.1,2,0.05,0,12,-0.390726589403503,318.20332428109765,0.46910269874581473
13,0.1,2,0.05,0,13,-0.37492999141070094,196.78683715884327,0.27374017601329576
14,0.1,2,0.05,0,14,-0.3601519055586038,197.78964500205754,0.2796953136388552
15,0.1,2,0.05,0,15,0.199074172015093,151.45240069777648,0.20183402605757847
16,0.1,2,0.05,0,16,-0.25141268890465207,204.06134587044315,0.3044644613200654
17,0.1,2,0.05,0,17,-0.14762338223765842,214.0484566526989,0.3073256118034046
18,0.1,2,0.05,0,18,-0.41242465705480685,306.6706555340501,0.4494302818793304
19,0.1,2,0.05,0,19,-0.19817314598806654,220.41187457339683,0.3158925360598019
20,0.1,2,0.05,0,20,-0.38636848674326546,189.103427335198,0.2620425833783084
21,0.1,2,0.05,0,21,-0.4273438896291825,213.0534527130981,0.2958883722714944
22,0.1,2,0.05,0,22,-0.2760370287777422,194.5154740117905,0.2836834096470452
23,0.1,2,0.05,0,23,-0.41365306339530755,202.18284863235718,0.2739721711931882
24,0.1,2,0.05,0,24,-0.35469668380005553,203.3460951238275,0.2877449011753285
25,0.1,2,0.05,0,25,-0.03170276944313167,231.9139489125238,0.34184846962497595
26,0.1,2,0.05,0,26,-0.32060069777846123,221.17875219974135,0.3034194075055345
27,0.1,2,0.05,0,27,-0.3607241331818937,195.7198906113541,0.26843576261550633
28,0.1,2,0.05,0,28,-0.3702914417013187,216.99550218411787,0.300687889706733
29,0.1,2,0.05,1,0,-0.27512601725857305,203.53164223974045,0.29072165973340436
30,0.1,2,0.05,1,1,-0.2532255829570034,204.01783509564495,0.302191018318189
31,0.1,2,0.05,1,2,-0.2536039845029393,207.79263825392562,0.3159005566499722
32,0.1,2,0.05,1,3,-0.30000091840444104,224.51588209213764,0.3349983254660371
33,0.1,2,0.05,1,4,-0.25935625814184166,204.28611107544407,0.30565277208787606
34,0.1,2,0.05,1,5,-0.2725818874489437,212.18809973208286,0.3078712899532899
35,0.1,2,0.05,1,6,-0.20517652582040394,188.79145532746247,0.27798608450986945
36,0.1,2,0.05,1,7,-0.28793502494525924,198.53815197926966,0.28491091078235015
37,0.1,2,0.05,1,8,-0.23311747455536957,186.28150478086687,0.27885204431541294
38,0.1,2,0.05,1,9,-0.29608621186177014,210.1139713932574,0.31760788377851495
39,0.1,2,0.05,1,10,-0.22978325229696947,202.56422943618452,0.3041429814569054
40,0.1,2,0.05,1,11,-0.3038466038362957,206.75114104894328,0.3065133623209068
41,0.1,2,0.05,1,12,-0.26445469014363715,195.6184198250686,0.2925018661504651
42,0.1,2,0.05,1,13,-0.18076769789183345,176.31753349704954,0.2694645214729995
43,0.1,2,0.05,1,14,-0.2993852632888064,198.02275785128322,0.29908175170322715
44,0.1,2,0.05,1,15,-0.22419513515425238,190.14908984652448,0.28874874452643245
45,0.1,2,0.05,1,16,-0.2874325544948156,204.84435119757714,0.2985602451848617
46,0.1,2,0.05,1,17,-0.21280334335487974,202.9743867844833,0.306040619165841
47,0.1,2,0.05,1,18,-0.21655395781385156,208.95487309720184,0.3095776074149425
48,0.1,2,0.05,1,19,-0.25231336062503174,198.52151288843456,0.28643306535483504
49,0.1,2,0.05,1,20,-0.2781827389911465,192.27242771129121,0.27956659599207107
50,0.1,2,0.05,1,21,-0.251287971216481,197.88160078990532,0.2940408958433801
51,0.1,2,0.05,1,22,-0.18709551170815417,189.64690618737515,0.2838449701157215
52,0.1,2,0.05,1,23,-0.20803192864202094,189.80560366495408,0.27980495459898597
53,0.1,2,0.05,1,24,-0.23525069439134474,200.77348993391578,0.30050008978689957
54,0.1,2,0.05,1,25,-0.19968210330773015,173.70510537850782,0.26410213442755825
55,0.1,2,0.05,1,26,-0.21543634803389133,192.6736556904839,0.2878506202002482
56,0.1,2,0.05,1,27,-0.25362365143986515,204.95099078897934,0.3094020952474494
57,0.1,2,0.05,1,28,-0.22047625568896448,229.4793100738112,0.32813246385262435
58,0.1,2,0.05,1,29,-0.22986920242004094,212.1857284388826,0.31989816342493255
59,0.1,2,0.05,2,0,-0.22324440842346363,207.54951418189697,0.27510045231862196
60,0.1,2,0.05,2,1,-0.4983216831711011,238.93338928819662,0.3565842156192282
61,0.1,2,0.05,2,2,-0.3236346983113136,225.33300825736728,0.3032497372629267
62,0.1,2,0.05,2,3,-0.24060677385941157,212.30235934643986,0.2854875919364636
63,0.1,2,0.05,2,4,-0.2587712646459827,214.16420549195038,0.28264214471827626
64,0.1,2,0.05,2,5,-0.2641519436578182,210.00013198749448,0.28834946573774906
65,0.1,2,0.05,2,6,-0.2987021092633195,214.86113051144335,0.290570061520168
66,0.1,2,0.05,2,7,-0.3155977004377915,214.91961088034918,0.284724057761021
67,0.1,2,0.05,2,8,-0.23307564355756774,203.45679133107046,0.2822644609559611
68,0.1,2,0.05,2,9,-0.278786104727572,211.53281954664683,0.2883939972691442
69,0.1,2,0.05,2,10,-0.28412190224098227,227.75923729630722,0.30466091740681983
70,0.1,2,0.05,2,11,-0.25986538449858504,213.66805467092956,0.2894384342572122
71,0.1,2,0.05,2,12,-0.2887666822098563,208.05315797018125,0.28214648368677037
72,0.1,2,0.05,2,13,-0.3198602770579657,223.19470312486524,0.3015600000909794
73,0.1,2,0.05,2,14,-0.2880955549289568,217.30466878186596,0.29208134744354813
74,0.1,2,0.05,2,15,-0.32536010677375604,211.11454295629483,0.27443114826975584
75,0.1,2,0.05,2,16,-0.2555114723784935,203.28423451685305,0.2720910474433664
76,0.1,2,0.05,2,17,-0.2321631807837888,212.84771897827852,0.2782447332736573
77,0.1,2,0.05,2,18,-0.28505770650699896,218.77281415220253,0.2951989630536365
78,0.1,2,0.05,2,19,-0.28348386948948484,220.51140193532993,0.29257188955026997
79,0.1,2,0.05,2,20,-0.2693945290699804,221.28664962318558,0.2983364128927172
80,0.1,2,0.05,2,21,0.003992412563227392,196.7110852572557,0.2818466519507876
81,0.1,2,0.05,2,22,-0.30293185370105374,223.28758969594676,0.2977017392915624
82,0.1,2,0.05,2,23,-0.260832170890635,220.70300931488103,0.29481800867332614
83,0.1,2,0.05,2,24,-0.24597367639916598,202.91302851892934,0.2712987362385021
84,0.1,2,0.05,2,25,-0.2442369737726536,214.09160487898757,0.2836719872220958
85,0.1,2,0.05,2,26,-0.20127942731994233,207.77753509685598,0.2736207871596618
86,0.1,2,0.05,2,27,-0.24259439838580235,208.91061900618138,0.2839811267098829
87,0.1,2,0.05,2,28,-0.2502906926871861,209.72397188841862,0.2878081255618246
88,0.1,2,0.05,2,29,-0.2018341411719232,195.3096153336884,0.2614080147443128
89,0.1,2,0.05,3,0,-0.3248786280395259,220.47543161903718,0.30395337687820856
90,0.1,2,0.05,3,1,-0.2948094731767889,219.60983213761156,0.2996634838822099
91,0.1,2,0.05,3,2,-0.2551113073256097,216.75631599407197,0.2984502691779353
92,0.1,2,0.05,3,3,-0.33744311690863055,189.41906646342136,0.2944080574422487
93,0.1,2,0.05,3,4,-0.32178962333281286,231.90420776778186,0.31650283896601267
94,0.1,2,0.05,3,5,-0.2631638629515203,204.78113226501674,0.27888847598913896
95,0.1,2,0.05,3,6,-0.3000388117841375,226.78988177434562,0.32893304610009894
96,0.1,2,0.05,3,7,-0.29104913864532206,202.36800919767157,0.28131317402390743
97,0.1,2,0.05,3,8,-0.09678306100963711,269.78541008878443,0.40547632678781026
98,0.1,2,0.05,3,9,-0.2675172149814546,218.37269234964222,0.30337661643758046
99,0.1,2,0.05,3,10,-0.21126691884753346,200.1759894894432,0.27118822369699275
100,0.1,2,0.05,3,11,-0.21626247863247228,198.8113590407779,0.27643671544671905
101,0.1,2,0.05,3,12,-0.23047937974652163,219.15134439243056,0.3033001615726635
102,0.1,2,0.05,3,13,-0.3498671011977808,215.62203128058934,0.3061852606370626
103,0.1,2,0.05,3,14,-0.2995165499600174,225.52249568112066,0.3104450403375518
104,0.1,2,0.05,3,15,-0.2810141196357792,205.44095124689443,0.28458345302682986
105,0.1,2,0.05,3,16,-0.2920226816146152,220.98959064437585,0.305930602885824
106,0.1,2,0.05,3,17,-0.26329954872120337,205.05490539852835,0.28497723098189387
107,0.1,2,0.05,3,18,-0.28137945555725824,215.66669135077976,0.29308852728729495
108,0.1,2,0.05,3,19,-0.37475135240587737,236.00054305704592,0.32473237810423133
109,0.1,2,0.05,3,20,-0.33157468509365007,232.71765630012158,0.3299526820142867
110,0.1,2,0.05,3,21,-0.26436908346767896,188.57792859420624,0.2605535940257519
