,ba_m,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
10,3,0.01,3,opinion-timeseries,mod,"[38.       38.7      39.333332 38.566666 38.033333 38.033333 38.033333
 38.066666 38.7      39.       38.566666 38.566666 38.566666 38.566666
 37.566666 37.133335 36.733334 36.666668 36.4      36.133335 35.4
 36.2      36.7      35.866665 34.966667 34.233334 33.733334 34.466667
 34.433334 34.933334 35.366665 36.066666 36.7      37.4      37.2
 37.733334 38.266666 38.666668 38.366665 38.033333 37.6      38.
 37.766666 38.333332 38.466667 38.933334 39.766666 40.466667 40.266666
 39.866665 40.766666 40.933334 40.1      39.333332 38.566666 38.3
 38.3      37.966667 37.533333 37.533333 38.033333 38.2      37.366665
 36.8     ]",-0.11278824844654034,300.28024973807385,0.48294157276569477
11,3,0.01,3,opinion-timeseries,rep,"[44.       45.066666 45.6      44.7      44.7      43.766666 43.4
 43.033333 43.7      44.333332 43.2      43.166668 43.166668 42.633335
 42.6      42.233334 42.2      41.533333 41.466667 41.4      40.933334
 42.066666 42.6      42.6      41.166668 39.966667 38.966667 39.7
 39.7      40.333332 41.166668 41.233334 40.666668 41.133335 41.133335
 41.166668 41.7      41.2      40.366665 39.766666 39.133335 39.733334
 39.533333 40.133335 40.5      40.366665 40.166668 39.666668 39.033333
 39.033333 39.733334 40.9      40.366665 39.866665 39.566666 39.166668
 38.833332 38.833332 38.466667 38.133335 38.133335 38.133335 37.6
 37.6     ]",-0.8682547554913651,190.1502006541974,0.3402111152764253
12,3,0.01,4,opinion-timeseries,dem,"[62.       62.       62.       60.233334 59.5      59.5      59.5
 59.833332 59.833332 59.333332 58.566666 57.866665 57.       57.
 55.6      55.6      54.966667 54.966667 54.6      54.166668 53.066666
 53.066666 52.366665 51.033333 50.1      49.       48.133335 48.133335
 47.666668 47.666668 47.666668 47.666668 47.666668 47.666668 47.166668
 47.933334 47.933334 48.433334 48.433334 48.433334 48.433334 48.366665
 47.533333 46.966667 46.966667 47.8      48.633335 49.766666 50.9
 50.266666 50.1      48.8      48.033333 47.       47.666668 47.666668
 47.666668 47.4      47.4      47.4      47.8      47.833332 47.833332
 47.533333]",-0.9105671420922419,316.160392998541,0.410301564278208
13,3,0.01,4,opinion-timeseries,mod,"[50.       50.466667 51.1      49.933334 49.3      49.3      49.3
 49.366665 49.866665 49.833332 49.166668 49.133335 49.133335 49.133335
 48.233334 47.7      47.266666 47.266666 46.966667 46.466667 45.133335
 45.7      45.966667 44.6      43.8      42.933334 41.933334 42.5
 42.5      43.166668 43.9      44.633335 45.133335 45.633335 45.
 45.333332 45.833332 46.033333 45.733334 45.166668 44.733334 44.8
 44.233334 44.766666 44.7      45.633335 46.1      46.733334 46.266666
 45.8      46.666668 47.266666 46.4      44.966667 44.533333 44.033333
 44.033333 43.666668 43.166668 43.166668 43.1      43.333332 42.233334
 41.7     ]",-0.7391092716855145,240.69208811672493,0.36775018485145156
14,3,0.01,4,opinion-timeseries,rep,"[54.       54.7      55.2      53.833332 53.8      53.       52.333332
 51.966667 52.466667 52.9      52.       51.966667 51.933334 51.2
 51.166668 50.4      50.4      49.066666 49.066666 49.033333 48.633335
 49.166668 49.5      49.466667 47.433334 46.4      45.133335 45.7
 45.7      46.233334 46.733334 46.333332 45.666668 46.233334 46.233334
 46.233334 46.633335 46.266666 45.733334 44.8      44.033333 44.8
 44.4      45.       45.1      44.433334 43.3      42.766666 41.966667
 41.933334 42.433334 43.433334 42.9      42.566666 42.1      41.833332
 41.466667 41.466667 41.133335 41.       41.       41.066666 40.233334
 40.233334]",-0.9051789488942783,156.7564282980277,0.2708818811003881
15,3,0.01,5,opinion-timeseries,dem,"[62.       62.       62.       60.133335 59.433334 59.433334 59.433334
 59.833332 59.833332 59.1      57.633335 57.033333 56.466667 56.466667
 55.266666 55.266666 55.       55.       54.5      53.966667 52.9
 52.9      52.133335 51.133335 50.3      49.333332 48.066666 48.066666
 47.733334 47.733334 47.733334 47.733334 47.733334 47.733334 47.233334
 47.8      47.8      48.466667 48.466667 48.466667 48.466667 48.166668
 47.033333 46.566666 46.566666 47.5      48.733334 49.9      50.9
 50.533333 50.733334 49.833332 48.866665 48.1      48.5      48.5
 48.5      48.3      48.3      48.3      48.533333 48.2      48.2
 47.6     ]",-0.9020397887675444,315.06763908666505,0.4096143944911085
16,3,0.01,5,opinion-timeseries,mod,"[44.       44.733334 45.5      43.966667 43.4      43.366665 43.366665
 43.366665 44.066666 44.166668 43.833332 43.833332 43.833332 43.833332
 42.466667 41.966667 41.633335 41.633335 41.266666 40.733334 39.266666
 39.766666 40.6      39.833332 39.066666 38.033333 36.933334 37.666668
 37.633335 38.4      39.066666 39.633335 40.       40.533333 40.166668
 40.8      41.433334 41.866665 41.366665 41.1      40.566666 40.866665
 40.333332 41.066666 41.466667 42.6      43.5      44.266666 44.033333
 43.6      44.066666 44.3      43.533333 42.866665 42.333332 42.
 42.       41.633335 41.266666 41.266666 41.633335 41.866665 41.3
 40.9     ]",-0.46042563410890425,270.6113310744393,0.42630381352195845
17,3,0.01,5,opinion-timeseries,rep,"[53.       53.766666 54.266666 52.266666 52.233334 51.1      50.7
 50.466667 51.       51.366665 50.333332 50.333332 50.333332 49.9
 49.866665 49.333332 49.333332 48.266666 48.266666 48.266666 47.7
 48.266666 48.666668 48.666668 46.866665 44.866665 43.733334 44.4
 44.366665 45.033333 46.033333 45.466667 45.133335 45.733334 45.733334
 45.733334 46.133335 45.4      44.233334 43.5      42.9      43.533333
 43.2      43.733334 44.1      43.166668 42.033333 41.133335 40.266666
 40.233334 40.766666 41.733334 41.333332 41.033333 40.666668 40.266666
 39.9      39.9      39.5      39.133335 39.133335 39.133335 38.333332
 38.3     ]",-0.8848896324001045,165.74543363681536,0.2861245183633355
18,3,0.01,6,opinion-timeseries,dem,"[61.       61.       61.       58.666668 57.9      57.9      57.9
 58.3      58.3      57.6      56.466667 55.933334 55.433334 55.433334
 54.5      54.5      53.866665 53.866665 53.2      53.       51.866665
 51.866665 51.2      50.533333 49.266666 48.133335 47.133335 47.133335
 46.533333 46.533333 46.533333 46.533333 46.533333 46.533333 46.2
 46.9      46.9      47.4      47.4      47.4      47.4      47.5
 46.566666 46.166668 46.166668 47.166668 47.933334 48.9      49.966667
 49.266666 49.3      48.266666 47.166668 46.3      46.766666 46.766666
 46.766666 46.366665 46.366665 46.366665 46.533333 46.566666 46.566666
 46.133335]",-0.9107348167575634,324.2049923428103,0.42314898182239424
19,3,0.01,6,opinion-timeseries,mod,"[46.       46.433334 47.       46.       45.5      45.5      45.5
 45.5      46.2      46.466667 45.933334 45.933334 45.933334 45.933334
 45.133335 44.633335 44.133335 44.133335 43.766666 43.4      42.133335
 42.933334 43.433334 42.533333 41.833332 41.066666 39.933334 40.2
 40.166668 40.8      41.4      41.833332 42.333332 43.133335 42.733334
 43.433334 44.166668 44.033333 43.766666 43.333332 43.       43.2
 42.633335 43.366665 43.033333 43.5      44.4      45.       44.566666
 44.133335 44.366665 44.4      43.466667 42.533333 42.266666 42.
 42.       41.4      40.966667 40.966667 40.966667 41.233334 40.033333
 39.6     ]",-0.6466281325531459,258.6098055115743,0.4031126754778702
