,ba_m,complex_spread_ratio,group_homophily,repetition,run,pearson,euclidean,mape
0,3,0.75,0.75,7,0,,208.0988832328727,0.3199019720265479
1,3,0.75,0.75,7,1,,213.20364245640727,0.32632559698097363
2,3,0.75,0.75,7,2,,194.43496437086569,0.29214149334064704
3,3,0.75,0.75,7,3,,180.59418025723582,0.27425229962226805
4,3,0.75,0.75,7,4,,215.60404484511082,0.3386540055913782
5,3,0.75,0.75,7,5,,208.0988832328727,0.3199019720265479
6,3,0.75,0.75,7,6,,208.0988832328727,0.3199019720265479
7,3,0.75,0.75,7,7,,215.61787223371178,0.3360065759747389
8,3,0.75,0.75,7,8,,203.8865281749885,0.3190041940064799
9,3,0.75,0.75,7,9,,208.0988832328727,0.3199019720265479
10,3,0.75,0.75,7,10,,180.59418025723582,0.27425229962226805
11,3,0.75,0.75,7,11,,208.0988832328727,0.3199019720265479
12,3,0.75,0.75,7,12,,208.9119412906102,0.3211508245902242
13,3,0.75,0.75,7,13,,193.568034321517,0.29221457511186766
14,3,0.75,0.75,7,14,,180.59418025723582,0.27425229962226805
15,3,0.75,0.75,7,15,,208.0988832328727,0.3199019720265479
16,3,0.75,0.75,7,16,,180.59418025723582,0.27425229962226805
17,3,0.75,0.75,7,17,,231.34422718903798,0.353326174782598
18,3,0.75,0.75,7,18,,168.2180660371237,0.25060615349570387
19,3,0.75,0.75,7,19,,180.59418025723582,0.27425229962226805
20,3,0.75,0.75,8,0,,203.1692562823999,0.30888429821062435
21,3,0.75,0.75,8,1,,185.90571726781013,0.2870918062812706
22,3,0.75,0.75,8,2,,153.66956525066533,0.2328827686898927
23,3,0.75,0.75,8,3,,206.27956747628073,0.3157973341833039
24,3,0.75,0.75,8,4,,186.3162680013351,0.2877680328353021
25,3,0.75,0.75,8,5,,171.22207020374424,0.25934787102816514
26,3,0.75,0.75,8,6,,185.90571726781013,0.2870918062812706
27,3,0.75,0.75,8,7,,203.1692562823999,0.30888429821062435
28,3,0.75,0.75,8,8,,196.24282813400342,0.2993514828157071
29,3,0.75,0.75,8,9,,170.63849896760564,0.26629042763811483
30,3,0.75,0.75,8,10,,190.1576184576013,0.286908259812706
31,3,0.75,0.75,8,11,,155.7419554542763,0.23533121667591528
32,3,0.75,0.75,8,12,,185.90571726781013,0.2870918062812706
33,3,0.75,0.75,8,13,,203.1692562823999,0.30888429821062435
34,3,0.75,0.75,8,14,,170.63849896760564,0.26629042763811483
35,3,0.75,0.75,8,15,,199.1539521922543,0.3047746450270889
36,3,0.75,0.75,8,16,,167.3855892889205,0.2528482854781895
37,3,0.75,0.75,8,17,,170.25579406604564,0.2563796508380917
