,ba_m,simple_spread_chance,repetition,run,pearson,euclidean,mape
0,3,0.01,0,0,-0.5869458688685459,232.37569788798052,0.34536054858822357
1,3,0.01,0,1,-0.7095016804187168,221.39578577388326,0.32854299310995777
2,3,0.01,0,2,-0.8261890704774958,254.87053445141234,0.3713502515029379
3,3,0.01,0,3,-0.40351832088134215,276.4567435371772,0.43826350067293957
4,3,0.01,0,4,-0.5332268333132165,213.17204623145605,0.31690635242304904
5,3,0.01,0,5,-0.6076327962232326,231.0342417280358,0.33926675024886016
6,3,0.01,0,6,-0.5945792298825922,216.74682591253085,0.3198613744340935
7,3,0.01,0,7,-0.7671247018525146,223.26737368811993,0.33381839824897996
8,3,0.01,0,8,-0.6256480023796236,242.34795575160103,0.359183332056461
9,3,0.01,0,9,-0.737950042838391,218.98123634478318,0.3241760937428804
10,3,0.01,0,10,-0.6511455725759524,239.62711081770735,0.35541211620037966
11,3,0.01,0,11,-0.7053998657343157,251.490930082169,0.37180669746236766
12,3,0.01,0,12,-0.8204081931181987,262.7810110395546,0.3939138185688565
13,3,0.01,0,13,-0.5054389758434593,238.43096814713394,0.35786284762014436
14,3,0.01,0,14,-0.8837257000328514,253.49832959097333,0.3773605489782983
15,3,0.01,0,15,-0.5890871970331307,199.44183005057536,0.3014438675387121
16,3,0.01,0,16,-0.7983205587171419,249.2344658550708,0.37257280488727545
17,3,0.01,0,17,-0.4377168860557353,262.10101147523443,0.40163526194495186
18,3,0.01,0,18,-0.7211426396420445,230.2234267503937,0.341744861824296
19,3,0.01,0,19,-0.6581891066466902,262.5560006566895,0.40082863503601623
20,3,0.01,0,20,-0.7235880495980688,238.91064219189056,0.35474273047427496
21,3,0.01,0,21,-0.47289845518645657,262.5815228796011,0.40700293964178874
22,3,0.01,0,22,-0.7600009210212177,248.1446074828372,0.37434245438436564
23,3,0.01,0,23,-0.8051307373545838,248.44460382704696,0.37555932340459625
24,3,0.01,0,24,-0.8977457620678129,273.3232160639093,0.414118296379967
25,3,0.01,0,25,-0.36625103488986915,249.47588597004952,0.38317868628102447
