,er_p,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
10,0.05,0.05,3,opinion-timeseries,mod,"[35.       86.933334 87.       76.1      76.1      28.3      28.3
 76.166664 83.566666 84.       34.933334 33.466667 30.566668 30.566668
 29.766666 29.6      29.6      22.       22.       22.       22.
 75.333336 83.26667  31.166666 22.       22.       22.       75.36667
 75.36667  83.433334 84.       80.76667  77.26667  83.4      32.633335
 79.1      83.73333  83.833336 34.366665 22.733334 22.       75.63333
 75.63333  79.2      83.73333  84.       84.       84.       68.36667
 58.866665 84.       84.       69.4      59.8      83.066666 65.6
 65.6      65.6      57.933334 57.933334 83.1      84.       35.333332
 22.966667]",0.06543175394092285,241.91279468220668,0.32324575057046995
11,0.05,0.05,3,opinion-timeseries,rep,"[4.7000000e+01 1.0000000e+02 1.0000000e+02 9.8666664e+01 9.8666664e+01
 2.4000001e+00 2.4000001e+00 9.9266670e+01 1.0000000e+02 1.0000000e+02
 4.3666668e+00 2.9333334e+00 1.0666667e+00 1.0666667e+00 3.0000001e-01
 6.6666670e-02 6.6666670e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 9.8966667e+01 1.0000000e+02 1.9666667e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 9.9000000e+01 9.9000000e+01 1.0000000e+02
 1.0000000e+02 9.9699997e+01 9.9500000e+01 1.0000000e+02 4.3666668e+00
 9.9400002e+01 1.0000000e+02 1.0000000e+02 4.1666665e+00 0.0000000e+00
 0.0000000e+00 9.8800003e+01 9.8800003e+01 7.6533333e+01 1.0000000e+02
 1.0000000e+02 1.0000000e+02 1.0000000e+02 4.4099998e+01 1.0366667e+01
 1.0000000e+02 1.0000000e+02 3.9833332e+01 1.0466666e+01 9.9933334e+01
 3.8066666e+01 3.8066666e+01 3.8066666e+01 8.3999996e+00 8.3999996e+00
 9.9633331e+01 1.0000000e+02 5.1999998e+00 3.3333335e-02]",0.010111708180851843,381.2341380961399,0.7259448956788246
12,0.05,0.05,4,opinion-timeseries,dem,"[ 63.          63.          63.           0.           0.
   0.           0.          98.63333     98.63333     98.63333
  98.63333     98.63333     98.63333     98.63333     98.63333
  98.63333     98.63333     98.63333     98.63333     98.63333
   0.           0.         100.           0.16666667   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  98.96667     98.96667    100.         100.         100.
 100.          98.833336    98.833336    98.833336    98.833336
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.           0.        ]",0.3151649779652318,382.89907887617676,0.3588947198602134
13,0.05,0.05,4,opinion-timeseries,mod,"[49.       77.       77.       56.133335 56.133335 17.566668 17.566668
 55.6      61.866665 62.       17.766666 17.766666 17.766666 17.766666
 17.766666 17.766666 17.766666 17.       17.       17.       16.
 55.666668 62.       17.1      16.       16.       16.       55.833332
 55.833332 61.833332 62.       56.333332 56.366665 61.866665 16.7
 55.833332 61.766666 62.       16.766666 16.       16.       55.533333
 55.533333 61.8      62.       62.       62.       62.       62.
 62.       62.       62.       62.       62.       62.       62.
 62.       62.       62.       62.       62.       62.       16.6
 16.      ]",0.04535246433110653,295.5223361493508,0.41312743315307077
14,0.05,0.05,4,opinion-timeseries,rep,"[ 50.         100.         100.          96.          96.
   0.53333336   0.53333336  95.9        100.         100.
   1.2666667    1.2666667    1.2666667    1.2666667    1.2666667
   1.2666667    1.2666667    0.           0.           0.
   0.          95.53333    100.           1.4666667    0.
   0.           0.          96.          96.         100.
 100.          96.433334    96.23333    100.           1.1
  96.166664   100.         100.           1.0333333    0.
   0.          96.1         96.1        100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.           1.2666667    0.        ]",0.2181892178523709,368.0102200029616,0.7029972291872657
15,0.05,0.05,5,opinion-timeseries,dem,"[ 62.         62.         62.          0.          0.          0.
   0.         99.6        99.6        99.6        99.6        99.6
  99.6        99.6        99.6        99.6        99.6        99.6
  99.6        99.6         0.          0.        100.          1.1333333
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.         99.76667
  99.76667   100.        100.        100.        100.         99.03333
  99.03333    99.03333    99.03333   100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.          0.       ]",0.31428349240174097,383.27243702352615,0.3621802773473551
16,0.05,0.05,5,opinion-timeseries,mod,"[42.       87.       87.       77.23333  77.23333  28.2      28.2
 77.066666 81.96667  82.9      33.433334 33.433334 33.433334 33.433334
 33.433334 33.433334 33.433334 21.233334 21.233334 21.233334 19.233334
 72.6      82.36667  31.       19.9      19.033333 19.       72.63333
 72.63333  80.46667  82.7      80.36667  79.833336 82.63333  32.933334
 80.5      82.96667  83.       33.       22.933332 20.333334 72.666664
 72.666664 81.53333  83.433334 85.933334 86.       86.       86.
 86.       86.       86.       86.       86.       86.       86.
 86.       86.       86.       86.       86.       86.       37.066666
 24.166666]",0.1397340762462564,236.87205385140606,0.30368062030854825
17,0.05,0.05,5,opinion-timeseries,rep,"[44.         99.         99.         96.666664   96.666664    2.5666666
  2.5666666  97.26667    98.         98.          4.2         4.2
  4.2         4.2         4.2         4.2         4.2         0.
  0.          0.          0.         96.1        98.          3.7
  0.          0.          0.         96.4        96.4        98.
 98.         97.1        97.2        98.          3.6666667  97.26667
 98.         98.          3.7666667   0.          0.         96.666664
 96.666664   98.         98.         98.         98.         98.
 98.         98.         98.         98.         98.         98.
 98.         98.         98.         98.         98.         98.
 98.         98.          5.0333333   0.16666667]",0.21650952537064402,357.8789790585698,0.680346127319397
18,0.05,0.05,6,opinion-timeseries,dem,"[ 63.        63.        63.         0.         0.         0.
   0.        98.73333   98.73333   98.73333   98.73333   98.73333
  98.73333   98.73333   98.73333   98.73333   98.73333   98.73333
  98.73333   98.73333    0.         0.       100.         0.3
   0.         0.         0.         0.         0.         0.
   0.         0.         0.         0.         0.        98.333336
  98.333336 100.       100.       100.       100.        97.86667
  97.86667   97.86667   97.86667  100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.         0.      ]",0.3139801930646301,382.86451418139535,0.3582649889625824
19,0.05,0.05,6,opinion-timeseries,mod,"[42.       79.       79.       59.233334 59.233334 15.766666 15.766666
 60.866665 68.46667  69.       17.5      17.5      17.5      17.5
 17.5      17.5      17.5      13.       13.       13.       13.
 58.1      69.       17.566668 13.       13.       13.       59.5
 59.5      67.933334 69.       63.533333 62.9      68.63333  17.166666
 63.6      68.666664 69.       17.366667 13.366667 13.       58.666668
 58.666668 68.       69.       69.       69.       69.       69.
 69.       69.       69.       69.       69.       69.       69.
 69.       69.       69.       69.       69.       69.       17.266666
 13.266666]",0.09862196418042353,292.50389331085853,0.38622807399769843
20,0.05,0.05,6,opinion-timeseries,rep,"[ 43.         100.         100.          93.13333     93.13333
   0.26666668   0.26666668  94.566666    98.933334    99.
   0.46666667   0.46666667   0.46666667   0.46666667   0.46666667
   0.46666667   0.46666667   0.           0.           0.
   0.          93.          99.           0.5          0.
   0.           0.          92.933334    92.933334    99.
  99.          96.03333     94.933334    98.96667      0.23333333
  94.833336    98.96667     99.           0.53333336   0.
   0.          92.8         92.8         98.9         99.
  99.          99.          99.          99.          99.
  99.          99.          99.          99.          99.
  99.          99.          99.          99.          99.
  99.          99.           0.46666667   0.        ]",0.22563929312691972,364.73863600545434,0.6899313351827281
21,0.05,0.05,7,opinion-timeseries,dem,"[ 61.          61.          61.           0.           0.
   0.           0.          99.666664    99.666664    99.666664
  99.666664    99.666664    99.666664    99.666664    99.666664
  99.666664    99.666664    99.666664    99.666664    99.666664
   0.           0.         100.           0.73333335   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  99.666664    99.666664   100.         100.         100.
 100.          99.13333     99.13333     99.13333     99.13333
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.           0.        ]",0.316642910436442,383.4537539623666,0.3631351570927428
22,0.05,0.05,7,opinion-timeseries,mod,"[41.       85.       85.       72.3      72.3      24.1      24.1
 74.8      78.96667  79.       26.866667 26.866667 26.866667 26.866667
 26.866667 26.866667 26.866667 18.       18.       18.       18.
 71.666664 79.       26.4      18.       18.       18.       72.
 72.       78.96667  79.       74.833336 74.333336 79.       26.266666
 74.666664 79.       79.       26.066668 18.4      18.       70.9
 70.9      78.933334 79.       79.       79.       79.       79.
 79.       79.       79.       79.       79.       79.       79.
 79.       79.       79.       79.       79.       79.       26.433332
 18.433332]",0.11240611992148364,254.43547163361117,0.3079526197443696
23,0.05,0.05,7,opinion-timeseries,rep,"[ 45.        100.        100.         96.5        96.5         2.7333333
   2.7333333  97.7       100.        100.          3.7333333   3.7333333
   3.7333333   3.7333333   3.7333333   3.7333333   3.7333333   0.
   0.          0.          0.         95.46667   100.          3.2666667
   0.          0.          0.         95.36667    95.36667   100.
 100.         97.73333    97.73333   100.          4.4666667  98.166664
 100.        100.          4.0333333   0.          0.         96.166664
  96.166664  100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.          3.8333333   0.       ]",0.2217247811715065,363.3777461945146,0.6944961887973782
24,0.05,0.05,8,opinion-timeseries,dem,"[ 61.          61.          61.           0.           0.
   0.           0.          98.53333     98.53333     98.53333
  98.53333     98.53333     98.53333     98.53333     98.53333
  98.53333     98.53333     98.53333     98.53333     98.53333
   0.           0.         100.           0.23333333   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  98.73333     98.73333    100.         100.         100.
 100.          98.23333     98.23333     98.23333     98.23333
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.           0.        ]",0.3205002373507045,382.8941145231024,0.3595452771512242
25,0.05,0.05,8,opinion-timeseries,mod,"[46.       85.       85.       59.066666 59.066666 15.1      15.1
 56.9      64.96667  66.666664 16.2      16.2      16.2      16.2
 16.2      16.2      16.2      14.       14.       14.       14.
 56.1      66.6      15.733334 14.       14.       14.       55.266666
 55.266666 64.6      66.433334 59.266666 56.8      65.1      15.7
 57.733334 65.166664 66.73333  16.533333 14.033334 14.       56.4
 56.4      64.666664 66.63333  67.       67.       67.       67.
 67.       67.       67.       67.       67.       67.       67.
 67.       67.       67.       67.       67.       67.       16.333334
 14.2     ]",0.0569927556868397,298.6839745538572,0.40580667409069326
