,ba_m,simple_spread_chance,group_homophily,repetition,run,pearson,euclidean,mape
0,3,0.01,0.1,0,0,-0.591481606682788,254.09270031280766,0.38423448491057205
1,3,0.01,0.1,0,1,-0.5395695838233999,250.85626174483357,0.37817623240698484
2,3,0.01,0.1,0,2,-0.6241889214130313,240.6262486019124,0.3656241240999203
3,3,0.01,0.1,0,3,-0.3979242415712483,216.1275368718287,0.3196546833068989
4,3,0.01,0.1,0,4,-0.8138377166761548,286.00520319960856,0.42493616347004576
5,3,0.01,0.1,0,5,-0.7396657155682682,286.8255403495462,0.4383854200980631
6,3,0.01,0.1,0,6,-0.7211422609195667,273.4769395217773,0.41284497029038897
7,3,0.01,0.1,0,7,-0.668409102763451,266.65057077409335,0.3988995747225364
8,3,0.01,0.1,0,8,-0.41947857862797155,226.24045185512855,0.33134965494238333
9,3,0.01,0.1,0,9,-0.5538409118177404,256.6154802231011,0.3790107280971015
10,3,0.01,0.1,0,10,-0.5361611367526125,275.96134475416414,0.41263088854383057
11,3,0.01,0.1,0,11,-0.5073501799767705,258.2021397669108,0.3941864625425692
12,3,0.01,0.1,0,12,-0.5643079066172976,246.8160304627247,0.36399681934131006
13,3,0.01,0.1,0,13,-0.7636515130485039,244.05477633851805,0.3586005589930798
14,3,0.01,0.1,0,14,-0.49014957482665605,244.4482210622866,0.36945609131099566
15,3,0.01,0.1,0,15,-0.6777192697927985,270.3785680697462,0.41458360229308244
16,3,0.01,0.1,0,16,-0.6880280449695437,262.53484443271833,0.39982655045830134
17,3,0.01,0.1,0,17,-0.5376841358565976,242.62674099900195,0.3608274912032939
18,3,0.01,0.1,0,18,-0.6750620246342652,235.7860775032375,0.3416889329947133
19,3,0.01,0.1,0,19,-0.4425273696896064,243.84588949512025,0.3738578755126268
20,3,0.01,0.1,0,20,-0.48042170076101315,225.62460141194686,0.34039821588719477
21,3,0.01,0.1,0,21,-0.42744823360649087,234.5198579174141,0.3552087232441994
22,3,0.01,0.1,0,22,-0.7586020540531231,277.92487894844754,0.4171318269255937
23,3,0.01,0.1,0,23,-0.42965010301144596,263.9023277076675,0.4041973819262461
24,3,0.01,0.1,0,24,-0.7035751453893084,261.6233443388607,0.3929642928100281
25,3,0.01,0.1,0,25,-0.5008401349299881,250.27630631001526,0.37483729763125
26,3,0.01,0.1,0,26,-0.7467108894882553,282.2164193186574,0.4208716660718896
27,3,0.01,0.1,0,27,-0.7846322979656267,266.2707553493242,0.3968296788772043
28,3,0.01,0.1,0,28,-0.530912139108209,237.79533902106417,0.3546982813683326
29,3,0.01,0.1,0,29,-0.44254675015118367,267.15189908383076,0.4068330481055768
30,3,0.01,0.1,1,0,-0.5141918099305843,272.918155955509,0.4226037472843036
31,3,0.01,0.1,1,1,-0.7683300528676936,251.2495543921896,0.37624151593290084
32,3,0.01,0.1,1,2,-0.7254356214946851,251.58272165308173,0.37521562158497196
33,3,0.01,0.1,1,3,-0.6757147927331318,247.0331158639054,0.37730071326665443
34,3,0.01,0.1,1,4,-0.665448454597111,210.13575133301967,0.3153629948822504
35,3,0.01,0.1,1,5,-0.7409914375160755,240.90112376413063,0.3567262797786121
36,3,0.01,0.1,1,6,-0.2788760297708253,262.67684686802085,0.3966137912758337
37,3,0.01,0.1,1,7,-0.715463677719489,224.50292263093044,0.32876951960582446
38,3,0.01,0.1,1,8,-0.4890406060381956,239.6236995984406,0.35495868520404716
39,3,0.01,0.1,1,9,-0.4012206700024623,230.51297737428555,0.35179687671022414
40,3,0.01,0.1,1,10,-0.5884628643892679,220.45387409311456,0.32836199576468994
41,3,0.01,0.1,1,11,-0.6120188879090881,259.3687701392668,0.39010227836899586
42,3,0.01,0.1,1,12,-0.7713776644274768,258.4571971787106,0.39503697339544736
43,3,0.01,0.1,1,13,-0.5925936317955952,261.9287420128014,0.39987824572521585
44,3,0.01,0.1,1,14,-0.4423388424416154,272.68163399315705,0.4108427082467632
45,3,0.01,0.1,1,15,-0.8740183564337437,294.9717669585159,0.44590098897499814
46,3,0.01,0.1,1,16,-0.7856973726726219,257.68720573960394,0.39344606587528547
47,3,0.01,0.1,1,17,-0.49338861863977757,228.64437762815976,0.34523023458988317
48,3,0.01,0.1,1,18,-0.502108174902865,230.4373580500777,0.34679471928758504
49,3,0.01,0.1,1,19,-0.7535016048406048,268.9319976994339,0.41191892805429137
50,3,0.01,0.1,1,20,-0.47868865038856184,234.96044060500753,0.3566568825376715
51,3,0.01,0.1,1,21,-0.5751588641254578,256.38342326880144,0.390530521659848
52,3,0.01,0.1,1,22,-0.44652148515139717,240.90101600137965,0.3630423515491465
53,3,0.01,0.1,1,23,-0.7457555651675092,247.6970513183901,0.3627969706749985
54,3,0.01,0.1,1,24,-0.8318602469935454,279.1111309305214,0.4097859013668254
55,3,0.01,0.1,1,25,-0.40444824756303066,250.3844052837991,0.3774666429626437
56,3,0.01,0.1,1,26,-0.8058116530114806,271.24318082932086,0.40515795500173946
57,3,0.01,0.1,1,27,-0.6233404657148085,249.74672600889406,0.3813894176739791
58,3,0.01,0.1,1,28,-0.6622153883415557,258.6464739352316,0.40403078404294607
59,3,0.01,0.1,1,29,-0.5047961387255963,269.14034860308806,0.4123616837065496
60,3,0.01,0.1,2,0,-0.8710818824912657,287.21922602218683,0.43774777057135345
61,3,0.01,0.1,2,1,-0.5055996605861609,234.7578310180805,0.3470483058260574
62,3,0.01,0.1,2,2,-0.3910349686580825,252.11513847533368,0.3829906076024436
63,3,0.01,0.1,2,3,-0.611590593063114,245.32393927207792,0.3649595204305743
64,3,0.01,0.1,2,4,-0.7056043412672679,255.82806102706263,0.38311808387383667
65,3,0.01,0.1,2,5,-0.6736620200680669,283.4782901844473,0.4280675945189052
