,ba_m,cognitive_translate,cognitive_exponent,repetition,pearson,euclidean,mape
0,3,0,1,0,-0.2539802473168717,334.37826968763943,0.4900002893814885
1,3,0,1,1,-0.26269376071313744,331.37913137594217,0.48489221976108055
2,3,0,1,2,-0.26025651564171093,332.82172890401074,0.4859037036518819
3,3,0,1,3,-0.18313178905875435,334.36198975787966,0.49150978949741714
4,3,0,1,4,-0.24883136243896095,329.34987000222986,0.48225241589358014
5,3,0,1,5,-0.2600064436172777,336.206182932176,0.49414345605413973
6,3,0,1,6,-0.17350143888061634,336.4956443022811,0.4950125404717798
7,3,0,1,7,-0.2606377050354575,332.3299874335698,0.4860522513552261
8,3,0,1,8,-0.18367189675418336,331.8800696492449,0.486609035416409
9,3,0,1,9,-0.25614937092878604,335.3781759013713,0.4913088847457905
10,3,0,2,0,-0.15828911406313226,220.99155170090856,0.3117277950501259
11,3,0,2,1,-0.14149991952257054,223.60683447432817,0.317346147489215
12,3,0,2,2,-0.15073484787430294,224.82657340621293,0.31824007672816707
13,3,0,2,3,-0.1390680244140045,223.87128020311613,0.31714350341288844
14,3,0,2,4,-0.21122775583075612,213.04583760445692,0.2974069708588895
15,3,0,2,5,-0.12294671670571787,223.51297472405864,0.3170389614899389
16,3,0,2,6,-0.128183193820413,229.8892589818378,0.325322610360172
17,3,0,2,7,-0.17905392732923667,213.2519447281858,0.2999912308645925
18,3,0,2,8,-0.09407232583982783,228.581411398838,0.32877218625295973
19,3,0,2,9,-0.202944996663869,220.87128665125007,0.31199343546682007
20,3,0,3,0,-0.23512018751391986,172.21364488608563,0.2502942587570377
21,3,0,3,1,0.033278998606020106,194.42401783976098,0.28697108286335404
22,3,0,3,2,0.04756258637744764,173.14797396532256,0.2541999758409494
23,3,0,3,3,0.19140387034263492,208.82649219574583,0.3135562325131966
24,3,0,3,4,0.12374801580418694,186.7391812402352,0.2783964646552134
25,3,0,3,5,0.13555283882688565,195.26265271643774,0.29016571426068455
26,3,0,3,6,-0.06364013576292489,168.4836087793972,0.24505977642679178
27,3,0,3,7,0.020649728896902936,207.28090486998158,0.3102995263872306
28,3,0,3,8,0.0999373431089108,175.78779363547787,0.2561004310440238
29,3,0,3,9,-0.047051113728731796,180.07236338867088,0.2664126999942522
30,3,0,4,0,0.24833455819566508,153.93067850118808,0.2275298669558924
31,3,0,4,1,0.1503432133749544,168.25326801769785,0.256319529952354
32,3,0,4,2,0.21598448124436564,176.80794062694363,0.2645448048125815
33,3,0,4,3,0.10613986716720236,177.06579867170151,0.26568558445995877
34,3,0,4,4,0.09774221563832358,167.66255271569221,0.2518170566830173
35,3,0,4,5,0.16111963745634453,175.26758472715233,0.2603943876532887
36,3,0,4,6,0.3286610690445551,203.3657724824061,0.30973784820570077
37,3,0,4,7,0.2238732942969437,181.78622706417096,0.2754520700879531
38,3,0,4,8,0.24906401687261545,202.48366916072868,0.31069239653473385
39,3,0,4,9,0.15031777732221493,161.79172568356785,0.2453943117744679
40,3,0,5,0,0.26538364050282376,180.9445391376221,0.2818279069887723
41,3,0,5,1,0.27927370049603534,202.92829538472776,0.320471025617253
42,3,0,5,2,0.21485633755415226,181.5631584477063,0.27726609873512537
43,3,0,5,3,0.3178141409407278,211.91705434275022,0.32232955877973524
44,3,0,5,4,0.22378983718658232,188.67012927442184,0.28644563515869237
45,3,0,5,5,0.22611543172124549,190.48222821543132,0.28590021715345754
46,3,0,5,6,0.14102429921530504,168.16925349303764,0.25387222676236537
47,3,0,5,7,0.38141317689437476,203.37081117092728,0.3130557433464488
48,3,0,5,8,0.158844544988103,176.63081744028486,0.268759516219905
49,3,0,5,9,0.3219949131068684,206.86298587222072,0.3297566387453548
50,3,1,1,0,-0.05003504012482853,388.5881416041928,0.57297312500075
51,3,1,1,1,-0.05551256576817592,386.3111297500675,0.567502673063171
52,3,1,1,2,-0.06450120919152587,386.78833563422614,0.5715654355953556
53,3,1,1,3,-0.08047075572243155,383.9629007763685,0.5646561708200334
54,3,1,1,4,-0.08715420283320892,386.6007067433336,0.5688176225164365
55,3,1,1,5,-0.021660394457810674,388.7575241027002,0.5755368208297017
56,3,1,1,6,-0.05623989125245663,388.5118242605881,0.5732742580754979
57,3,1,1,7,-0.090192499890292,385.5197296335961,0.5679143153591731
58,3,1,1,8,-0.06404967634668213,388.9621533362004,0.575247308623637
59,3,1,1,9,-0.08951262448658028,387.58581393102645,0.5705975990361861
60,3,1,2,0,-0.07796521756429375,330.1888557621249,0.47522147743261794
61,3,1,2,1,-0.10078180586097936,326.1575342636383,0.46689352292208874
