,ba_m,cognitive_translate,cognitive_exponent,repetition,pearson,euclidean,mape
62,3,1,2,2,-0.08469366730495942,325.56175646304854,0.4654058155523044
63,3,1,2,3,-0.046344266285527756,327.4528817695511,0.4697363053365607
64,3,1,2,4,-0.07861475646157444,326.0712363261269,0.46706794389148915
65,3,1,2,5,-0.10589481884390843,328.3974069093415,0.4719130787612568
66,3,1,2,6,-0.0939966815608181,327.44102818403206,0.4706753953544534
67,3,1,2,7,-0.10390587481230296,321.3946447605534,0.45774800815836586
68,3,1,2,8,-0.10800528182757524,328.18230422309153,0.47064831835438375
69,3,1,2,9,-0.0990348469293299,320.4297962328083,0.455080038690819
70,3,1,3,0,0.0030044767671808686,285.4620718708081,0.38451193984698245
71,3,1,3,1,-0.024199914595726207,286.352388435834,0.38658246789755296
72,3,1,3,2,0.0019529809182636387,293.24404201282755,0.4047170554971769
73,3,1,3,3,0.024741125526186764,289.4540083088345,0.39454119559916245
74,3,1,3,4,-0.006264330419750168,289.92284193128324,0.39612041506036805
75,3,1,3,5,-0.026480616353302382,289.372833566103,0.39414714211832563
76,3,1,3,6,-0.048688492016079866,291.6609843482653,0.40218341287904763
77,3,1,3,7,-0.00022888856945453331,292.4377042343761,0.4028365074436473
78,3,1,3,8,-0.002410693769558797,285.17383864327445,0.38545879003491207
79,3,1,3,9,-0.0017501200163985407,288.90275956184416,0.39250982168974374
80,3,1,4,0,0.01055742083928122,273.74576678463,0.3592380509855748
81,3,1,4,1,0.06707418096377296,271.1532699923678,0.3536110286766063
82,3,1,4,2,0.03465451555089691,278.17291569118714,0.369974283393566
83,3,1,4,3,0.04233375089827044,275.2588013992134,0.3624330190545179
84,3,1,4,4,0.0722821923154195,275.99968048365423,0.36379481038774863
85,3,1,4,5,0.04429563248312906,270.76299559632616,0.35421641475993404
86,3,1,4,6,0.03365219596832907,271.3448995404613,0.35276334984714075
87,3,1,4,7,0.07181283304378486,271.12190092040174,0.35232840793857195
88,3,1,4,8,0.05659510456582037,275.2997438895671,0.3602881054208715
89,3,1,4,9,0.04669164128539583,272.4138257773357,0.35567801384440584
90,3,1,5,0,0.06395105741697507,266.7162120471931,0.34077926246128326
91,3,1,5,1,0.061671831325331765,264.58746428329385,0.3394448058183281
92,3,1,5,2,0.053277698774766125,266.62768721811057,0.3439153752412551
93,3,1,5,3,0.09236952288438816,263.58043234902965,0.33469282924544647
94,3,1,5,4,0.041470804675113764,263.63057840850644,0.33841452884964607
95,3,1,5,5,0.07190101599432756,266.7254516942935,0.3409076330765637
96,3,1,5,6,0.05787544355176146,268.30854448530016,0.3454752731920699
97,3,1,5,7,0.059140619804434164,268.6207941895929,0.34633665650093864
98,3,1,5,8,0.054155579638329676,265.7822431226953,0.3387093941443868
99,3,1,5,9,0.07076281171636069,265.4948026501667,0.337935887583104
100,3,2,1,0,0.014258332212321229,428.7847675527605,0.6241088348656869
101,3,2,1,1,0.02901143925273331,427.9767997033412,0.6255578432699936
102,3,2,1,2,0.024435119862262936,428.10918957932586,0.625822806519437
103,3,2,1,3,0.0003556745444890635,427.7316148838566,0.622498636922773
104,3,2,1,4,0.02399571354264016,428.31364973475803,0.6246299009925893
105,3,2,1,5,0.03220289358635803,428.14006964281845,0.6260022397591003
106,3,2,1,6,0.0340072088760584,429.5152273254616,0.6281008832616287
107,3,2,1,7,0.016658126076690764,429.3241346942828,0.6268101471679314
108,3,2,1,8,0.02956552304034787,428.5975769322741,0.6261178111973583
109,3,2,1,9,0.014030038564207334,428.5509651676811,0.624427339875021
110,3,2,2,0,0.008705871150958321,416.2683147975625,0.5931324103997813
111,3,2,2,1,0.0032888070240936853,417.21299853122076,0.596569527459552
112,3,2,2,2,-0.002442272175303649,414.56621029907143,0.589005884374513
113,3,2,2,3,0.006816540883005616,415.79205210322294,0.5935612597283338
114,3,2,2,4,0.023813223654740933,416.18602678624285,0.5947496573293284
115,3,2,2,5,-0.003031060096308423,414.2672138551088,0.587649373661116
116,3,2,2,6,9.523761055072258e-06,415.3109947509199,0.5906140034557926
117,3,2,2,7,-0.003923515767950195,415.37868771551666,0.59006016924281
118,3,2,2,8,0.020098964326370285,417.4532044462865,0.597512913238821
119,3,2,2,9,0.014567160996646318,415.693940915257,0.590858260837864
120,3,2,3,0,0.007927728233121044,410.7488412239952,0.5770190679235435
121,3,2,3,1,0.03355784922577595,411.67596156389465,0.5815338311465889
122,3,2,3,2,0.020961705202512088,412.30755417369784,0.583088624082093
123,3,2,3,3,0.010312775720006,411.3645523350006,0.5780922654730674
124,3,2,3,4,0.01312831788684482,411.51924599482726,0.578407889834771
125,3,2,3,5,0.02069278004114407,411.9705516684966,0.5804520784978248
126,3,2,3,6,0.007060234838001521,412.26687478769986,0.5807265765828946
127,3,2,3,7,0.0003113820442399047,412.93128098390866,0.5844143398562732
128,3,2,3,8,0.001286339867270253,411.64606753615834,0.5820126102913843
129,3,2,3,9,0.023346339608373314,411.96586295662456,0.5796951212949261
130,3,2,4,0,0.01348992392597609,412.0367342105222,0.5816653218890029
131,3,2,4,1,0.009760034738165087,414.97252061695616,0.5882283130384928
132,3,2,4,2,0.02418935120502007,412.8672752847313,0.5838866699269647
133,3,2,4,3,0.02824037087801026,414.58583499918706,0.5890815713114578
134,3,2,4,4,0.009738017011860051,412.52179696090275,0.5808861490287273
135,3,2,4,5,0.024900060184186973,416.7242460503128,0.5952468369295539
136,3,2,4,6,0.009254852654677707,414.03291710031834,0.5862033690279088
137,3,2,4,7,0.024349091760476754,414.8166918769595,0.589108042495038
138,3,2,4,8,0.013611542464087786,412.92185696134175,0.5835541097216165
139,3,2,4,9,0.012889419403599195,412.6460531216373,0.582169437030719
140,3,2,5,0,0.011103696597594049,414.2979035515241,0.5860889766339054
141,3,2,5,1,0.02936629269631875,416.08306656184686,0.5914299837101934
142,3,2,5,2,0.021120002627184414,414.36682774143065,0.5868962748164818
143,3,2,5,3,0.023087940231349507,413.6752973145501,0.5847449644456516
144,3,2,5,4,0.04296262293428176,415.57346386750925,0.5917257356907105
145,3,2,5,5,0.018289490051889817,415.4196972881609,0.5906647367580247
146,3,2,5,6,0.030452710973148875,415.2107956602415,0.5893690786071094
147,3,2,5,7,0.013731694693097997,414.86605846575117,0.5869791006697472
148,3,2,5,8,0.013202587717720081,415.6789629624886,0.5891052571046794
149,3,2,5,9,0.03594432968248951,417.6395344580357,0.5975014379090289
150,3,3,1,0,0.04010631005978643,455.9251538092987,0.6630025839210497
151,3,3,1,1,0.046229462995337096,455.8720487531348,0.6621945810685069
152,3,3,1,2,0.035494147509308384,456.0317393155171,0.6610759407310102
153,3,3,1,3,0.03427065649036616,455.86551836803847,0.660898391450506
154,3,3,1,4,0.040881127171371275,456.6048992324584,0.6639075059901264
155,3,3,1,5,0.048774863515423234,455.7973303681667,0.6627002966951412
156,3,3,1,6,0.03089138009939964,455.86705963136075,0.6608468744895503
157,3,3,1,7,0.05499932414329677,455.72507771623935,0.66288883349581
158,3,3,1,8,0.04136400609186515,455.8347840889525,0.6637660123531431
159,3,3,1,9,0.037686616975036,454.72288924437333,0.6587426125894947
160,3,3,2,0,0.06441035049818115,465.6295243769314,0.6871201752196887
161,3,3,2,1,0.05927012833234424,465.3387236539059,0.6871096313142283
162,3,3,2,2,0.06423668432232928,465.3969442887894,0.6880148794494731
163,3,3,2,3,0.06499428808434031,466.47285864975674,0.691325198619061
164,3,3,2,4,0.054294138538948676,464.7587455053984,0.6846498540490823
165,3,3,2,5,0.05799094463290993,466.74806443938843,0.6911615940164896
166,3,3,2,6,0.0686277220887463,465.7537821947049,0.6883544841924728
167,3,3,2,7,0.05108930984841751,465.1770508567104,0.6853878541327774
168,3,3,2,8,0.055329911864778786,465.86482586710684,0.6899215802198572
169,3,3,2,9,0.06618677261610655,465.0772345063013,0.6862863078738773
170,3,3,3,0,0.06841496372675425,472.2839955551321,0.7035140526397935
171,3,3,3,1,0.0667658347159601,472.2269912494576,0.7046198569054146
172,3,3,3,2,0.06304275595011953,472.5613556664857,0.7042236860754448
173,3,3,3,3,0.05876930316679818,470.8883088863254,0.6977562254350701
174,3,3,3,4,0.07079414446915237,472.97526060863987,0.70545371736881
175,3,3,3,5,0.07592034799294382,472.8271242961085,0.706836719791467
176,3,3,3,6,0.05801928103176599,473.7431469016047,0.7064629988203867
177,3,3,3,7,0.06560892449322096,472.33216900918546,0.7024329046966402
178,3,3,3,8,0.05704439445172849,472.767015121524,0.7034881432681054
179,3,3,3,9,0.06678778164314225,470.2495931924234,0.6973236259979777
180,3,3,4,0,0.06824056940499874,475.92795141807136,0.7118680997710257
181,3,3,4,1,0.07061429095020587,474.99837302476504,0.7098490481356857
182,3,3,4,2,0.07320966600073231,474.3439122738959,0.7089831200721535
183,3,3,4,3,0.06140432732273695,476.52543647271864,0.7113675814625475
184,3,3,4,4,0.06155445875214217,475.9253277717192,0.7104873528317056
185,3,3,4,5,0.05983085558462952,475.81342309426947,0.7106103560764021
186,3,3,4,6,0.06449871898890273,475.13557479291626,0.7081097694206887
187,3,3,4,7,0.0644348556573824,475.951846448429,0.7114187177730185
188,3,3,4,8,0.06561235112861881,474.99008771911184,0.7083875121577989
189,3,3,4,9,0.05539909975679972,473.6755580678021,0.7030771285495807
190,3,3,5,0,0.070018081413448,478.99012632091853,0.7187988589291393
191,3,3,5,1,0.06836651497946282,476.5898564071044,0.7116066130728443
192,3,3,5,2,0.06894637348543074,475.07871552779443,0.7082666136075565
193,3,3,5,3,0.06979490623916124,477.45912332608714,0.7147663559058565
194,3,3,5,4,0.05798795112428845,477.6540222812227,0.7145699580627299
195,3,3,5,5,0.06318070238372336,478.4238167640242,0.7175954466349261
196,3,3,5,6,0.061875908829152976,475.7323302784094,0.7077942571943421
197,3,3,5,7,0.05405299250514112,477.4447649085473,0.7145238250024398
198,3,3,5,8,0.06126496428913106,476.70595801560603,0.7106184546074275
199,3,3,5,9,0.05341048219802121,478.7303823507034,0.7195024846934223
200,5,0,1,0,-0.2395966348892443,342.43082792004134,0.5050234614064086
201,5,0,1,1,-0.2281743823478314,340.22835154114824,0.49904299238005656
202,5,0,1,2,-0.17976086720579373,342.3242639050268,0.5054433586254398
203,5,0,1,3,-0.22450843976352583,337.6830994444891,0.4941788499644191
204,5,0,1,4,-0.2440563258429195,334.85243321671646,0.49082528219399507
205,5,0,1,5,-0.19326066749997825,339.3839506794364,0.4996206406961967
206,5,0,1,6,-0.1991961068889446,339.9881192825174,0.5026897921004282
207,5,0,1,7,-0.2234436594693506,338.9951813609382,0.4984191985329151
208,5,0,1,8,-0.282330309167624,344.84544255910754,0.5079778576287529
209,5,0,1,9,-0.2063501229722848,341.3023825610929,0.5042116014740204
210,5,0,2,0,-0.04113636418172397,230.6127812287548,0.32970214558613564
211,5,0,2,1,-0.11347314406792723,233.58271038240264,0.3320913043992775
212,5,0,2,2,-0.21686140980805635,226.5279686474371,0.31823951842593456
213,5,0,2,3,-0.08170118592177068,228.76062285563808,0.32217395009728184
214,5,0,2,4,-0.21764963300751192,226.28405373196486,0.3186937887840526
215,5,0,2,5,-0.15644755515099967,231.73165264373418,0.3283422882500897
216,5,0,2,6,-0.06950082365833966,234.49774634724645,0.33629800133014526
217,5,0,2,7,-0.1921450205409935,222.78760382626828,0.3140397111222942
218,5,0,2,8,-0.061675095283631194,229.7202047141238,0.3275567708740332
219,5,0,2,9,-0.10016784222841618,240.5237967198858,0.34714454189859456
220,5,0,3,0,0.06120189066149672,189.34740856226801,0.27979088443722483
221,5,0,3,1,-0.03180568005986664,187.36741271697733,0.27113752771863625
222,5,0,3,2,0.021152419008446055,192.80446745965776,0.284192568887033
223,5,0,3,3,0.041957489603734514,166.15468284577372,0.2383938564858538
224,5,0,3,4,-0.03661062437233484,184.16865677263817,0.26772862164596073
225,5,0,3,5,-0.010852167567437865,180.50768710453806,0.26298257373037787
226,5,0,3,6,0.18819174926678198,190.1549065588422,0.2811679831374741
227,5,0,3,7,-0.026222129169928176,189.9651954742726,0.28202633861805876
228,5,0,3,8,-0.18951901393873838,161.85812858255284,0.230655690419621
229,5,0,3,9,-0.2956823822613844,199.84941091698454,0.2913296905221461
230,5,0,4,0,0.16873672377453908,184.59938049215089,0.27916636300810765
231,5,0,4,1,0.27499192934160227,186.52955371207122,0.28174502284764946
232,5,0,4,2,0.10359391885609946,174.14816066428935,0.2624640393775927
233,5,0,4,3,0.08899840240027479,183.99584209128273,0.2783539028461468
234,5,0,4,4,0.1290303152782523,187.91297359825808,0.284883067062291
235,5,0,4,5,0.1862602171112515,185.7924681394617,0.2857768111569429
236,5,0,4,6,0.22928176425278537,189.96410148955724,0.29048977415470556
237,5,0,4,7,-0.011115483671612511,151.5595957234797,0.22451456753856155
238,5,0,4,8,0.2214638411720599,179.4148034787551,0.26996533583502164
239,5,0,4,9,0.1114805106944996,179.66376698791635,0.2705388787932267
240,5,0,5,0,0.14520669052014665,189.7289951768906,0.290550559534894
241,5,0,5,1,0.3290809979153863,190.7753863567209,0.2907482697064608
242,5,0,5,2,0.2480746785368183,204.07120786528108,0.31800315889846587
243,5,0,5,3,0.2472882473439725,202.44548062183966,0.3145426426731734
244,5,0,5,4,0.16814983270693315,204.4085341319147,0.31936608800271377
245,5,0,5,5,0.22568970894322052,187.24254134527166,0.285105727882785
246,5,0,5,6,0.24918780218001643,163.92495654331145,0.2503622596525627
247,5,0,5,7,0.29919520041331366,205.51712529640963,0.3142616987909201
248,5,0,5,8,0.16784388028856137,172.65002916885695,0.25796310936300926
249,5,0,5,9,0.2522427724589064,205.88006542959147,0.3184127197413085
250,5,1,1,0,-0.06463032437455546,392.5167570984983,0.5807354996119715
251,5,1,1,1,-0.05561185153319193,393.3242470521115,0.583080269282337
252,5,1,1,2,-0.0690795205756985,393.77907001532844,0.58391677086781
253,5,1,1,3,-0.05936939250436584,393.1376888128793,0.5827078289511379
254,5,1,1,4,-0.05149201917292231,390.6953720564054,0.5768547302538274
255,5,1,1,5,-0.061798935960854624,390.99707624008244,0.5779110094639118
256,5,1,1,6,-0.033314923972186605,391.55950197576834,0.5798542950104392
257,5,1,1,7,-0.03265579735295769,393.12077733556515,0.5838470088544129
258,5,1,1,8,-0.05449204099034272,394.04848298161073,0.5833524331402732
259,5,1,1,9,-0.06649787815718243,389.213031473459,0.572252210620964
260,5,1,2,0,-0.09613766270831374,335.9736666013598,0.48550451889325313
261,5,1,2,1,-0.07597185750626884,337.1697465419689,0.4867988475421033
262,5,1,2,2,-0.08590103686308054,331.593179994952,0.4779771177142759
263,5,1,2,3,-0.11547119948248251,332.06376866131535,0.478650479790578
264,5,1,2,4,-0.09815046013965883,337.84440383753605,0.4894805515887639
265,5,1,2,5,-0.12370321443492933,336.3333727870197,0.4861497497945819
266,5,1,2,6,-0.09524731754470557,333.05132126053195,0.4800134381345133
267,5,1,2,7,-0.0801556322061558,333.2714010958187,0.4817651525498233
268,5,1,2,8,-0.12305291204717457,337.88484000156797,0.4906974098341627
269,5,1,2,9,-0.05910806057602006,336.2634677466506,0.4870120524518596
270,5,1,3,0,0.0070657368600086645,299.4331115534455,0.4170900600162535
271,5,1,3,1,-0.0355810056734046,299.67171509807554,0.4183592633109545
272,5,1,3,2,-0.005541700894638439,299.45022987249314,0.41744237355211306
273,5,1,3,3,-0.010469178280654953,297.6985824582144,0.4139408631239117
274,5,1,3,4,-0.03777179763831445,296.37264852782613,0.4096355756379419
275,5,1,3,5,-0.000207079719030503,297.97656159438435,0.4111331694147629
276,5,1,3,6,-0.03197362848316562,298.8744563864129,0.4155639476776903
277,5,1,3,7,-0.015276326344292934,297.69289251297386,0.4160543626918371
278,5,1,3,8,0.004358474945347769,295.89052769379094,0.4116360309677269
279,5,1,3,9,-0.018635919401574188,298.86309789901907,0.4169710389437344
280,5,1,4,0,0.055289910874010396,282.7991168335057,0.3814024389024591
281,5,1,4,1,0.06231661941842254,281.14946362920847,0.3777970567885751
282,5,1,4,2,0.06495945403161241,280.4828450764796,0.3751582619029736
283,5,1,4,3,0.04784147975115612,283.05037238902736,0.3812094711574103
284,5,1,4,4,0.05250980378731528,284.6737798806894,0.38523001351831176
285,5,1,4,5,0.05352417785909025,283.5425230519691,0.38241888726561374
286,5,1,4,6,0.061794176550821395,283.26334850111766,0.38121544747054736
287,5,1,4,7,0.04045987010643181,280.7025819230135,0.3740970185895645
288,5,1,4,8,0.021409018571369166,279.0223448959682,0.37367473013670255
289,5,1,4,9,0.03403848389156767,286.6803361853104,0.38829938080240206
290,5,1,5,0,0.07191967435418838,272.8299664560911,0.35630834626788727
291,5,1,5,1,0.0395244390552091,272.92879332658634,0.35916638693779984
292,5,1,5,2,0.05552485122199121,277.4542470286435,0.36650741773252987
293,5,1,5,3,0.08550245801397051,276.45379706411865,0.36505549794765885
294,5,1,5,4,0.06875034182002804,279.22035195689887,0.367166502264344
295,5,1,5,5,0.05390448597879833,274.97055106700304,0.3602106353281442
296,5,1,5,6,0.07034756896580156,269.0197424097881,0.34779452248378523
297,5,1,5,7,0.04491737731090029,277.0634938671705,0.364727368181482
298,5,1,5,8,0.059366966885519144,274.4083595160658,0.35969503784069384
299,5,1,5,9,0.07683777217022432,275.6240728085452,0.36370874379499174
300,5,2,1,0,0.019466604156257696,431.46984370924224,0.632259534704711
301,5,2,1,1,0.030580776235339068,432.22658253934554,0.6345814122368507
302,5,2,1,2,0.020269733846731943,432.0622662185781,0.6339980175817495
303,5,2,1,3,0.021622250613347407,431.04341088879863,0.6314440301780445
304,5,2,1,4,0.02890100165930659,432.1417591303056,0.6353081249691965
305,5,2,1,5,0.02641323434068918,433.425879333729,0.6354216481070952
306,5,2,1,6,0.040853684893064714,432.01105177021117,0.6352666034782212
307,5,2,1,7,0.012670847915282111,431.82764913937103,0.6327023878712352
308,5,2,1,8,0.017349104745920794,433.08843084710156,0.6351658686822853
309,5,2,1,9,0.03603407105967302,432.8811126597723,0.6370306166699758
310,5,2,2,0,0.04680090433580402,421.0976709488529,0.6077211126933658
311,5,2,2,1,0.037338399304577566,422.121423620262,0.6105524560817246
312,5,2,2,2,0.012700303199558135,422.5279568701382,0.6111541460659725
313,5,2,2,3,0.049971540380098795,423.90982809111944,0.6164035791246433
314,5,2,2,4,0.03848445666603895,422.2297020688198,0.6115297369686011
315,5,2,2,5,0.03673287823855426,423.31073652754486,0.6130465853168497
316,5,2,2,6,0.05248933577843798,423.4643064061143,0.6150208854416829
317,5,2,2,7,0.03048859730178369,423.63948119571893,0.6137778831824922
318,5,2,2,8,0.034454255439547735,422.3438746449545,0.6105932959348889
319,5,2,2,9,0.009602068539170257,421.64495099044024,0.6083944752433706
320,5,2,3,0,0.01609744749823208,419.19995091294203,0.6003819478299833
321,5,2,3,1,0.020597464058133407,418.44292103508684,0.5976845843339221
322,5,2,3,2,0.016124716979462193,419.1526184868203,0.6003860768156001
323,5,2,3,3,0.018509420311084202,421.0392969545719,0.6051361049120169
324,5,2,3,4,0.009234944134440995,418.8525106447476,0.6005617806371673
325,5,2,3,5,0.013177699238430504,417.7561904379067,0.5959324679908522
326,5,2,3,6,0.043813277588271464,420.376404022662,0.6049699821703144
327,5,2,3,7,0.021554302085221577,417.7328498121479,0.5981547106743507
328,5,2,3,8,0.044187447519772216,420.7620885288099,0.6052612755579335
329,5,2,3,9,0.03522579717677843,419.1816358592809,0.5995243958276598
330,5,2,4,0,0.04927831811763825,419.06158886337107,0.5981930451332788
331,5,2,4,1,0.02080746175829896,421.895583647313,0.6041445661089947
332,5,2,4,2,0.021333695478097683,418.6449611110893,0.5933297896732815
333,5,2,4,3,0.038574956670214954,421.8565182472883,0.6030215474142445
334,5,2,4,4,0.014450899736582224,418.6969784545506,0.5955043173065088
335,5,2,4,5,0.026201845143289163,421.7442191567026,0.6039203532155374
336,5,2,4,6,0.009333810643522103,420.110673556233,0.5985381514184159
337,5,2,4,7,0.03417986678302868,422.39086970129034,0.603865327380973
338,5,2,4,8,0.009924971706098499,420.0189759331153,0.5997942733806013
339,5,2,4,9,0.03359941210803848,421.3149683937692,0.6046118233985003
340,5,2,5,0,0.034171922822579075,421.2934460583236,0.6010321327722231
341,5,2,5,1,0.03536525913210151,420.60273790534876,0.6008088228593903
342,5,2,5,2,0.02643961997826572,422.00324568027435,0.6003755960551596
343,5,2,5,3,0.023788840814941568,421.06611742389526,0.598029788508163
344,5,2,5,4,0.01910427195343097,420.45093265706095,0.5987131575583187
345,5,2,5,5,0.04293249276534286,421.5287042528442,0.5996193211769895
346,5,2,5,6,0.013179300723713849,421.89539628539796,0.5995936274621422
347,5,2,5,7,0.03784930126374804,420.8683701585567,0.6000395101817048
348,5,2,5,8,0.027651761642682515,422.0377457728542,0.6003860274044502
349,5,2,5,9,0.017321853505837884,421.0514776269779,0.5987460163065479
350,5,3,1,0,0.04728437621125168,458.11395168600137,0.6701464028242974
351,5,3,1,1,0.03681091733649571,457.2269388772833,0.6655232694929093
352,5,3,1,2,0.036855189314840185,457.3940287105768,0.6659202869781963
353,5,3,1,3,0.03343220180438202,457.65530321643087,0.6679191603042453
354,5,3,1,4,0.06709181903152289,458.2912150987552,0.6717228533074916
355,5,3,1,5,0.04158041189161624,456.6895396535497,0.6651346274995179
356,5,3,1,6,0.03773061792383524,457.64236871931007,0.6674332228667706
357,5,3,1,7,0.04296296048020535,457.96184922542034,0.6685408041957749
358,5,3,1,8,0.03714866464561884,457.01211410134465,0.6652742924704443
359,5,3,1,9,0.03904062062071128,457.538243856111,0.667489139320569
360,5,3,2,0,0.06795831500225874,469.60381742521446,0.6977985658972042
361,5,3,2,1,0.06687677022700803,469.4438597659943,0.6983589767297761
362,5,3,2,2,0.08885504312310478,469.4904035586578,0.7008526319851646
363,5,3,2,3,0.06088595157388236,468.2742695278407,0.6945823181643114
364,5,3,2,4,0.0628644371361081,469.9254763632757,0.6990786771559386
365,5,3,2,5,0.06470470920349866,469.629714613104,0.6967255489850587
366,5,3,2,6,0.07114165462027054,469.06018771276473,0.6964753879426602
367,5,3,2,7,0.06079948177623453,468.94706590254617,0.6968112247974165
368,5,3,2,8,0.06201338825333392,468.9323374902763,0.6972998591066898
369,5,3,2,9,0.0559595390179464,467.63759127091953,0.6927273285677114
370,5,3,3,0,0.0798895058375062,476.61437893182705,0.7144423294261376
371,5,3,3,1,0.06828316857644513,476.0835273667854,0.7117390883032826
372,5,3,3,2,0.06616715862125194,477.07087048757813,0.7156808032179818
373,5,3,3,3,0.07641136499609996,474.8170035717207,0.7104198623004833
374,5,3,3,4,0.058267431209201526,477.0017330730066,0.714700136109007
375,5,3,3,5,0.06429834887772393,476.02426905022213,0.7131906103810352
376,5,3,3,6,0.07444556407256116,476.4658821396884,0.7152668046626894
377,5,3,3,7,0.06767119012373703,477.17669397447776,0.7155156053282029
378,5,3,3,8,0.05903644525837939,476.92162730722515,0.7153513707263334
379,5,3,3,9,0.056870502803593535,477.1890575111143,0.7151836046827166
380,5,3,4,0,0.07660528243904975,478.94389798995485,0.7195148221622812
381,5,3,4,1,0.0662361799502691,479.6058579778143,0.7198172705080098
382,5,3,4,2,0.0618493877879193,478.58243758042886,0.7168061423705551
383,5,3,4,3,0.06089141210063235,480.6202217089769,0.7235639686445792
384,5,3,4,4,0.08180715311734736,480.53304545738615,0.7232148188842297
