,ba_m,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
10,3,0.05,3,opinion-timeseries,mod,"[37. 40. 40. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33. 33.
 33. 33. 32. 33. 33. 32. 32. 32. 32. 33. 33. 33. 33. 33. 33. 33. 32. 33.
 33. 33. 32. 32. 32. 33. 33. 33. 33. 34. 34. 34. 34. 34. 34. 34. 34. 34.
 34. 34. 34. 34. 34. 34. 34. 34. 33. 33.]",-0.4125844749007337,334.4428792783605,0.5409631431857133
11,3,0.05,3,opinion-timeseries,rep,"[45.       70.       70.       45.1      45.1      29.1      29.1
 45.266666 46.       46.       28.833334 28.5      28.4      28.4
 28.4      28.4      28.4      28.       28.       28.       28.
 45.2      46.       29.3      28.       28.       28.       45.033333
 45.033333 46.       46.       45.366665 45.266666 46.       30.166666
 45.666668 46.       46.       28.933332 28.       28.       46.233334
 46.233334 44.666668 47.       47.       47.       47.       43.933334
 43.       47.       47.       44.133335 43.       47.       44.033333
 44.033333 44.033333 43.       43.       47.       47.       30.7
 29.      ]",-0.06694263777644004,208.79307849002558,0.3877430890903263
12,3,0.05,4,opinion-timeseries,dem,"[65.        65.        65.         4.5666666  4.5666666  4.5666666
  4.5666666 79.4       79.4       79.4       74.        65.933334
 57.266666  57.266666  53.333332  53.333332  53.333332  53.333332
 52.333332  52.066666   6.233333   6.233333  71.8        7.9666667
  5.         5.         5.         5.         5.         5.
  5.         5.         5.         5.         5.        77.63333
 77.63333   84.73333   84.73333   84.73333   84.73333   77.5
 77.5       72.26667   72.26667   84.96667   85.        85.
 85.        68.833336  84.96667   84.96667   73.96667   63.5
 84.86667   84.86667   84.86667   84.86667   84.86667   84.86667
 85.        85.        85.         6.7      ]",0.3389867924967935,375.89683701776903,0.40083378484633686
13,3,0.05,4,opinion-timeseries,mod,"[38.  45.  45.  38.9 38.9 37.9 37.9 38.9 38.9 38.9 37.9 37.9 37.9 37.9
 37.9 37.9 37.9 37.9 37.9 37.9 33.  38.  38.  33.  33.  33.  33.  38.
 38.  38.  38.  38.  38.  38.  33.  38.  38.  38.  33.  33.  33.  38.
 38.  38.  38.  38.  38.  38.  38.  38.  38.  38.  38.  38.  38.  38.
 38.  38.  38.  38.  38.  38.  33.  33. ]",-0.3953486373067693,304.256700826361,0.48549158063964737
14,3,0.05,4,opinion-timeseries,rep,"[42.       64.433334 65.833336 53.8      53.8      35.7      35.7
 53.6      54.666668 54.666668 36.333332 36.333332 36.333332 36.333332
 36.333332 36.333332 36.333332 34.333332 34.333332 34.333332 33.666668
 52.466667 54.466667 35.433334 32.       32.       32.       51.033333
 51.033333 53.733334 54.       52.9      52.6      54.       34.966667
 52.3      53.966667 54.       35.133335 32.       32.       50.733334
 50.733334 53.533333 54.       54.       54.       54.       53.
 53.       54.       54.       53.533333 53.       54.       53.
 53.       53.       53.       53.       54.       54.       34.833332
 32.      ]",0.07928122006758777,159.6491738901727,0.28352102096653076
15,3,0.05,5,opinion-timeseries,dem,"[59.        59.        59.         5.9333334  5.9333334  5.9333334
  5.9333334 83.166664  83.166664  83.166664  70.96667   49.833332
 40.633335  40.633335  35.666668  35.666668  35.666668  35.666668
 34.866665  33.966667   8.833333   8.833333  60.133335   9.533334
  8.166667   8.066667   8.         8.         8.         8.
  8.         8.         8.         8.         8.        83.26667
 83.26667   87.63333   87.63333   87.63333   87.63333   82.066666
 82.066666  65.73333   65.73333   88.433334  88.9       89.
 89.        48.166668  86.8       86.8       59.4       42.233334
 86.833336  86.833336  86.833336  86.833336  86.833336  86.833336
 87.86667   88.        88.         9.033334 ]",0.38026213007337917,387.1816000628686,0.4291601562961278
16,3,0.05,5,opinion-timeseries,mod,"[39.       51.466667 52.       48.266666 48.266666 48.266666 48.266666
 48.266666 48.266666 48.266666 48.166668 47.333332 47.266666 47.266666
 47.266666 47.266666 47.266666 47.266666 47.266666 47.266666 44.
 47.       47.       44.       44.       44.       44.       47.
 47.       47.       47.       47.       47.       47.       44.
 47.       47.       47.       44.       44.       44.       47.
 47.       47.       47.       48.       48.       48.       48.
 48.       48.       48.       48.       48.       48.       48.
 48.       48.       48.       48.       48.       48.       45.
 45.      ]",-0.1150897959640681,228.93464785371583,0.3556759852195668
17,3,0.05,5,opinion-timeseries,rep,"[51.       81.       81.       63.866665 63.866665 38.133335 38.133335
 63.733334 65.8      66.       39.166668 38.766666 38.766666 38.766666
 38.566666 38.1      38.1      35.       35.       35.       33.966667
 62.7      65.       38.866665 31.       31.       31.       59.966667
 59.966667 63.966667 64.86667  64.2      64.13333  65.       39.9
 63.966667 64.933334 65.       38.133335 31.7      31.       60.7
 60.7      63.966667 65.933334 66.       66.       66.       60.266666
 59.066666 66.       66.       63.9      63.066666 66.       60.
 60.       60.       59.       59.       66.       66.       39.7
 33.433334]",0.06185924626480143,142.3419097312312,0.2274461140158034
18,3,0.05,6,opinion-timeseries,dem,"[65.       65.       65.        7.6       7.6       7.6       7.6
 81.73333  81.73333  81.73333  73.36667  61.866665 58.466667 58.466667
 57.966667 57.966667 57.966667 57.966667 57.966667 57.966667  8.
  8.       79.46667  11.966666  7.8       7.        7.        7.
  7.        7.        7.        7.        7.        7.        7.
 82.3      82.3      90.36667  90.36667  90.36667  90.36667  81.76667
 81.76667  72.566666 72.566666 90.4      91.       91.       91.
 81.23333  91.       91.       82.4      70.86667  91.       91.
 91.       91.       91.       91.       91.       91.       91.
  8.9     ]",0.37250254832520663,358.62120653490126,0.36144625349225823
19,3,0.05,6,opinion-timeseries,mod,"[44. 48. 48. 43. 43. 42. 42. 43. 43. 43. 42. 42. 42. 42. 42. 42. 42. 42.
 42. 42. 41. 43. 43. 41. 41. 41. 41. 43. 43. 43. 43. 43. 43. 43. 41. 43.
 43. 43. 41. 41. 41. 43. 43. 43. 43. 43. 43. 43. 43. 43. 43. 43. 43. 43.
 43. 43. 43. 43. 43. 43. 43. 43. 41. 41.]",-0.3760904911972216,262.56549563870726,0.4147447623524182
