,ws_p,ws_k,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
0,0.1,2,0.01,0,opinion-timeseries,dem,"[72.       72.       72.       70.2      69.53333  69.53333  69.53333
 69.833336 69.833336 69.2      67.73333  67.03333  66.4      66.4
 64.96667  64.96667  64.4      64.4      63.933334 63.233334 61.933334
 61.933334 60.7      59.466667 58.233334 57.133335 55.933334 55.933334
 55.1      55.1      55.1      55.1      55.1      55.1      54.6
 55.2      55.2      55.5      55.5      55.5      55.5      55.5
 54.5      54.166668 54.166668 55.       55.833332 56.7      57.733334
 57.266666 57.1      55.966667 55.       54.033333 54.7      54.7
 54.7      54.066666 54.066666 54.066666 54.233334 54.033333 54.033333
 53.5     ]",-0.9209422864386563,260.18344605917605,0.3239688369380286
1,0.1,2,0.01,0,opinion-timeseries,mod,"[48.       48.666668 48.966667 47.533333 47.       47.       47.
 47.       47.433334 47.433334 47.2      47.2      47.2      47.2
 46.2      45.7      45.266666 45.266666 44.733334 44.433334 43.166668
 43.766666 43.9      43.033333 41.933334 40.933334 40.066666 40.733334
 40.733334 41.2      41.533333 42.466667 42.9      43.466667 42.966667
 43.633335 44.2      44.3      43.966667 43.533333 43.066666 43.633335
 43.233334 43.9      44.066666 44.666668 45.766666 46.5      46.433334
 45.733334 46.533333 46.4      45.833332 44.7      44.233334 43.733334
 43.733334 43.066666 42.633335 42.633335 43.2      43.366665 42.733334
 42.233334]",-0.6300781461372815,250.22178795034603,0.3870525509203673
2,0.1,2,0.01,0,opinion-timeseries,rep,"[46.       47.       47.466667 46.066666 46.066666 45.4      45.033333
 44.6      45.       45.633335 44.733334 44.733334 44.733334 44.466667
 44.466667 43.966667 43.966667 42.9      42.9      42.9      42.266666
 42.6      43.433334 43.433334 41.966667 40.766666 39.766666 40.3
 40.3      40.666668 41.133335 40.833332 40.233334 40.6      40.6
 40.6      41.3      40.7      39.933334 38.966667 38.466667 39.1
 38.7      39.166668 39.333332 38.666668 38.       37.466667 36.933334
 36.933334 37.466667 38.566666 38.133335 37.666668 37.333332 37.033333
 36.766666 36.766666 36.466667 36.066666 36.066666 36.066666 35.433334
 35.433334]",-0.8848271092966151,195.18536229443296,0.3432764246000486
3,0.1,2,0.01,1,opinion-timeseries,dem,"[70.       70.       70.       68.166664 67.26667  67.26667  67.26667
 67.7      67.7      67.03333  65.8      64.833336 64.3      64.3
 62.933334 62.933334 62.366665 62.366665 61.466667 60.766666 59.6
 59.6      58.6      57.466667 56.3      55.166668 54.066666 54.066666
 53.566666 53.566666 53.566666 53.566666 53.566666 53.566666 53.033333
 53.6      53.6      54.066666 54.066666 54.066666 54.066666 54.166668
 53.2      52.7      52.7      53.633335 54.533333 55.4      56.5
 55.733334 55.8      54.733334 53.466667 52.433334 53.033333 53.033333
 53.033333 52.533333 52.533333 52.533333 52.766666 52.5      52.5
 52.1     ]",-0.9212148275137259,272.12558152686347,0.3416522519739757
4,0.1,2,0.01,1,opinion-timeseries,mod,"[45.       45.4      46.066666 44.566666 43.966667 43.933334 43.933334
 43.933334 44.533333 44.733334 44.366665 44.366665 44.366665 44.366665
 43.533333 43.233334 42.733334 42.733334 42.5      42.1      40.966667
 41.366665 41.7      40.666668 39.8      39.3      38.4      39.1
 39.1      39.6      40.2      41.       41.5      41.866665 41.666668
 42.1      42.8      43.       42.466667 42.2      41.7      42.1
 41.666668 42.2      42.4      42.866665 43.433334 44.133335 43.8
 43.166668 43.733334 44.066666 43.433334 42.5      41.933334 41.533333
 41.533333 41.233334 40.5      40.5      40.633335 40.733334 39.866665
 39.5     ]",-0.5848727927027044,266.3510508536452,0.4182061109303934
5,0.1,2,0.01,1,opinion-timeseries,rep,"[40.       40.966667 41.3      39.833332 39.833332 39.133335 38.933334
 38.666668 39.366665 40.4      39.633335 39.633335 39.633335 39.166668
 39.166668 38.766666 38.766666 37.9      37.9      37.9      37.666668
 38.366665 38.866665 38.866665 37.766666 36.233334 35.466667 36.366665
 36.366665 36.866665 37.433334 37.466667 37.366665 38.066666 38.066666
 38.066666 38.8      38.333332 37.633335 36.966667 36.333332 36.933334
 36.633335 37.333332 37.7      37.066666 36.766666 36.1      35.166668
 35.166668 35.6      36.866665 36.166668 35.766666 35.433334 35.1
 34.766666 34.766666 34.466667 33.966667 33.966667 33.966667 33.2
 33.2     ]",-0.7813128701828784,217.5594615135584,0.39899693986881324
6,0.1,2,0.01,2,opinion-timeseries,dem,"[64.       64.       64.       62.066666 61.6      61.6      61.6
 62.1      62.1      61.433334 60.1      59.533333 58.866665 58.866665
 58.       58.       57.333332 57.333332 56.733334 56.033333 54.866665
 54.866665 54.5      53.3      52.6      51.433334 50.5      50.5
 50.166668 50.166668 50.166668 50.166668 50.166668 50.166668 49.533333
 50.033333 50.033333 50.533333 50.533333 50.533333 50.533333 50.4
 49.6      49.166668 49.166668 50.333332 51.266666 52.       53.033333
 52.7      52.9      51.566666 50.466667 49.166668 49.666668 49.666668
 49.666668 49.066666 49.066666 49.066666 49.433334 49.366665 49.366665
 48.766666]",-0.9154233280698431,299.98750543425825,0.3861497429705859
7,0.1,2,0.01,2,opinion-timeseries,mod,"[37.       37.533333 38.166668 37.066666 36.7      36.7      36.7
 36.7      37.233334 37.5      37.3      37.3      37.3      37.3
 36.6      36.2      35.7      35.7      35.4      35.066666 34.233334
 34.8      35.8      35.333332 34.466667 33.966667 33.533333 34.3
 34.3      35.       35.466667 36.2      36.8      37.466667 37.166668
 37.966667 38.533333 38.966667 38.333332 37.933334 37.6      38.1
 37.466667 38.033333 38.333332 38.933334 39.666668 40.5      40.466667
 40.1      41.2      41.333332 40.433334 39.6      39.3      38.9
 38.9      38.466667 37.966667 37.966667 37.966667 38.133335 37.466667
 37.066666]",0.1717219439850413,302.35466497650515,0.48889820437996034
8,0.1,2,0.01,2,opinion-timeseries,rep,"[51.       51.966667 52.566666 51.2      51.2      50.333332 49.9
 49.533333 50.233334 50.666668 49.566666 49.566666 49.566666 49.066666
 49.066666 48.366665 48.366665 47.6      47.6      47.6      46.866665
 47.366665 48.1      48.1      46.866665 45.5      44.333332 44.933334
 44.933334 45.5      45.9      45.866665 45.6      46.166668 46.166668
 46.166668 46.733334 46.233334 45.133335 44.133335 43.466667 44.166668
 43.666668 44.3      44.333332 43.933334 43.233334 43.033333 42.4
 42.4      42.9      44.266666 43.733334 43.266666 42.8      42.266666
 41.933334 41.933334 41.433334 41.1      41.1      41.1      40.3
 40.3     ]",-0.8845292654161429,158.57186712614828,0.27625976806768326
9,0.1,2,0.01,3,opinion-timeseries,dem,"[63.       63.       63.       60.966667 60.266666 60.266666 60.266666
 60.7      60.7      60.1      58.933334 58.3      57.5      57.5
 56.3      56.3      55.533333 55.533333 54.866665 54.433334 53.466667
 53.466667 53.133335 52.066666 50.933334 49.9      48.9      48.9
 48.533333 48.533333 48.533333 48.533333 48.533333 48.533333 48.033333
 48.833332 48.833332 49.3      49.3      49.3      49.3      49.733334
 48.866665 48.533333 48.533333 49.366665 50.466667 51.6      52.566666
 52.033333 51.9      50.7      49.5      48.1      48.533333 48.533333
 48.533333 48.1      48.1      48.1      47.9      47.733334 47.733334
 47.266666]",-0.9048508071637543,309.35571913717354,0.4005183949059643
10,0.1,2,0.01,3,opinion-timeseries,mod,"[36.       36.533333 37.133335 35.866665 35.566666 35.566666 35.566666
 35.566666 36.3      36.633335 36.366665 36.366665 36.366665 36.366665
 35.766666 35.3      35.033333 35.033333 34.633335 34.333332 33.266666
 33.866665 34.133335 33.533333 32.833332 32.333332 31.7      32.533333
 32.533333 33.033333 33.666668 34.233334 34.7      35.466667 35.066666
 35.9      36.433334 36.4      36.1      35.533333 35.333332 35.7
 35.2      35.7      36.133335 37.166668 37.633335 38.233334 37.866665
 37.266666 38.233334 38.533333 37.733334 37.3      37.066666 36.733334
 36.733334 36.233334 35.9      35.9      36.2      36.666668 35.466667
 35.1     ]",-0.045470011238375296,316.33273997026555,0.5117727356376154
11,0.1,2,0.01,3,opinion-timeseries,rep,"[48.       49.033333 49.566666 48.4      48.4      47.466667 46.9
 46.566666 46.933334 47.7      47.       47.       47.       46.566666
 46.566666 46.066666 46.066666 45.266666 45.266666 45.266666 44.766666
 45.3      45.833332 45.833332 44.966667 43.633335 42.033333 42.866665
 42.866665 43.233334 43.8      43.6      42.933334 43.266666 43.266666
 43.266666 43.766666 43.433334 42.633335 41.6      40.533333 41.2
 41.       41.633335 41.9      41.633335 41.466667 41.166668 40.466667
 40.466667 41.3      42.566666 42.       41.666668 41.366665 40.833332
 40.5      40.5      40.333332 40.066666 40.066666 40.066666 39.066666
 39.066666]",-0.8874851693039348,173.1843308176649,0.3039039611250154
12,0.1,2,0.01,4,opinion-timeseries,dem,"[60.       60.       60.       58.133335 57.766666 57.766666 57.766666
 58.2      58.2      57.766666 56.833332 56.3      55.733334 55.733334
 54.633335 54.633335 54.133335 54.133335 53.666668 53.266666 52.433334
 52.433334 51.966667 51.033333 50.166668 48.966667 47.8      47.8
 47.433334 47.433334 47.433334 47.433334 47.433334 47.433334 47.1
 47.533333 47.533333 48.166668 48.166668 48.166668 48.166668 48.2
 47.3      46.7      46.7      47.4      48.533333 49.666668 50.9
 50.466667 50.533333 49.366665 48.666668 47.433334 47.733334 47.733334
 47.733334 47.3      47.3      47.3      47.3      47.166668 47.166668
 46.633335]",-0.8968725894350864,319.01356123219887,0.41759081220400573
13,0.1,2,0.01,4,opinion-timeseries,mod,"[41.       41.8      42.5      41.6      41.1      41.1      41.1
 41.1      41.6      41.866665 41.633335 41.633335 41.633335 41.633335
 40.933334 40.566666 40.233334 40.233334 39.633335 39.1      37.9
 38.433334 38.566666 37.833332 36.933334 36.       35.1      35.9
 35.9      36.633335 37.3      38.066666 38.7      39.366665 39.166668
 39.966667 40.433334 40.6      40.133335 39.7      39.266666 39.7
 39.266666 39.8      40.366665 41.366665 42.166668 43.033333 42.8
 42.233334 42.533333 42.633335 42.133335 41.233334 40.766666 40.433334
 40.433334 39.833332 39.366665 39.366665 39.366665 39.5      38.766666
 38.333332]",-0.29669884575697236,283.36778650579873,0.45098410882947815
14,0.1,2,0.01,4,opinion-timeseries,rep,"[49.       49.7      50.2      49.2      49.2      48.166668 47.566666
 47.266666 47.766666 48.066666 47.3      47.3      47.3      47.033333
 47.033333 46.766666 46.766666 45.766666 45.766666 45.766666 45.4
 45.966667 46.733334 46.733334 45.3      43.766666 42.6      43.033333
 43.033333 43.7      44.333332 44.166668 43.866665 44.4      44.4
 44.4      44.866665 44.233334 43.366665 42.233334 41.4      42.033333
 41.466667 42.       42.2      41.7      41.333332 40.733334 40.
 40.       40.6      41.766666 41.366665 40.833332 40.366665 40.
 39.566666 39.566666 39.2      38.833332 38.833332 38.833332 38.233334
 38.233334]",-0.8679880270723681,173.11446257317232,0.30189997503157917
