,ws_p,ws_k,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
15,0.1,2,0.01,5,opinion-timeseries,dem,"[78.       78.       78.       76.166664 75.3      75.3      75.3
 75.5      75.5      74.8      73.8      72.833336 72.13333  72.13333
 70.566666 70.566666 69.76667  69.76667  69.26667  68.433334 67.03333
 67.03333  66.03333  64.63333  63.2      61.833332 60.8      60.8
 59.966667 59.966667 59.966667 59.966667 59.966667 59.966667 59.433334
 59.9      59.9      60.4      60.4      60.4      60.4      60.2
 59.3      58.633335 58.633335 59.566666 60.266666 61.166668 61.966667
 61.333332 61.333332 60.2      59.1      57.833332 58.366665 58.366665
 58.366665 57.866665 57.866665 57.866665 57.733334 57.433334 57.433334
 56.566666]",-0.9297581819736648,228.42113691907548,0.2791100426637021
16,0.1,2,0.01,5,opinion-timeseries,mod,"[42.       42.5      42.933334 41.733334 41.333332 41.333332 41.333332
 41.333332 41.733334 41.6      41.2      41.2      41.2      41.2
 40.666668 40.2      39.7      39.7      39.333332 39.       37.966667
 38.3      38.8      38.266666 37.4      36.3      35.566666 36.066666
 36.066666 36.8      37.3      38.1      38.6      39.1      38.833332
 39.4      40.166668 40.1      39.566666 39.       38.533333 38.833332
 38.4      38.866665 38.833332 39.4      40.1      41.1      40.1
 39.633335 40.666668 41.133335 39.966667 39.033333 38.566666 38.2
 38.2      37.966667 37.666668 37.666668 38.033333 38.266666 37.9
 37.433334]",-0.6498031328028154,289.37921704870223,0.45895166526372433
17,0.1,2,0.01,5,opinion-timeseries,rep,"[44.       45.333332 45.866665 44.566666 44.566666 43.733334 43.166668
 42.8      43.533333 44.       43.166668 43.166668 43.166668 42.9
 42.9      42.5      42.5      41.666668 41.666668 41.666668 41.3
 41.866665 42.3      42.3      41.166668 40.133335 38.9      39.466667
 39.466667 40.033333 40.633335 40.566666 40.1      41.033333 41.033333
 41.033333 41.733334 41.466667 40.766666 39.9      39.033333 39.633335
 39.166668 39.766666 40.066666 38.933334 38.566666 37.766666 37.2
 37.2      37.533333 38.966667 38.566666 38.166668 38.       37.433334
 37.133335 37.133335 36.7      36.133335 36.133335 36.133335 35.266666
 35.266666]",-0.8450776928068436,196.19648043303332,0.3488580667149467
18,0.1,2,0.01,6,opinion-timeseries,dem,"[70.       70.       70.       67.4      66.6      66.6      66.6
 67.       67.       66.2      64.96667  64.23333  63.333332 63.333332
 61.833332 61.833332 61.466667 61.466667 60.733334 60.3      59.1
 59.1      58.533333 57.333332 56.       54.966667 53.8      53.8
 53.233334 53.233334 53.233334 53.233334 53.233334 53.233334 52.633335
 53.133335 53.133335 53.5      53.5      53.5      53.5      53.133335
 52.       51.366665 51.366665 52.233334 53.5      54.433334 55.266666
 54.833332 54.433334 53.6      52.4      51.633335 52.2      52.2
 52.2      51.4      51.4      51.4      51.166668 51.133335 51.133335
 50.633335]",-0.9364360222783035,278.17845688147344,0.3499109448529511
19,0.1,2,0.01,6,opinion-timeseries,mod,"[41.       41.466667 41.9      40.333332 39.933334 39.933334 39.933334
 39.933334 40.4      40.666668 40.4      40.4      40.4      40.4
 39.766666 39.4      38.933334 38.933334 38.333332 38.       36.633335
 37.266666 37.666668 36.666668 35.733334 35.2      34.6      35.5
 35.5      36.366665 37.133335 37.933334 38.266666 39.       38.566666
 39.3      39.733334 39.8      39.4      38.866665 38.366665 38.8
 38.5      38.966667 39.3      39.8      40.9      41.2      41.166668
 40.833332 41.566666 41.733334 40.833332 40.033333 39.633335 39.333332
 39.333332 38.966667 38.633335 38.633335 38.7      39.1      38.133335
 37.633335]",-0.34296606876148045,290.5539749278078,0.4636782929978582
20,0.1,2,0.01,6,opinion-timeseries,rep,"[49.       50.066666 50.7      49.3      49.3      48.3      47.966667
 47.633335 48.3      49.066666 48.166668 48.166668 48.166668 47.6
 47.6      47.1      47.1      46.233334 46.233334 46.233334 45.766666
 46.5      46.933334 46.933334 45.566666 44.3      43.066666 43.7
 43.7      44.333332 44.833332 44.366665 44.2      44.633335 44.633335
 44.633335 45.333332 45.1      44.133335 43.433334 42.9      43.5
 43.1      43.733334 43.733334 43.533333 42.666668 42.       41.1
 41.1      41.7      42.9      42.5      41.966667 41.566666 41.2
 40.666668 40.666668 40.2      39.8      39.8      39.8      38.866665
 38.866665]",-0.8620223556085396,166.84044022327708,0.29111440171388997
21,0.1,2,0.01,7,opinion-timeseries,dem,"[70.       70.       70.       68.23333  67.76667  67.76667  67.76667
 68.1      68.1      67.13333  65.36667  64.5      63.9      63.9
 62.2      62.2      61.633335 61.633335 60.9      60.233334 59.233334
 59.233334 58.2      56.866665 55.3      54.566666 53.666668 53.666668
 52.9      52.9      52.9      52.9      52.9      52.9      52.1
 52.666668 52.666668 53.166668 53.166668 53.166668 53.166668 52.7
 51.566666 51.2      51.2      52.266666 53.2      54.133335 55.366665
 54.7      54.3      53.433334 52.266666 50.533333 50.933334 50.933334
 50.933334 50.533333 50.533333 50.533333 50.333332 50.533333 50.533333
 50.066666]",-0.9331140996096676,280.6026851826124,0.3509741122659657
22,0.1,2,0.01,7,opinion-timeseries,mod,"[53.       53.4      54.       52.166668 51.6      51.6      51.6
 51.6      52.2      52.366665 52.133335 52.133335 52.133335 52.133335
 51.3      50.7      50.2      50.166668 49.8      49.3      47.9
 48.466667 48.766666 47.433334 46.6      45.766666 44.7      45.233334
 45.233334 45.933334 46.566666 46.9      47.4      47.933334 47.466667
 48.2      48.7      48.866665 48.433334 48.066666 47.633335 47.866665
 47.2      47.866665 47.933334 48.533333 49.033333 49.366665 49.1
 48.6      48.8      48.8      47.733334 46.6      46.233334 45.7
 45.7      45.166668 44.533333 44.533333 44.8      44.766666 43.833332
 43.433334]",-0.7219082767627368,222.43929431710683,0.33662096396014857
23,0.1,2,0.01,7,opinion-timeseries,rep,"[44.       45.033333 45.4      44.133335 44.133335 43.366665 42.933334
 42.533333 43.066666 43.766666 42.933334 42.933334 42.933334 42.5
 42.5      41.9      41.9      40.933334 40.933334 40.933334 40.5
 41.266666 41.6      41.6      40.266666 39.2      37.566666 38.233334
 38.233334 38.8      39.533333 39.333332 38.9      39.433334 39.433334
 39.433334 40.       39.566666 38.9      38.066666 36.966667 37.7
 37.3      38.1      38.133335 37.766666 37.066666 36.733334 36.
 36.       36.666668 37.633335 37.266666 36.866665 36.4      35.8
 35.466667 35.466667 34.833332 34.5      34.5      34.5      34.033333
 34.033333]",-0.8739094946942683,205.62662471611037,0.365421331870223
24,0.1,2,0.01,8,opinion-timeseries,dem,"[61.       61.       61.       58.5      57.8      57.8      57.8
 58.333332 58.333332 57.6      56.266666 55.566666 55.266666 55.266666
 54.       54.       53.366665 53.366665 52.8      52.4      51.366665
 51.366665 50.733334 49.466667 48.766666 47.933334 46.933334 46.933334
 46.6      46.6      46.6      46.6      46.6      46.6      46.2
 46.8      46.8      47.3      47.3      47.3      47.3      47.333332
 46.3      45.666668 45.666668 46.733334 47.933334 48.9      50.133335
 49.633335 49.733334 48.933334 48.033333 46.966667 47.5      47.5
 47.5      47.033333 47.033333 47.033333 47.266666 47.566666 47.566666
 46.866665]",-0.8992576530632853,323.6907129116806,0.42317784984302886
25,0.1,2,0.01,8,opinion-timeseries,mod,"[43.       43.533333 44.2      43.133335 42.633335 42.633335 42.633335
 42.633335 43.5      43.733334 43.166668 43.166668 43.166668 43.166668
 42.133335 41.766666 41.533333 41.533333 41.233334 40.8      39.566666
 40.166668 40.333332 39.566666 38.766666 38.333332 37.733334 38.166668
 38.166668 38.666668 39.133335 39.7      40.3      40.966667 40.533333
 41.033333 41.9      42.2      41.733334 41.233334 40.7      40.966667
 40.466667 40.766666 40.966667 41.6      42.633335 43.433334 43.066666
 42.8      44.       44.2      43.2      42.4      41.733334 41.4
 41.4      40.933334 40.333332 40.333332 40.5      40.366665 39.233334
 38.566666]",-0.4321420012966282,273.0062602342181,0.431797388487417
26,0.1,2,0.01,8,opinion-timeseries,rep,"[55.       55.833332 56.266666 53.833332 53.833332 52.966667 52.533333
 51.9      52.2      52.7      51.5      51.5      51.5      51.133335
 51.133335 50.633335 50.633335 49.433334 49.433334 49.433334 48.833332
 49.066666 49.733334 49.733334 48.333332 46.833332 45.566666 46.
 46.       46.566666 47.2      46.866665 46.633335 46.966667 46.966667
 46.966667 47.666668 47.3      46.3      45.533333 44.7      45.1
 44.7      45.266666 45.233334 44.6      43.533333 42.9      42.
 42.       42.7      43.566666 43.066666 42.566666 42.133335 41.666668
 41.233334 41.233334 40.8      40.366665 40.366665 40.366665 39.733334
 39.733334]",-0.8996760408833347,155.9039871848663,0.26977173617645156
27,0.1,2,0.05,0,opinion-timeseries,dem,"[68.       68.       68.       58.5      55.433334 55.433334 55.433334
 58.333332 58.333332 55.333332 50.066666 47.933334 45.4      45.4
 40.3      40.3      37.8      37.8      35.533333 33.5      30.366667
 30.366667 31.       27.8      24.633333 21.866667 20.       20.
 18.8      18.8      18.8      18.8      18.8      18.8      18.033333
 21.833334 21.833334 26.133333 26.133333 26.133333 26.133333 28.666666
 25.9      24.566668 24.566668 31.466667 38.066666 43.6      49.366665
 46.6      46.9      42.866665 39.366665 35.566666 38.8      38.8
 38.8      36.933334 36.933334 36.933334 37.833332 38.366665 38.366665
 36.233334]",-0.6187461988836954,445.5385705028227,0.5736137034019189
28,0.1,2,0.05,0,opinion-timeseries,mod,"[46.       48.9      51.866665 45.433334 42.8      42.8      42.8
 42.8      45.633335 46.533333 44.066666 44.066666 44.066666 44.066666
 39.8      37.366665 35.9      35.9      34.033333 31.9      27.7
 31.366667 34.833332 31.633333 28.4      25.666666 23.566668 26.866667
 26.866667 30.4      33.6      37.433334 40.8      43.833332 42.066666
 44.866665 47.3      47.6      45.533333 43.466667 41.6      43.2
 41.2      44.233334 44.6      47.933334 51.1      53.2      50.3
 47.5      51.066666 50.3      45.166668 40.333332 38.5      36.4
 36.4      34.366665 32.833332 32.8      34.533333 35.566666 31.933332
 30.333334]",-0.29365012773739585,292.356821801922,0.44834082092756056
29,0.1,2,0.05,0,opinion-timeseries,rep,"[46.       51.4      53.866665 45.766666 45.7      41.666668 39.233334
 37.166668 40.533333 43.233334 38.666668 38.666668 38.666668 36.766666
 36.766666 34.933334 34.9      31.733334 31.733334 31.733334 29.966667
 33.2      36.8      36.766666 31.6      27.666666 24.366667 28.566668
 28.566668 31.933332 35.3      35.766666 35.733334 38.933334 38.9
 38.9      42.533333 40.5      36.266666 33.066666 30.       32.866665
 31.366667 34.8      36.166668 34.166668 31.833334 30.266666 27.666666
 27.666666 31.8      38.933334 37.066666 34.433334 32.566666 31.033333
 29.5      29.5      28.033333 26.733334 26.766666 26.733334 23.8
 23.8     ]",-0.7193834238352196,247.51095097263317,0.44571830461894035
30,0.1,2,0.05,1,opinion-timeseries,dem,"[57.       57.       57.       49.366665 46.666668 46.666668 46.666668
 49.433334 49.433334 46.833332 42.1      39.966667 37.966667 37.966667
 33.966667 33.966667 32.766666 32.766666 31.066668 29.366667 26.3
 26.3      27.666666 25.333334 22.933332 20.666666 18.566668 18.566668
 17.433332 17.433332 17.433332 17.433332 17.433332 17.433332 16.566668
 20.933332 20.933332 24.466667 24.466667 24.466667 24.466667 26.766666
 24.3      23.1      23.1      30.866667 38.3      44.3      49.366665
 47.133335 47.1      42.533333 38.4      34.866665 37.9      37.9
 37.9      36.433334 36.433334 36.433334 37.033333 38.266666 38.266666
 36.533333]",-0.45083881141737125,462.6252074148889,0.6126877454245871
31,0.1,2,0.05,1,opinion-timeseries,mod,"[52.       54.666668 56.933334 49.766666 47.333332 47.333332 47.3
 47.3      50.5      50.566666 47.266666 47.266666 47.266666 47.266666
 42.666668 40.7      38.766666 38.766666 36.8      35.333332 30.3
 33.733334 37.366665 33.9      30.666666 28.       25.8      29.3
 29.266666 32.833332 36.4      39.866665 42.733334 45.       42.733334
 45.633335 48.466667 49.2      46.233334 44.3      42.133335 42.8
 40.733334 44.2      44.333332 47.333332 50.2      51.933334 49.3
 46.633335 49.4      49.366665 44.633335 40.166668 38.133335 36.333332
 36.333332 34.333332 32.7      32.7      33.9      35.633335 32.3
 30.7     ]",-0.49882381345780347,282.8998138284055,0.4284493362709577
32,0.1,2,0.05,1,opinion-timeseries,rep,"[47.       52.633335 54.8      47.133335 47.133335 42.833332 40.866665
 38.9      42.233334 44.866665 40.466667 40.466667 40.466667 38.5
 38.5      36.333332 36.333332 32.       32.       32.       30.5
 34.133335 37.633335 37.633335 32.5      27.3      23.7      27.6
 27.6      31.333334 34.566666 35.466667 34.733334 38.1      38.1
 38.133335 41.       38.5      34.8      31.3      28.6      32.566666
 30.666666 34.1      35.166668 33.3      32.5      31.366667 28.266666
 28.266666 31.6      38.333332 36.533333 34.766666 33.3      31.6
 30.1      30.066668 28.6      27.333334 27.333334 27.333334 24.4
 24.4     ]",-0.7689938738449867,246.76668465335342,0.44222544318349816
33,0.1,2,0.05,2,opinion-timeseries,dem,"[60.       60.       60.       51.966667 49.433334 49.433334 49.433334
 51.866665 51.866665 49.166668 44.366665 42.366665 40.166668 40.166668
 35.933334 35.933334 33.9      33.9      32.3      30.8      27.233334
 27.233334 27.533333 25.3      23.033333 20.466667 17.933332 17.933332
 16.933332 16.933332 16.933332 16.933332 16.933332 16.933332 16.066668
 19.9      19.9      24.366667 24.366667 24.366667 24.366667 26.8
 23.933332 22.766666 22.766666 29.4      36.533333 42.733334 48.866665
 46.266666 46.4      41.6      37.633335 33.333332 36.466667 36.466667
 36.466667 34.633335 34.633335 34.633335 36.4      37.833332 37.833332
 35.966667]",-0.5330647213744159,463.3986253399545,0.6082389498159737
34,0.1,2,0.05,2,opinion-timeseries,mod,"[39.       41.733334 45.033333 38.9      37.133335 37.066666 37.066666
 37.033333 40.7      41.766666 39.733334 39.7      39.633335 39.633335
 35.766666 33.8      32.1      32.1      30.333334 29.       24.566668
 28.5      33.033333 29.766666 26.5      24.2      21.8      25.433332
 25.433332 29.066668 32.233334 35.7      38.966667 41.5      39.666668
 43.2      46.166668 46.8      44.366665 42.       39.666668 40.866665
 38.933334 41.6      42.433334 45.633335 48.4      51.6      49.6
 47.533333 50.       49.766666 44.966667 39.833332 37.833332 36.033333
 35.966667 34.466667 32.7      32.7      34.266666 35.6      32.3
 30.666666]",-0.05692796057903858,307.13703004143485,0.48518703009418096
35,0.1,2,0.05,2,opinion-timeseries,rep,"[39.       45.033333 47.8      41.166668 41.1      36.966667 35.566666
 33.633335 36.833332 40.033333 36.433334 36.433334 36.433334 34.866665
 34.866665 33.133335 33.133335 30.366667 30.366667 30.366667 28.666666
 31.866667 35.1      35.1      30.3      25.766666 21.8      25.733334
 25.733334 29.466667 32.833332 33.2      33.066666 36.7      36.7
 36.733334 39.8      38.133335 34.333332 31.2      28.066668 31.533333
 29.966667 33.5      34.8      32.933334 32.       30.       27.433332
 27.433332 30.566668 37.5      35.433334 33.566666 31.866667 30.2
 29.066668 29.066668 27.8      26.466667 26.466667 26.466667 24.166666
 24.166666]",-0.6271992000648853,258.3443086904823,0.46971825597106037
36,0.1,2,0.05,3,opinion-timeseries,dem,"[65.       65.       65.       55.933334 53.4      53.4      53.4
 56.033333 56.033333 53.5      49.2      46.6      43.966667 43.966667
 38.766666 38.766666 37.1      37.1      35.033333 33.666668 30.466667
 30.466667 30.9      28.033333 25.6      23.066668 20.966667 20.966667
 20.033333 20.033333 20.033333 20.033333 20.033333 20.033333 19.333334
 23.1      23.1      27.533333 27.533333 27.533333 27.533333 29.033333
 26.533333 25.2      25.2      32.4      38.933334 45.033333 50.466667
 48.333332 48.266666 43.633335 38.766666 35.133335 38.5      38.5
 38.5      36.566666 36.566666 36.566666 37.4      38.333332 38.333332
 36.966667]",-0.5900670173558455,442.9597902956317,0.5744049172964428
37,0.1,2,0.05,3,opinion-timeseries,mod,"[35.       39.       41.466667 35.766666 33.9      33.9      33.9
 33.933334 37.433334 38.033333 35.666668 35.666668 35.633335 35.633335
 32.2      30.5      28.9      28.866667 27.7      26.433332 22.9
 26.6      30.133333 27.333334 24.4      22.133333 20.066668 23.966667
 23.966667 28.3      32.533333 36.566666 39.833332 42.6      40.233334
 43.166668 45.633335 45.766666 43.833332 41.8      40.066666 41.433334
 39.366665 42.333332 42.333332 45.4      48.133335 50.966667 48.333332
 45.8      48.766666 49.866665 44.633335 39.533333 37.633335 35.933334
 35.933334 34.1      32.233334 32.233334 33.866665 34.666668 31.1
 29.633333]",0.0774546803666449,317.3574193484037,0.5070951341215041
