,Unnamed: 0,er_p,simple_spread_chance,repetition,pearson,euclidean,mape
7,7,0.05,0.01,7,-0.8435693593803993,225.6537511861617,0.3313372454527315
61,61,0.1,0.01,1,-0.8708005920294429,228.48875166505232,0.334020667051954
9,9,0.05,0.01,9,-0.8793572667381403,229.66816563036292,0.3364511636298249
120,120,0.25,0.01,0,-0.8944367088470115,233.5259938820712,0.3440174224409536
63,63,0.1,0.01,3,-0.7870215368358181,233.60418325441887,0.3480382016813235
60,60,0.1,0.01,0,-0.8490192144560574,233.94443275886147,0.350305476561042
188,188,0.5,0.01,8,-0.875666331954288,240.56978558767676,0.3553587327145944
62,62,0.1,0.01,2,-0.8081344787641228,239.61309148090763,0.35856979781083
128,128,0.25,0.01,8,-0.8339033262168231,240.9731101296553,0.3607192807617239
64,64,0.1,0.01,4,-0.7918305761485529,242.60636763128204,0.3635863121498323
