,er_p,simple_spread_chance,repetition,run,pearson,euclidean,mape
0,0.05,0.01,0,0,-0.4474990276599664,279.83625530189823,0.429965432964101
1,0.05,0.01,0,1,-0.6778971567675044,261.19996171570693,0.39716193395195226
2,0.05,0.01,0,2,-0.7947992589669973,247.93678046598916,0.3678361527306088
3,0.05,0.01,0,3,-0.6291808689362745,281.3825412212918,0.41997647864994336
4,0.05,0.01,0,4,-0.5596120694072038,266.99463818369617,0.40088933914876607
5,0.05,0.01,0,5,-0.3928273013946398,265.11761396359867,0.39697115437412006
6,0.05,0.01,0,6,-0.48312041397818833,256.8247979167069,0.3908168265827318
7,0.05,0.01,0,7,-0.6829041212830945,293.09297577207536,0.44167181331282146
8,0.05,0.01,0,8,-0.6181745266117681,249.6988781575907,0.382279731257052
9,0.05,0.01,0,9,-0.6515558775231153,257.1809408904733,0.3890883230465967
10,0.05,0.01,0,10,-0.19426137652008346,251.38042954539335,0.38388742252889063
11,0.05,0.01,0,11,-0.5010188911442413,230.19409154954155,0.3518672693829304
12,0.05,0.01,0,12,-0.8489704609550194,252.39481820282538,0.376120368699245
13,0.05,0.01,0,13,-0.6189865150116775,290.7795343909392,0.4384848909293926
14,0.05,0.01,0,14,-0.588972205445029,272.1440387674115,0.4144821329154118
15,0.05,0.01,0,15,-0.47346010767960145,253.6442011095335,0.38346227878262945
16,0.05,0.01,0,16,-0.6868083214675571,266.21704179607997,0.3975310580886844
17,0.05,0.01,0,17,-0.8360513361255105,251.54846459832564,0.3738523288592624
18,0.05,0.01,0,18,-0.6846856224132654,279.2874182673637,0.42694581208536686
19,0.05,0.01,0,19,-0.300353450978832,283.2489987186445,0.43875312231298236
20,0.05,0.01,0,20,-0.7260302715114032,245.23848241626544,0.3674909330633834
21,0.05,0.01,0,21,-0.5284609382745848,298.2288202956932,0.4568478294576844
22,0.05,0.01,0,22,-0.5165063426651156,276.79724938936147,0.4224345928844224
23,0.05,0.01,0,23,-0.6017388665442244,239.08016993368184,0.35426742056408383
24,0.05,0.01,0,24,-0.4033044421340382,268.17845856822066,0.4107531013153168
25,0.05,0.01,0,25,-0.4575497041226671,277.29537499162006,0.4294933452715231
26,0.05,0.01,0,26,-0.7537517811943272,280.9834069246667,0.43046557050346773
27,0.05,0.01,0,27,-0.3396702858429736,247.49832239642345,0.37729412350258973
28,0.05,0.01,0,28,-0.7472260006787952,281.32501974351163,0.4271456870548102
29,0.05,0.01,0,29,-0.5517089903880894,277.93127769720377,0.4212602447001095
30,0.05,0.01,1,0,-0.6077308284522712,257.08340265584695,0.3996332683243167
31,0.05,0.01,1,1,-0.7753076504961571,255.4836897433856,0.3940061704955566
32,0.05,0.01,1,2,-0.7443353273729162,268.84707840429996,0.4172105885270656
33,0.05,0.01,1,3,-0.8258451127702884,276.7892376511468,0.4329932293392593
34,0.05,0.01,1,4,-0.6149005605899133,260.7978682169416,0.40404473902460314
35,0.05,0.01,1,5,-0.6605454210432737,282.39592416340315,0.434524384463329
36,0.05,0.01,1,6,-0.5439924664007828,250.6251281551298,0.3873589733525115
37,0.05,0.01,1,7,-0.30338715069927913,237.56136782714034,0.3665417003720705
38,0.05,0.01,1,8,-0.5529250184844471,257.7416414602569,0.40040046759490755
39,0.05,0.01,1,9,-0.6956591275504641,265.4840488549585,0.4079929130607658
40,0.05,0.01,1,10,-0.6567741462521915,244.86102054907084,0.36798508207692593
41,0.05,0.01,1,11,-0.791563387347468,287.7218468637205,0.4508641855403201
42,0.05,0.01,1,12,-0.7410329576327791,276.38474846748545,0.425953783549985
43,0.05,0.01,1,13,-0.6875486305052277,271.09041781521904,0.4208623592512904
44,0.05,0.01,1,14,-0.3925596335330191,246.18342565023303,0.37873131679575467
45,0.05,0.01,1,15,-0.4683519359155772,251.29553774533085,0.3900782389087721
46,0.05,0.01,1,16,-0.7197443353156464,263.3739834184244,0.4040464416974017
47,0.05,0.01,1,17,-0.39011344132669246,249.8404907461179,0.38905490448239705
48,0.05,0.01,1,18,-0.549297798860094,240.70702218788963,0.37495324323533225
49,0.05,0.01,1,19,-0.4672226359735178,262.04025502802307,0.4068365805185455
50,0.05,0.01,1,20,-0.4136171154365315,250.8779797769822,0.38714166199752437
51,0.05,0.01,1,21,-0.6983721866565031,270.2349668031539,0.418485696444661
52,0.05,0.01,1,22,-0.5354117004989897,255.80384756349153,0.39514167046964505
53,0.05,0.01,1,23,-0.7196333999230152,277.35466699547095,0.4324372816565271
54,0.05,0.01,1,24,-0.26742655885708816,252.63454844065086,0.39250397516553176
55,0.05,0.01,1,25,-0.796874688206993,288.54984153136905,0.4501284678143828
56,0.05,0.01,1,26,-0.7865506966682401,267.6129595419198,0.41647635568666647
57,0.05,0.01,1,27,-0.7534400380816101,275.1596816502952,0.41793663358242955
58,0.05,0.01,1,28,-0.6694934230616569,268.57001865439116,0.4178340517353145
59,0.05,0.01,1,29,-0.5275592404182726,250.47945809947325,0.3838706143278347
60,0.05,0.01,2,0,-0.6737978863767299,243.5963620119834,0.37350115558564706
61,0.05,0.01,2,1,-0.6339088497566036,271.4703542122053,0.40247938457071647
62,0.05,0.01,2,2,-0.6567935222633173,259.2617746290946,0.3856865934098237
63,0.05,0.01,2,3,-0.7509778548521941,271.0322630141005,0.40470918863461774
64,0.05,0.01,2,4,-0.42564929926714096,241.59535825204156,0.35641387771150734
65,0.05,0.01,2,5,-0.5252121744831494,258.6787688603434,0.3928527033583303
66,0.05,0.01,2,6,-0.5050462543086299,258.4665999621962,0.38753294383698816
67,0.05,0.01,2,7,-0.4977736806672756,244.63326901754894,0.3718023158595358
68,0.05,0.01,2,8,-0.7711370681563839,252.329593975168,0.3850437120850636
69,0.05,0.01,2,9,-0.6234345809036137,259.08557616819627,0.3869540544757331
70,0.05,0.01,2,10,-0.5529157579387337,251.65664278634094,0.3807092156308199
71,0.05,0.01,2,11,-0.48311380690725764,260.5295307917363,0.3968322457718561
72,0.05,0.01,2,12,-0.5689003350022926,239.14701089100905,0.3616322881585461
73,0.05,0.01,2,13,-0.7289387652453531,243.89183375970643,0.3648063486425006
74,0.05,0.01,2,14,-0.7712654738836511,252.121222865514,0.3826606335081067
75,0.05,0.01,2,15,-0.42457338802512945,234.3401867865215,0.35802583991463566
76,0.05,0.01,2,16,-0.577836573793712,253.50894527887135,0.38339758241923455
77,0.05,0.01,2,17,-0.4538622055424007,256.32293962010027,0.38212974139942
78,0.05,0.01,2,18,-0.5794898090749429,201.0212117150313,0.3038853432189734
79,0.05,0.01,2,19,-0.47489272493944207,239.30050962506485,0.365228586924004
80,0.05,0.01,2,20,-0.8203807089020269,259.15745993363817,0.38741077021575016
81,0.05,0.01,2,21,-0.6359575749493751,259.74549462463295,0.394565210692673
82,0.05,0.01,2,22,-0.6235433203693014,250.2085140311732,0.37188458618932313
83,0.05,0.01,2,23,-0.468823553287159,263.5020267627392,0.40303753405214326
84,0.05,0.01,2,24,-0.8064288300439361,270.66585390321353,0.4097023585994344
85,0.05,0.01,2,25,-0.6644445371372996,240.3722530923202,0.3615829884314785
86,0.05,0.01,2,26,-0.7913313110916378,277.34793748280924,0.42204562393310985
87,0.05,0.01,2,27,-0.5093466772794929,256.94297861753813,0.38620179726774123
88,0.05,0.01,2,28,-0.5404110332146321,255.70993088370324,0.3923150164947787
89,0.05,0.01,2,29,-0.7783959120345991,275.8419909085346,0.4180120490890342
90,0.05,0.01,3,0,-0.8132694575953613,271.9519857492541,0.41173188025228674
91,0.05,0.01,3,1,-0.7983433824894354,276.9666517328368,0.41214069490868815
92,0.05,0.01,3,2,-0.8032597779589657,271.6707005199183,0.40539004692189273
93,0.05,0.01,3,3,-0.3949597605926017,247.48735675422677,0.36996847875902933
94,0.05,0.01,3,4,-0.8212455529203563,253.91552219807193,0.37901954540237187
95,0.05,0.01,3,5,-0.43063281225326433,242.82323911544503,0.3674983613867029
96,0.05,0.01,3,6,-0.6408237695959315,266.400000257327,0.3997977674825645
97,0.05,0.01,3,7,-0.683471757121859,268.8121375976577,0.3989997402738778
98,0.05,0.01,3,8,-0.7094625406596089,259.8021994445043,0.3873001176946689
99,0.05,0.01,3,9,-0.3349950004402802,263.0572756509636,0.4090338880028024
100,0.05,0.01,3,10,-0.603581784891699,253.89290682740315,0.3839453576600717
101,0.05,0.01,3,11,-0.7505003484698151,272.8315373565748,0.41440509207299064
102,0.05,0.01,3,12,-0.732743011757721,277.2825793593661,0.41379510262290625
103,0.05,0.01,3,13,-0.5526323287457982,263.26725145766096,0.39876005227881944
104,0.05,0.01,3,14,-0.6981751842576189,277.74035972934365,0.4252334961394353
105,0.05,0.01,3,15,-0.5833667776421284,277.90647104048736,0.41777078287342206
