,er_p,simple_spread_chance,repetition,run,pearson,euclidean,mape
106,0.05,0.01,3,16,-0.597037078758769,278.33343759804916,0.41687664907020605
107,0.05,0.01,3,17,-0.568254837549648,256.00304506920355,0.3794903305903972
108,0.05,0.01,3,18,-0.6447621891998315,244.15746358403558,0.36890594910799285
109,0.05,0.01,3,19,-0.500502614565486,259.9457984076524,0.39316515111051875
110,0.05,0.01,3,20,-0.7679844508125152,279.2816090393972,0.42051853036830505
111,0.05,0.01,3,21,-0.7154392290479773,287.2629889506549,0.4356681956825898
112,0.05,0.01,3,22,-0.4907279281751145,223.97976619937143,0.3360577525090864
113,0.05,0.01,3,23,-0.78274136188279,275.1067597613168,0.41535094599655026
114,0.05,0.01,3,24,-0.5638477772693586,260.0201420649055,0.39064535009215967
115,0.05,0.01,3,25,-0.6601472365340443,285.43072340241383,0.43206737336807693
116,0.05,0.01,3,26,-0.44024944256125914,263.9264849452575,0.4012900456416047
117,0.05,0.01,3,27,-0.452433245558888,249.7398243727238,0.3803306972709774
118,0.05,0.01,3,28,-0.6159393311942479,254.61852544473797,0.38303131376821414
119,0.05,0.01,3,29,-0.19034345038194125,258.4740806412761,0.39389538051394674
120,0.05,0.01,4,0,-0.6119874066623809,245.21182760378883,0.37539252070108864
121,0.05,0.01,4,1,-0.7387762195277733,251.90733558874373,0.38227209851960003
122,0.05,0.01,4,2,-0.5989290833095376,245.42184588976895,0.3649675535446287
123,0.05,0.01,4,3,-0.72576182054047,236.48585651856305,0.35409743225127394
124,0.05,0.01,4,4,-0.49966245728120856,233.5027224699929,0.35467995613296016
125,0.05,0.01,4,5,-0.7755329091462856,269.15049360468106,0.40474378695735275
126,0.05,0.01,4,6,-0.4617367624542861,240.75827474708572,0.36619393789641896
127,0.05,0.01,4,7,-0.8112192998858152,229.91595341661866,0.3414175072778897
128,0.05,0.01,4,8,-0.7498194447985397,245.51689781700387,0.3653907954566565
129,0.05,0.01,4,9,-0.44402616947679124,244.87805601698935,0.35880158467530004
130,0.05,0.01,4,10,-0.27210970570343945,206.75396934508584,0.3040562736088445
131,0.05,0.01,4,11,-0.7524476320282582,253.5678542353095,0.3815599912341998
132,0.05,0.01,4,12,-0.5830149584765241,246.94943085828666,0.37066906855767784
133,0.05,0.01,4,13,-0.5264600390167231,222.5778271349944,0.3384724577055008
134,0.05,0.01,4,14,-0.43091393789614213,251.02622896501566,0.37921579092138186
135,0.05,0.01,4,15,-0.7588243548846137,247.7973640380219,0.3664394435184685
136,0.05,0.01,4,16,-0.5128539889067255,229.61937431716748,0.35035519938643417
137,0.05,0.01,4,17,-0.7105421431258784,241.98102423869975,0.36333709367406203
138,0.05,0.01,4,18,-0.421707846953388,225.81458596452077,0.34101174432997405
139,0.05,0.01,4,19,-0.6655424607377667,248.91333603348963,0.38481187058092403
140,0.05,0.01,4,20,-0.6469752965513109,260.5692283665812,0.3904445184169623
141,0.05,0.01,4,21,-0.5316352214952212,257.1180249231124,0.3899114916602542
142,0.05,0.01,4,22,-0.7966845299920841,265.40295071560206,0.40315121309577934
143,0.05,0.01,4,23,-0.2901591591750867,226.99078544542837,0.3447700717961181
144,0.05,0.01,4,24,-0.6450228885404137,244.53359122414008,0.3649689153317797
145,0.05,0.01,4,25,-0.31672286212280487,246.25355221339086,0.3741635980619306
146,0.05,0.01,4,26,-0.6452099893164699,244.02930460841506,0.3623493412980226
147,0.05,0.01,4,27,-0.4732548147604989,247.43190715107957,0.3700217374881354
148,0.05,0.01,4,28,-0.5871310674186347,255.97362829837553,0.3839793485523471
149,0.05,0.01,4,29,-0.7843320107543242,245.18256653545743,0.37156091558901555
150,0.05,0.01,5,0,-0.6036307232229065,276.669822839344,0.427158646765507
151,0.05,0.01,5,1,-0.5736622810693189,266.8316935661472,0.41149253997590945
152,0.05,0.01,5,2,-0.5884024528517381,286.7993071005731,0.4440731700954008
153,0.05,0.01,5,3,-0.6693015949605998,284.18745093835804,0.4363523397379681
154,0.05,0.01,5,4,-0.5296446314037496,271.28592099972525,0.4162061614913421
155,0.05,0.01,5,5,-0.6817008894058091,291.15227502579177,0.43949772676612014
156,0.05,0.01,5,6,-0.46234093031470597,261.4716178040943,0.39646215779995253
157,0.05,0.01,5,7,-0.6470337517391561,277.5183610504342,0.423478627227531
158,0.05,0.01,5,8,-0.48004630443151003,263.25376478783943,0.4031436559566796
159,0.05,0.01,5,9,-0.7800593055201063,243.11118551147374,0.3529598069657512
160,0.05,0.01,5,10,-0.323766590309503,255.48658092880214,0.39313624543974474
161,0.05,0.01,5,11,-0.7309712356409577,278.4217629207155,0.4261427646798586
162,0.05,0.01,5,12,-0.43279548067577983,248.73193090727204,0.37819165962926365
163,0.05,0.01,5,13,-0.8060562841586599,282.61096948700373,0.43103747447091606
164,0.05,0.01,5,14,-0.34607833708905683,264.08080566881824,0.4030550339328262
165,0.05,0.01,5,15,-0.812833708590685,294.06633734123017,0.45211404433994445
166,0.05,0.01,5,16,-0.7256810739998053,283.8763347601049,0.43595757084797326
167,0.05,0.01,5,17,-0.5056716899784574,278.0757158766365,0.41653490553153905
168,0.05,0.01,5,18,-0.7478186678830635,240.28213536073835,0.3615805583542903
169,0.05,0.01,5,19,-0.5609073719882645,270.55570565338354,0.41572363876322305
170,0.05,0.01,5,20,-0.786444561991432,236.44387104406724,0.34461767289755446
171,0.05,0.01,5,21,-0.6680755089240941,278.1177662161296,0.42219802391062117
172,0.05,0.01,5,22,-0.3858509037035414,269.4322007615727,0.4074633318943474
173,0.05,0.01,5,23,-0.7049844037568089,289.4791241135818,0.4395092622261947
174,0.05,0.01,5,24,-0.5928981495783195,273.1358031410161,0.42112024913366986
175,0.05,0.01,5,25,-0.8013159741058854,242.98408161973225,0.36583946261206773
176,0.05,0.01,5,26,-0.45744912472820287,266.11133090402444,0.4053373253778972
177,0.05,0.01,5,27,-0.5045399935463973,252.71491358328726,0.3891400417909765
178,0.05,0.01,5,28,-0.6844738099892885,236.01912100391147,0.3509349241331508
179,0.05,0.01,5,29,-0.4185058888535598,280.21767839635095,0.42864027328768334
180,0.05,0.01,6,0,-0.510806095596083,259.71707391087534,0.39712940988052886
181,0.05,0.01,6,1,-0.4042168303325875,257.7786315281542,0.39031004195541424
182,0.05,0.01,6,2,-0.5636177686949427,274.3774774756712,0.41763142708458895
183,0.05,0.01,6,3,-0.5550920568978482,264.65804686581583,0.4039269562373267
184,0.05,0.01,6,4,-0.8234675768430346,299.4804471172658,0.45402805954196174
185,0.05,0.01,6,5,-0.6375362843292961,267.28863196174314,0.40413739519765696
186,0.05,0.01,6,6,-0.7036780427344648,278.78046490384247,0.4272083457878442
187,0.05,0.01,6,7,-0.7840879704467442,270.63326592976415,0.41207715894381974
188,0.05,0.01,6,8,-0.38229711604714484,243.74089258239124,0.3692786223552993
189,0.05,0.01,6,9,-0.7812361527654704,277.71701878279026,0.4208703309539887
190,0.05,0.01,6,10,-0.7346701993332214,270.7480285905513,0.4105200680065992
191,0.05,0.01,6,11,-0.6430238839338333,256.9021059346874,0.390598643405641
192,0.05,0.01,6,12,-0.4689974957333883,259.4277256108112,0.3927717274026749
193,0.05,0.01,6,13,-0.3612767108597998,258.0232650796366,0.3945187996349076
194,0.05,0.01,6,14,-0.6230463699508195,258.4713351731064,0.39015783449441743
195,0.05,0.01,6,15,-0.5320328527684729,270.5421834126211,0.4062933308960342
196,0.05,0.01,6,16,-0.7350985164985829,261.8100887871653,0.3887235212212678
197,0.05,0.01,6,17,-0.5784974624962425,261.1908305603343,0.3941176834143401
198,0.05,0.01,6,18,-0.45338834345052836,248.6523130396594,0.3758387808936809
199,0.05,0.01,6,19,-0.7596041420095864,257.365375345885,0.39252091683727186
200,0.05,0.01,6,20,-0.5612483413850059,254.73372978510795,0.3865415403898278
201,0.05,0.01,6,21,-0.5179015285500972,251.0492348849782,0.3837387292071555
202,0.05,0.01,6,22,-0.5610542484415579,260.51103352034886,0.40028882175378433
203,0.05,0.01,6,23,-0.5583001580040917,261.4030561217502,0.3903160284736173
204,0.05,0.01,6,24,-0.63986122815873,250.86324240085472,0.3733245105616368
205,0.05,0.01,6,25,-0.8401151186522204,281.5673250202861,0.43033159539127075
206,0.05,0.01,6,26,-0.6357833837549771,216.63282433064361,0.32212562990211974
207,0.05,0.01,6,27,-0.6207748397243741,250.5579685733663,0.3763273338444177
208,0.05,0.01,6,28,-0.5231882149708044,261.70769819943814,0.39414922658352536
209,0.05,0.01,6,29,-0.4670923212073701,295.6425565246629,0.44891096686300996
210,0.05,0.01,7,0,-0.5250563740005006,223.68581626702635,0.3236228032902349
211,0.05,0.01,7,1,-0.8470816055393402,250.0315741309571,0.3710731457483383
212,0.05,0.01,7,2,-0.5908718330412436,200.07461178539083,0.28372795131015877
213,0.05,0.01,7,3,-0.7867408490736566,233.73371677421494,0.34059753507739804
214,0.05,0.01,7,4,-0.8328117249393922,231.89084904782484,0.3414628955896544
215,0.05,0.01,7,5,-0.7817498301889332,216.36081200867156,0.31225915530907233
216,0.05,0.01,7,6,-0.747348581813014,261.88633063966887,0.3886960213903672
217,0.05,0.01,7,7,-0.8243089094446122,227.49772852680812,0.3326360870321671
218,0.05,0.01,7,8,-0.5099158645925767,237.03694412503867,0.3474679452682035
219,0.05,0.01,7,9,-0.7832907383702259,231.90676035407398,0.32751794319100336
220,0.05,0.01,7,10,-0.8325895244797663,244.29645620460795,0.3570531004259365
221,0.05,0.01,7,11,-0.7958176058988462,204.46974432677442,0.29927065215095744
222,0.05,0.01,7,12,-0.3696154879785181,235.79426031527532,0.3594686734417385
223,0.05,0.01,7,13,-0.4071797708060895,250.33009686379975,0.37573829644566303
224,0.05,0.01,7,14,-0.7393894010324136,275.15252542498155,0.4159900114236157
225,0.05,0.01,7,15,-0.781961995147547,206.5519737796332,0.30663949904026905
226,0.05,0.01,7,16,-0.7639506533533554,209.43131167279208,0.29988612904195255
227,0.05,0.01,7,17,-0.4527942216292633,200.54290762626633,0.28843877726737777
228,0.05,0.01,7,18,-0.83607727962731,227.44359096232392,0.33692261691306497
229,0.05,0.01,7,19,-0.7847157406876613,205.31414241795986,0.29439750205325904
230,0.05,0.01,7,20,-0.5423657450163923,195.2458032169387,0.2922517890852797
231,0.05,0.01,7,21,-0.7311091082330519,233.52518194317994,0.3384807237281544
232,0.05,0.01,7,22,-0.753136963147131,236.7181205701388,0.346991568054596
233,0.05,0.01,7,23,-0.4499222944624162,240.41661952779054,0.35745849928931817
234,0.05,0.01,7,24,-0.8262567388176053,231.78994232372142,0.3448920958710538
235,0.05,0.01,7,25,-0.7940850151514018,207.33533228100728,0.3042232753038301
236,0.05,0.01,7,26,-0.8647032290886388,219.8049320582708,0.3264381742964236
237,0.05,0.01,7,27,-0.7842892053075078,225.59679353672428,0.32908170304861445
238,0.05,0.01,7,28,-0.8093338177369606,240.75319717520838,0.35835029627204457
239,0.05,0.01,7,29,-0.49152612199651613,192.57237720337866,0.27570632472541656
240,0.05,0.01,8,0,-0.7991764673972498,272.54654464632796,0.4064919268660107
241,0.05,0.01,8,1,-0.7152798366407257,229.014062597346,0.3455781792734578
242,0.05,0.01,8,2,-0.5468462524544572,250.0261018178729,0.37541156378609647
243,0.05,0.01,8,3,-0.6461258408097382,231.32202644196047,0.3443821081342336
244,0.05,0.01,8,4,-0.8337807108042062,297.81374056760893,0.4513199054916938
245,0.05,0.01,8,5,-0.8565062146541353,248.10460249929258,0.36144201490005523
246,0.05,0.01,8,6,-0.447031666592641,281.15049928795014,0.44268952357493135
247,0.05,0.01,8,7,-0.5210384197063386,244.8235772538599,0.36793410299650775
248,0.05,0.01,8,8,-0.35245101744808194,222.2916418116224,0.33831992718543374
249,0.05,0.01,8,9,-0.5804207178533333,261.1674522054629,0.3994699683805358
250,0.05,0.01,8,10,-0.5256974146341601,258.2362176257136,0.3897760526588516
251,0.05,0.01,8,11,-0.7802890970510429,208.47904918887002,0.3037159178708358
252,0.05,0.01,8,12,-0.6030772528027809,251.08021226343803,0.3773133039321464
253,0.05,0.01,8,13,-0.7152163300095892,244.41468993668252,0.36705281587544264
254,0.05,0.01,8,14,-0.7399495812548332,254.12176777076797,0.3751714738120411
255,0.05,0.01,8,15,-0.6514350228954875,256.9833794853639,0.3802311261194007
256,0.05,0.01,8,16,-0.5838228731302791,239.3402063825968,0.3627976400472212
257,0.05,0.01,8,17,-0.5092913718426422,253.1527638564894,0.3839848301685114
258,0.05,0.01,8,18,-0.68814831756867,225.23081731423736,0.32503308072403764
259,0.05,0.01,8,19,-0.7043039753891945,247.07241768520694,0.37354577462835614
260,0.05,0.01,8,20,-0.5824134221442964,251.74413246381815,0.3806518507346372
261,0.05,0.01,8,21,-0.4960801472424055,245.67027681794707,0.3661036333453834
262,0.05,0.01,8,22,-0.7422265232456103,252.98838664371735,0.38458711543108626
263,0.05,0.01,8,23,-0.6155061756079004,278.6687843844107,0.425650898257041
264,0.05,0.01,8,24,-0.7999327660769527,276.3064212581672,0.4096018814204499
265,0.05,0.01,8,25,-0.7783774634102,263.94603322782945,0.39822242061331115
266,0.05,0.01,8,26,-0.5955362990630345,253.27449260459557,0.3823132494847939
267,0.05,0.01,8,27,-0.3391823904986501,255.02808119566393,0.3897160785853817
268,0.05,0.01,8,28,-0.7449418471149002,235.24277585471373,0.3529029044012571
269,0.05,0.01,8,29,-0.6165242751454069,283.75583237835707,0.43669074374716005
270,0.05,0.01,9,0,-0.8264237801769266,244.05611349297234,0.3630591322740251
271,0.05,0.01,9,1,-0.8465889002710996,250.621625449255,0.36676276135662794
272,0.05,0.01,9,2,-0.8649806748051567,239.62576716991217,0.3508634570901754
273,0.05,0.01,9,3,-0.7972013138666748,223.03666449908238,0.3271449514333832
274,0.05,0.01,9,4,-0.8335713873648088,236.85784275833817,0.35202740916672925
275,0.05,0.01,9,5,-0.7769646293561565,235.89906132402666,0.3546553468553227
276,0.05,0.01,9,6,-0.8377249366871201,236.38994804196645,0.344352885923938
277,0.05,0.01,9,7,-0.8803502692186888,247.23230757333633,0.356806159247453
278,0.05,0.01,9,8,-0.7957398282344026,239.06826011657407,0.3509542061485416
279,0.05,0.01,9,9,-0.666547887617118,233.01129685997353,0.34380709614756344
280,0.05,0.01,9,10,-0.5437375536302933,226.19479525075943,0.3318046074014804
281,0.05,0.01,9,11,-0.7895513119239762,236.63774663068807,0.3433840137368372
282,0.05,0.01,9,12,-0.8179337486325705,239.71194825655002,0.3562997300749422
283,0.05,0.01,9,13,-0.5800541731663781,213.57020034824362,0.31287094591025766
284,0.05,0.01,9,14,-0.7258080549188803,225.78813517596055,0.32606666335551787
285,0.05,0.01,9,15,-0.7426901872265704,207.6852410738286,0.29680148428677594
286,0.05,0.01,9,16,-0.809737266451242,223.52048759081018,0.3216811843330783
287,0.05,0.01,9,17,-0.791690803344068,205.91284498659581,0.2999960451174783
288,0.05,0.01,9,18,-0.7877362065205443,249.11325620099788,0.3541072725954348
289,0.05,0.01,9,19,-0.7243749772146599,213.77721999826474,0.31417464787086785
290,0.05,0.01,9,20,-0.7701340269147671,213.98550918279463,0.3111649709732163
291,0.05,0.01,9,21,-0.8372787893503846,225.3103501386352,0.32867856514427757
292,0.05,0.01,9,22,-0.768529140495522,211.41950171677254,0.30887066608000496
293,0.05,0.01,9,23,-0.8261345876953783,251.07030497993244,0.36652479830804646
294,0.05,0.01,9,24,-0.8358871968639613,232.0298590948078,0.339820066336388
295,0.05,0.01,9,25,-0.7525562874638817,225.25066444108916,0.3302800926654743
296,0.05,0.01,9,26,-0.8481664540781227,236.338223761281,0.3528672322754495
297,0.05,0.01,9,27,-0.7234251985644761,226.10101102547307,0.32821297985969805
298,0.05,0.01,9,28,-0.6233284742595762,220.80164697104354,0.3254225865879193
299,0.05,0.01,9,29,-0.8666594118172011,236.22373156022022,0.345546515703423
300,0.05,0.05,0,0,-0.47726018606561355,341.5328590473852,0.5115454676989929
301,0.05,0.05,0,1,-0.5764851785291537,336.90939922079536,0.5033979812749978
302,0.05,0.05,0,2,-0.372782816693205,329.16417143261316,0.49704857684062603
303,0.05,0.05,0,3,-0.38221942305358453,336.0102089688692,0.5049150249918203
304,0.05,0.05,0,4,-0.5698753221254713,321.38509467037795,0.47387785999969473
305,0.05,0.05,0,5,-0.6141222845828809,344.81458653264303,0.5146822553760463
306,0.05,0.05,0,6,-0.44156241693478204,353.92214424987486,0.5368484152340546
307,0.05,0.05,0,7,-0.4537445102228852,349.05843323316617,0.5324639302561515
308,0.05,0.05,0,8,-0.5531920676131722,348.2283760118541,0.5245008460815458
309,0.05,0.05,0,9,-0.4525891435225558,334.7047648363605,0.5115801557920936
310,0.05,0.05,0,10,-0.4721485825773983,338.2901017355491,0.5027678485157453
311,0.05,0.05,0,11,-0.5399852127130433,347.02714754021736,0.5284149275122102
312,0.05,0.05,0,12,-0.42381624286645475,352.77434392638406,0.5355099309592268
313,0.05,0.05,0,13,-0.3997220438187079,358.5519491529812,0.5514915851555829
314,0.05,0.05,0,14,-0.6103443531708237,350.6333073757393,0.5271110405272902
315,0.05,0.05,0,15,-0.44948842323382876,334.24009115046795,0.49783351057149616
316,0.05,0.05,0,16,-0.5389390610463239,369.4399600347988,0.5569784189058185
317,0.05,0.05,0,17,-0.45313475777431195,342.4648140782969,0.5191744238978866
318,0.05,0.05,0,18,-0.4704163587100188,355.088850778305,0.5300701398281388
319,0.05,0.05,0,19,-0.5196758885613894,345.8052696292064,0.5160813435648249
320,0.05,0.05,0,20,-0.49053572952427293,341.22038070339386,0.5128040714808988
321,0.05,0.05,0,21,-0.5641006168149006,368.2783255713778,0.5527184657910307
322,0.05,0.05,0,22,-0.391387870202801,346.2085292731729,0.5177658955691921
323,0.05,0.05,0,23,-0.20488823368264605,336.64044123934167,0.5149594613075779
324,0.05,0.05,0,24,-0.406091433912674,345.0596925651762,0.5202465458969584
325,0.05,0.05,0,25,-0.43368147339373736,330.8013986071449,0.4983223916468767
326,0.05,0.05,0,26,-0.5545982715306877,362.6843480038701,0.5482685478967755
327,0.05,0.05,0,27,-0.5910238667184785,335.65807384363677,0.5041613703717122
328,0.05,0.05,0,28,-0.5436610888014074,344.60562654105337,0.5164401355438668
329,0.05,0.05,0,29,-0.4294873440306106,342.2098720716254,0.5179800789474118
330,0.05,0.05,1,0,-0.25289114404824575,347.3828615366726,0.5242350670138604
331,0.05,0.05,1,1,-0.5421640024112259,350.77799109287116,0.5252825972967328
332,0.05,0.05,1,2,-0.2745304943662709,350.813546871776,0.5364557504865165
333,0.05,0.05,1,3,-0.3479092746640537,360.3736661353787,0.5523512238291642
334,0.05,0.05,1,4,-0.5094475816124583,333.7039313174119,0.49652373753376383
335,0.05,0.05,1,5,-0.3571146533982641,345.1426027413854,0.5245951017787035
336,0.05,0.05,1,6,-0.5031287900121949,358.0497139750573,0.5471246917016424
337,0.05,0.05,1,7,-0.24287260787553236,351.45693514965933,0.5409772741866736
338,0.05,0.05,1,8,-0.4613525100056612,360.4845307285027,0.5472136880173587
339,0.05,0.05,1,9,-0.5177607482952681,344.33237180591505,0.519161869036594
340,0.05,0.05,1,10,-0.24014867722907432,344.2767035998514,0.521381552452353
