,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,data,pearson,euclidean,mape
10,3,0.05,0.1,3,opinion-timeseries,mod,"[41.       48.566666 49.       46.       46.       45.       45.
 46.       46.       46.       45.       45.       45.       45.
 45.       45.       45.       45.       45.       45.       41.
 46.       46.       41.       41.       41.       41.       46.
 46.       46.       46.       46.       46.       46.       41.
 46.       46.       46.       41.       41.       41.       46.
 46.       46.       46.       46.       46.       46.       46.
 46.       46.       46.       46.       46.       46.       46.
 46.       46.       46.       46.       46.       46.       41.
 41.      ]",-0.0800439585657516,244.4124109327385,0.38361896332688067
11,3,0.05,0.1,3,opinion-timeseries,rep,"[49.       63.1      63.733334 39.333332 39.333332 26.366667 26.366667
 37.8      42.933334 43.766666 28.3      28.3      28.3      28.3
 28.3      28.3      28.3      26.       26.       26.       25.833334
 38.833332 44.       30.1      25.266666 25.       25.       37.633335
 37.633335 43.       44.       41.3      40.833332 43.733334 30.
 41.433334 43.933334 44.       28.1      25.333334 25.       35.433334
 35.433334 42.166668 43.6      44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       28.066668
 25.3     ]",-0.02822518581778283,224.59164554665333,0.4235083354568023
12,3,0.05,0.1,4,opinion-timeseries,dem,"[73.       73.       73.       21.1      21.1      21.1      21.1
 88.       88.       88.       63.066666 40.       34.533333 34.533333
 34.033333 34.033333 34.033333 34.033333 34.033333 34.033333 19.833334
 19.833334 48.533333 21.       20.       20.       20.       20.
 20.       20.       20.       20.       20.       20.       20.
 84.566666 84.566666 88.933334 88.933334 88.933334 88.933334 86.333336
 86.333336 51.133335 51.133335 88.53333  89.       89.       89.
 50.233334 88.666664 88.666664 50.433334 34.8      88.36667  88.36667
 88.36667  88.36667  88.36667  88.36667  89.       89.       89.
 23.666666]",0.3183757380028586,349.34974155831935,0.39615532537400605
13,3,0.05,0.1,4,opinion-timeseries,mod,"[39.       50.       50.       41.333332 41.333332 39.8      39.8
 40.2      40.2      40.2      37.366665 35.7      35.4      35.4
 35.4      35.4      35.4      35.4      35.4      35.4      29.566668
 33.933334 33.933334 29.       29.       29.       29.       33.
 33.       33.       33.       33.       33.       33.       29.
 33.       33.       33.       29.       29.       29.       33.
 33.       33.       33.       33.       33.       33.       33.
 33.       33.       33.       33.       33.       33.       33.
 33.       33.       33.       33.       33.       33.       29.
 29.      ]",-0.8025586516180386,334.4618977225094,0.5247236662213798
14,3,0.05,0.1,4,opinion-timeseries,rep,"[45.       60.633335 61.       52.8      52.8      41.866665 41.866665
 50.133335 51.8      51.8      40.9      40.4      40.4      40.4
 40.4      40.4      40.4      39.8      39.8      39.8      39.6
 48.5      48.7      40.133335 39.       39.       39.       47.
 47.       47.       47.       47.       47.       47.       40.
 47.       47.       47.       39.       39.       39.       48.
 48.       46.1      48.       48.       48.       48.       46.
 46.       48.       48.       46.066666 46.       48.       46.
 46.       46.       46.       46.       48.       48.       41.
 41.      ]",-0.25730319517785133,160.85263596896985,0.2967234791296665
15,3,0.05,0.1,5,opinion-timeseries,dem,"[67.       67.       67.       19.5      19.5      19.5      19.5
 82.46667  82.46667  82.46667  81.46667  81.46667  81.46667  81.46667
 80.3      80.3      80.3      80.3      75.6      73.73333  20.466667
 20.466667 77.433334 21.5      19.033333 19.       19.       19.
 19.       19.       19.       19.       19.       19.       19.
 81.433334 81.433334 85.566666 85.566666 85.566666 85.566666 82.166664
 82.166664 81.166664 81.166664 85.7      85.933334 85.96667  86.
 75.46667  85.53333  85.53333  78.333336 73.8      86.       86.
 86.       86.       86.       86.       86.       86.       86.
 21.8     ]",0.29934054298271295,301.11861506867814,0.2984310904762635
16,3,0.05,0.1,5,opinion-timeseries,mod,"[46.       53.       53.       44.833332 44.833332 44.833332 44.833332
 44.833332 44.833332 44.833332 44.833332 44.833332 44.833332 44.833332
 44.3      44.       44.       44.       44.       44.       41.633335
 44.       44.       41.8      41.       41.       41.       44.
 44.       44.       44.       44.       44.       44.       41.966667
 44.       44.       44.       41.533333 41.       41.       44.
 44.       44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       41.3
 41.      ]",-0.571689335240808,253.9274743711194,0.39551137234510614
17,3,0.05,0.1,5,opinion-timeseries,rep,"[50.       63.       63.       51.566666 51.566666 43.233334 43.233334
 52.       52.       52.       43.466667 43.466667 43.466667 43.466667
 43.466667 43.466667 43.466667 43.       43.       43.       43.
 51.4      52.       43.066666 43.       43.       43.       51.5
 51.5      52.       52.       51.666668 51.733334 52.       43.033333
 51.966667 52.       52.       43.6      43.       43.       51.933334
 51.933334 52.       52.       52.       52.       52.       51.
 51.       52.       52.       52.       52.       52.       51.
 51.       51.       51.       51.       52.       52.       43.366665
 43.      ]",-0.04195696141297939,132.28929285582095,0.24560685261906046
18,3,0.05,0.1,6,opinion-timeseries,dem,"[64.       64.       64.       15.066667 15.066667 15.066667 15.066667
 82.066666 82.066666 82.066666 80.066666 73.5      62.1      62.1
 50.366665 50.366665 50.366665 50.366665 40.466667 36.033333 14.2
 14.2      64.6      22.633333 12.266666 11.033334 11.       11.
 11.       11.       11.       11.       11.       11.       11.
 81.4      81.4      88.36667  88.36667  88.36667  88.36667  81.066666
 81.066666 78.666664 78.666664 88.6      89.       89.       89.
 75.333336 88.63333  88.63333  74.833336 54.666668 87.666664 87.666664
 87.666664 87.666664 87.666664 87.666664 88.86667  89.       89.
 18.666666]",0.35622079450148436,345.38228035898334,0.363859688812155
19,3,0.05,0.1,6,opinion-timeseries,mod,"[51.       60.233334 61.       55.766666 55.766666 54.233334 54.233334
 55.933334 56.       56.       54.5      54.5      54.5      54.5
 54.5      54.5      54.5      54.       54.       54.       50.666668
 55.733334 56.       51.533333 50.033333 50.       50.       55.866665
 55.866665 56.       56.       56.       56.       56.       51.666668
 55.666668 56.       56.       52.633335 50.633335 50.       55.833332
 55.833332 56.       56.       56.       56.       56.       56.
 56.       56.       56.       56.       56.       56.       56.
 56.       56.       56.       56.       56.       56.       52.566666
 50.6     ]",-0.10945598712244664,170.65678624231495,0.25941775384173366
