,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
10,0.05,0,1,3,opinion-timeseries,mod,"[47.        70.13333   78.46667   48.266666  45.866665  36.1
 35.766666  45.266666  53.866665  58.633335  37.533333  33.566666
 29.166666  28.8       24.766666  21.8       21.233334  12.466666
 11.033334   9.8        6.266667  19.433332  33.366665  21.4
  9.766666   4.1666665  2.1       18.6       18.4       30.366667
 40.466667  39.166668  38.266666  47.1       35.433334  46.266666
 53.966667  53.433334  35.033333  22.9       15.6       31.366667
 30.233334  37.4       46.        49.866665  52.566666  53.766666
 52.633335  47.        54.066666  55.033333  49.166668  44.433334
 45.9       41.666668  40.5       38.666668  34.433334  34.2
 38.5       42.066666  32.133335  24.266666 ]",-0.27919914160137543,342.79346067636783,0.5198779859387426
11,0.05,0,1,3,opinion-timeseries,rep,"[46.        70.066666  77.86667   46.533333  45.333332  32.5
 31.966667  41.833332  50.3       56.466667  35.466667  31.866667
 28.9       28.466667  25.633333  22.7       22.433332  11.933333
 10.4        9.433333   6.1666665 19.966667  31.8       21.9
 10.566667   5.266667   2.6333334 18.533333  18.466667  29.6
 37.866665  35.        35.433334  44.933334  34.666668  42.566666
 51.233334  50.933334  33.533333  20.433332  12.7       29.7
 28.766666  37.4       44.466667  47.066666  46.666668  45.733334
 45.266666  42.333332  49.5       51.4       47.566666  43.533333
 44.733334  40.133335  38.933334  38.033333  35.233334  34.766666
 37.        39.3       29.766666  24.966667 ]",-0.1665921033972773,267.4716124609507,0.47893223904027626
12,0.05,0,1,4,opinion-timeseries,dem,"[66.        66.        66.        46.066666  44.166668  44.166668
 44.166668  55.633335  55.633335  54.566666  46.066666  40.166668
 34.666668  34.666668  30.5       30.5       29.833334  29.833334
 25.966667  22.666666  17.1       17.1       22.033333  14.366667
 10.166667   7.1666665  4.866667   4.866667   4.866667   4.866667
  4.866667   4.866667   4.866667   4.866667   3.5666666 20.166666
 20.166666  33.566666  33.566666  33.566666  33.566666  37.033333
 35.933334  30.7       30.7       41.766666  50.2       56.733334
 62.766666  55.966667  58.366665  56.2       49.4       42.9
 46.766666  46.766666  46.766666  44.3       44.3       44.3
 47.133335  48.833332  48.833332  35.8      ]",-0.15344316021198603,463.57020211778394,0.5995834030423821
13,0.05,0,1,4,opinion-timeseries,mod,"[38.        63.4       72.4       46.733334  44.533333  34.533333
 34.133335  45.366665  53.666668  58.566666  37.766666  33.833332
 29.366667  29.033333  25.233334  22.833334  22.166666  14.466666
 12.6       11.133333   7.4333334 20.266666  33.9       22.4
 11.3        5.         2.1666667 18.066668  17.7       29.566668
 39.9       38.833332  37.566666  45.766666  33.833332  43.933334
 52.133335  53.066666  35.5       23.5       15.766666  33.233334
 32.066666  39.033333  46.2       49.        50.833332  51.466667
 49.766666  44.466667  51.433334  52.2       46.8       42.366665
 43.133335  38.933334  37.833332  36.6       33.633335  33.233334
 37.166668  40.566666  29.5       22.6      ]",-0.2586051183572932,344.68889165447433,0.5261907014841378
14,0.05,0,1,4,opinion-timeseries,rep,"[47.        71.333336  79.        49.333332  48.1       34.966667
 34.333332  43.8       51.533333  57.8       36.566666  33.166668
 29.533333  29.066668  25.166666  22.033333  21.933332  11.733334
 10.8        9.4        6.2       19.233334  30.833334  21.566668
 10.1        4.9666667  2.4666667 17.7       17.5       28.5
 36.6       33.633335  33.6       42.3       32.3       41.133335
 49.266666  48.7       31.3       20.566668  12.9       29.566668
 28.7       36.866665  44.133335  46.3       46.866665  47.533333
 46.733334  42.866665  50.        51.866665  48.166668  44.266666
 44.533333  40.6       39.2       38.5       35.666668  35.066666
 38.033333  40.533333  30.566668  25.933332 ]",-0.20226711472966521,268.63239505782883,0.4794142477629345
15,0.05,0,1,5,opinion-timeseries,dem,"[74.        74.        74.        52.4       50.033333  50.033333
 50.033333  60.4       60.4       59.366665  49.866665  43.866665
 39.3       39.3       34.066666  34.066666  33.4       33.4
 29.566668  26.7       19.9       19.9       24.433332  16.5
 12.866667   9.433333   7.633333   7.633333   7.5333333  7.5333333
  7.5333333  7.5333333  7.5333333  7.5333333  5.8       21.133333
 21.133333  33.833332  33.833332  33.833332  33.833332  36.566666
 35.        30.866667  30.866667  43.266666  51.733334  57.4
 63.3       56.233334  58.466667  56.866665  50.066666  43.5
 47.433334  47.433334  47.433334  45.066666  45.066666  45.066666
 46.933334  48.933334  48.933334  37.266666 ]",-0.263908509729078,449.00161392552855,0.5779991830389095
16,0.05,0,1,5,opinion-timeseries,mod,"[42.        66.6       75.03333   48.766666  46.733334  35.766666
 35.333332  45.033333  54.3       59.7       38.7       34.466667
 30.633333  30.366667  25.8       23.        22.7       13.133333
 11.266666   9.833333   6.3333335 19.        31.4       20.2
  9.833333   4.4666667  2.1666667 18.4       18.266666  29.966667
 39.033333  37.933334  37.566666  46.266666  33.533333  44.433334
 52.366665  52.633335  34.233334  23.266666  14.833333  30.8
 30.        37.133335  44.233334  51.266666  54.266666  54.933334
 52.633335  47.3       55.466667  56.2       50.4       44.633335
 46.033333  42.133335  41.1       39.733334  36.266666  36.033333
 40.266666  43.4       31.833334  24.133333 ]",-0.2512604739389536,341.5209564603052,0.5171221102417746
17,0.05,0,1,5,opinion-timeseries,rep,"[42.        69.566666  77.666664  47.3       45.833332  33.366665
 32.766666  42.933334  51.3       57.7       34.866665  31.933332
 29.        28.433332  25.766666  23.        22.733334  11.766666
 10.2        9.3        6.3333335 20.666666  31.433332  21.3
 10.633333   4.866667   2.2666667 18.8       18.6       30.333334
 38.7       35.033333  35.8       45.1       33.7       41.233334
 50.633335  50.333332  32.3       20.533333  13.466666  29.9
 29.        36.333332  43.733334  46.733334  45.866665  46.166668
 45.033333  41.8       49.733334  51.733334  47.766666  43.866665
 44.3       40.566666  38.966667  37.866665  34.5       34.133335
 37.366665  40.566666  30.6       25.533333 ]",-0.16364562619927905,267.32783649104425,0.4773441390008313
18,0.05,0,1,6,opinion-timeseries,dem,"[64.        64.        64.        45.5       43.7       43.7
 43.7       57.266666  57.266666  56.133335  47.1       41.733334
 37.033333  37.033333  32.466667  32.466667  31.933332  31.933332
 27.733334  24.633333  16.866667  16.866667  22.333334  14.733334
 10.566667   7.4666667  5.4333334  5.4333334  5.4        5.4
  5.4        5.4        5.4        5.4        3.8333333 22.066668
 22.066668  35.3       35.3       35.3       35.3       39.5
 38.1       33.2       33.2       43.833332  51.966667  57.3
 63.833332  56.3       58.833332  56.333332  49.1       42.766666
 46.433334  46.433334  46.433334  44.3       44.3       44.3
 46.633335  48.3       48.3       35.166668 ]",-0.1401399380381523,457.39675683158924,0.591754401240581
19,0.05,0,1,6,opinion-timeseries,mod,"[47.        69.566666  77.5       47.666668  45.5       34.566666
 34.2       45.466667  54.566666  59.6       39.4       34.9
 30.633333  30.4       26.233334  22.866667  22.4       14.5
 13.2       11.666667   6.6666665 18.866667  30.4       19.933332
  9.966666   5.266667   2.7666667 19.866667  19.6       30.133333
 39.433334  39.433334  38.833332  47.166668  34.433334  45.333332
 54.2       54.733334  36.266666  23.866667  15.733334  31.1
 29.766666  38.133335  45.266666  51.266666  53.533333  54.166668
 51.1       45.733334  52.266666  53.3       48.166668  42.733334
 44.166668  40.233334  39.333332  38.033333  35.066666  34.833332
 38.933334  42.766666  31.533333  23.3      ]",-0.29000564191174993,341.42342600738044,0.518454030955871
