,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
176,0.05,1,1,8,opinion-timeseries,rep,"[4.1000000e+01 8.5633331e+01 9.2733330e+01 3.8599998e+01 3.4299999e+01
 1.6766666e+01 1.5833333e+01 3.2733334e+01 4.3133335e+01 4.7566666e+01
 1.4500000e+01 1.0633333e+01 8.0333338e+00 7.7666669e+00 5.8666668e+00
 4.4000001e+00 4.1999998e+00 1.1333333e+00 8.9999998e-01 6.6666669e-01
 2.3333333e-01 2.7500000e+01 4.4700001e+01 1.7700001e+01 3.0333333e+00
 5.6666666e-01 6.6666670e-02 2.6200001e+01 2.5133333e+01 3.8366665e+01
 4.6366665e+01 4.1166668e+01 4.4533333e+01 6.1866665e+01 3.1433332e+01
 5.6133335e+01 7.1633331e+01 6.3666668e+01 2.2366667e+01 7.9333334e+00
 2.9666667e+00 5.3166668e+01 4.8700001e+01 4.8833332e+01 5.7933334e+01
 5.3833332e+01 5.3700001e+01 5.2533333e+01 4.4666668e+01 3.4099998e+01
 5.4133335e+01 5.7533333e+01 4.7799999e+01 3.9633335e+01 4.1266666e+01
 3.3566666e+01 3.0733334e+01 2.8400000e+01 2.2766666e+01 2.2000000e+01
 3.1600000e+01 3.7533333e+01 1.9166666e+01 1.1366667e+01]",-0.008813704655138652,308.3184890226978,0.5404692831744726
177,0.05,1,1,9,opinion-timeseries,dem,"[61.         61.         61.         27.833334   24.6        24.6
 24.6        49.933334   49.933334   47.466667   30.533333   21.933332
 16.366667   16.366667   11.733334   11.733334   11.266666   11.266666
  8.1         5.733333    2.7333333   2.7333333  19.366667    6.5333333
  3.2666667   1.7333333   0.73333335  0.73333335  0.6666667   0.6666667
  0.6666667   0.6666667   0.6666667   0.6666667   0.33333334 32.4
 32.4        49.4        49.4        49.4        49.4        47.333332
 42.4        30.766666   30.766666   50.2        62.033333   69.2
 75.066666   56.3        61.066666   55.8        38.933334   27.8
 37.3        37.3        37.3        33.         33.         33.
 40.266666   43.566666   43.566666   21.266666  ]",0.07724252578892236,507.31559493905445,0.6653096128114808
178,0.05,1,1,9,opinion-timeseries,mod,"[4.5000000e+01 8.5266670e+01 9.2433334e+01 3.6299999e+01 3.1633333e+01
 1.6766666e+01 1.6066668e+01 3.2099998e+01 4.2599998e+01 4.5466667e+01
 1.4800000e+01 1.0900000e+01 8.1000004e+00 7.7333331e+00 5.0999999e+00
 3.7000000e+00 3.4666667e+00 1.2666667e+00 1.0000000e+00 7.6666665e-01
 4.0000001e-01 2.6066668e+01 4.4599998e+01 1.6633333e+01 2.4333334e+00
 3.6666667e-01 3.3333335e-02 2.6233334e+01 2.4966667e+01 3.8266666e+01
 4.6766666e+01 4.1700001e+01 4.4299999e+01 6.0533333e+01 3.0933332e+01
 5.7599998e+01 7.0466667e+01 6.3799999e+01 2.3566668e+01 8.3666668e+00
 3.2333333e+00 5.3333332e+01 4.9400002e+01 4.8633335e+01 5.7299999e+01
 5.5266666e+01 5.2933334e+01 5.4666668e+01 4.5633335e+01 3.4200001e+01
 5.3366665e+01 5.5700001e+01 4.5333332e+01 3.7733334e+01 4.0333332e+01
 3.1100000e+01 2.8966667e+01 2.6166666e+01 2.1100000e+01 2.0400000e+01
 3.1666666e+01 3.7700001e+01 1.8133333e+01 9.6000004e+00]",-0.11380159916861607,390.497908315409,0.5992494644000927
179,0.05,1,1,9,opinion-timeseries,rep,"[4.6000000e+01 8.6233330e+01 9.2966667e+01 4.0366665e+01 3.6433334e+01
 1.7400000e+01 1.6466667e+01 3.2433334e+01 4.2599998e+01 4.7400002e+01
 1.2966666e+01 9.8000002e+00 7.4333334e+00 7.2666669e+00 5.5000000e+00
 3.9333334e+00 3.7333333e+00 9.6666664e-01 6.9999999e-01 4.0000001e-01
 1.6666667e-01 2.5833334e+01 4.4233334e+01 1.7533333e+01 3.1333334e+00
 4.0000001e-01 3.3333335e-02 2.5766666e+01 2.4766666e+01 3.7833332e+01
 4.5533333e+01 4.2733334e+01 4.4900002e+01 6.1733334e+01 3.1400000e+01
 5.7099998e+01 7.2500000e+01 6.5666664e+01 2.3966667e+01 8.5000000e+00
 3.0666666e+00 5.3366665e+01 4.9733334e+01 4.9266666e+01 5.6866665e+01
 5.3066666e+01 5.3033333e+01 5.3400002e+01 4.6799999e+01 3.6400002e+01
 5.5900002e+01 5.8633335e+01 4.8833332e+01 4.1433334e+01 4.2299999e+01
 3.3599998e+01 3.0700001e+01 2.8433332e+01 2.3233334e+01 2.2366667e+01
 3.1233334e+01 3.6500000e+01 1.7533333e+01 1.0366667e+01]",-0.01889512072266468,308.6598696810696,0.538947060689322
180,0.05,1,2,0,opinion-timeseries,dem,"[68.        68.        68.        36.533333  36.        36.
 36.        63.1       63.1       63.        55.6       48.8
 43.9       43.9       38.7       38.7       38.6       38.6
 35.033333  31.033333  17.2       17.2       28.333334  13.366667
  7.1        3.8333333  1.8666667  1.8666667  1.8666667  1.8666667
  1.8666667  1.8666667  1.8666667  1.8666667  1.2666667 40.
 40.        59.733334  59.733334  59.733334  59.733334  53.6
 53.3       46.4       46.4       56.        61.366665  65.4
 69.76667   62.2       64.46667   64.3       56.966667  50.166668
 53.033333  53.033333  53.033333  51.966667  51.966667  51.966667
 54.2       55.5       55.5       28.066668 ]",0.02788970900129861,424.3978910008869,0.5341109649876316
181,0.05,1,2,0,opinion-timeseries,mod,"[52.         86.666664   93.333336   51.066666   50.266666   27.666666
 27.6        50.733334   62.666668   68.03333    32.3        28.633333
 25.366667   25.233334   22.166666   19.933332   19.9         6.4
  5.7         4.9666667   2.4333334  18.633333   30.         13.9
  3.3333333   0.76666665  0.13333334 27.933332   27.866667   42.8
 51.3        44.633335   44.166668   54.466667   28.2        49.133335
 60.933334   58.866665   25.866667   11.366667    5.0666666  37.433334
 37.4        46.8        53.466667   53.033333   53.333332   52.266666
 49.066666   42.5        51.333332   52.4        50.166668   47.566666
 49.2        45.033333   44.4        43.833332   40.7        40.7
 45.2        48.3        25.9        13.866667  ]",-0.2758605727543894,350.9093180495718,0.5261286775750718
182,0.05,1,2,0,opinion-timeseries,rep,"[4.3000000e+01 8.2633331e+01 8.9233330e+01 5.1033333e+01 5.0533333e+01
 2.4633333e+01 2.4500000e+01 4.9099998e+01 6.2633335e+01 6.9933334e+01
 3.1066668e+01 2.7366667e+01 2.4466667e+01 2.4466667e+01 2.1633333e+01
 1.9533333e+01 1.9500000e+01 5.0666666e+00 4.5999999e+00 4.1999998e+00
 2.0000000e+00 2.0866667e+01 3.2033333e+01 1.4333333e+01 3.2000000e+00
 8.3333331e-01 6.6666670e-02 2.8466667e+01 2.8466667e+01 4.3566666e+01
 5.1099998e+01 4.4299999e+01 4.2133335e+01 5.5366665e+01 2.8166666e+01
 5.0166668e+01 6.2266666e+01 6.0666668e+01 2.6566668e+01 1.1533334e+01
 4.6666665e+00 3.7599998e+01 3.7433334e+01 4.7333332e+01 5.4566666e+01
 5.3233334e+01 5.2933334e+01 5.2500000e+01 4.9766666e+01 4.5066666e+01
 5.2566666e+01 5.3333332e+01 5.1533333e+01 4.9766666e+01 5.1599998e+01
 4.6799999e+01 4.6366665e+01 4.5966667e+01 4.2666668e+01 4.2599998e+01
 4.6566666e+01 4.9166668e+01 2.7600000e+01 1.6100000e+01]",-0.060289902716277495,268.42124115545323,0.46334245986486433
183,0.05,1,2,1,opinion-timeseries,dem,"[71.        71.        71.        38.133335  37.9       37.9
 37.9       65.4       65.4       65.23333   56.166668  49.733334
 43.3       43.3       37.5       37.5       37.4       37.4
 33.066666  29.6       15.933333  15.933333  25.933332  11.6
  6.1666665  3.7666667  2.0666666  2.0666666  2.0666666  2.0666666
  2.0666666  2.0666666  2.0666666  2.0666666  1.2333333 37.5
 37.5       57.4       57.4       57.4       57.4       52.7
 52.566666  46.333332  46.333332  55.633335  61.266666  64.666664
 69.066666  62.133335  64.566666  64.26667   57.3       50.166668
 53.2       53.2       53.2       52.033333  52.033333  52.033333
 53.566666  55.133335  55.133335  25.933332 ]",-0.012934064937352363,427.6123164263337,0.5380127743923544
184,0.05,1,2,1,opinion-timeseries,mod,"[3.5000000e+01 8.1800003e+01 9.0033333e+01 5.0966667e+01 4.9866665e+01
 2.5766666e+01 2.5700001e+01 4.8966667e+01 6.0233334e+01 6.6599998e+01
 3.0166666e+01 2.6233334e+01 2.3000000e+01 2.2966667e+01 1.9966667e+01
 1.7533333e+01 1.7500000e+01 5.1333332e+00 4.5333333e+00 4.0333333e+00
 1.7666667e+00 1.8833334e+01 3.1366667e+01 1.3366667e+01 2.7000000e+00
 5.0000000e-01 3.3333335e-02 2.8866667e+01 2.8799999e+01 4.1900002e+01
 5.0033333e+01 4.4799999e+01 4.4433334e+01 5.4933334e+01 2.7166666e+01
 4.9733334e+01 6.0933334e+01 5.9433334e+01 2.6566668e+01 1.1066667e+01
 4.9333334e+00 3.6933334e+01 3.6866665e+01 4.7066666e+01 5.3133335e+01
 5.3866665e+01 5.3299999e+01 5.3633335e+01 4.9633335e+01 4.4333332e+01
 5.1799999e+01 5.2466667e+01 4.9766666e+01 4.7766666e+01 4.9766666e+01
 4.5400002e+01 4.4700001e+01 4.4266666e+01 4.0533333e+01 4.0433334e+01
 4.3833332e+01 4.6900002e+01 2.5100000e+01 1.4466666e+01]",-0.201067503272242,353.5530400696158,0.5319874106412636
185,0.05,1,2,1,opinion-timeseries,rep,"[46.         86.26667    92.23333    51.133335   50.866665   26.6
 26.5        50.833332   64.6        70.933334   31.233334   28.3
 25.4        25.3        22.666666   20.133333   20.133333    5.133333
  4.2         3.8666666   2.1        20.566668   32.133335   15.6
  3.7333333   1.          0.33333334 29.333334   29.266666   43.766666
 51.866665   42.833332   42.1        54.066666   27.166666   48.933334
 61.1        59.066666   25.8        11.166667    4.233333   35.7
 35.7        47.066666   54.3        53.6        52.133335   51.733334
 48.3        43.666668   51.333332   51.933334   50.1        48.566666
 50.6        46.466667   46.         45.633335   41.633335   41.566666
 45.033333   47.666668   24.833334   15.133333  ]",-0.11095415920476731,270.97541361276643,0.47128563374641336
186,0.05,1,2,2,opinion-timeseries,dem,"[63.        63.        63.        33.966667  33.4       33.4
 33.4       62.233334  62.233334  62.1       54.1       48.033333
 42.4       42.4       37.866665  37.866665  37.766666  37.766666
 33.633335  30.033333  15.8       15.8       26.2       11.666667
  5.5333333  2.9        1.8333334  1.8333334  1.8333334  1.8333334
  1.8333334  1.8333334  1.8333334  1.8333334  1.0666667 38.666668
 38.666668  57.3       57.3       57.3       57.3       53.166668
 53.        47.366665  47.366665  57.633335  62.533333  65.86667
 70.066666  61.3       63.9       63.633335  56.333332  49.466667
 52.8       52.8       52.8       51.333332  51.333332  51.333332
 52.9       53.6       53.6       27.466667 ]",0.06671510476517696,430.2166464063825,0.5458597526198986
187,0.05,1,2,2,opinion-timeseries,mod,"[33.         79.26667    88.3        51.266666   50.         25.966667
 25.933332   48.766666   60.366665   66.7        32.6        28.6
 25.066668   25.         21.466667   18.766666   18.766666    6.1666665
  5.4333334   4.6666665   2.3666666  18.766666   31.5        13.766666
  3.3         0.6666667   0.23333333 29.233334   29.233334   42.
 49.8        44.666668   42.466667   53.833332   26.666666   49.7
 61.066666   57.666668   24.6        10.433333    4.4666667  37.233334
 37.133335   46.933334   53.066666   53.966667   53.8        53.266666
 49.366665   44.233334   52.533333   53.066666   50.4        48.
 49.666668   45.333332   44.933334   44.5        41.233334   41.2
 45.2        47.7        26.533333   15.        ]",-0.19420234162764227,350.50088848711005,0.527299390006405
188,0.05,1,2,2,opinion-timeseries,rep,"[51.         87.4        93.5        51.566666   51.166668   25.966667
 25.866667   48.966667   62.566666   69.03333    29.966667   26.866667
 23.5        23.433332   20.733334   17.966667   17.933332    4.3333335
  3.9666667   3.5         1.7333333  20.366667   30.733334   13.866667
  2.8666666   0.5         0.13333334 29.1        29.066668   44.2
 53.1        44.133335   44.666668   56.333332   27.566668   49.433334
 62.4        60.033333   25.733334   10.9         4.866667   37.5
 37.3        47.666668   54.466667   54.333332   53.066666   52.6
 49.533333   46.066666   54.133335   55.233334   53.2        51.533333
 52.966667   49.066666   48.5        47.966667   44.466667   44.4
 48.033333   51.666668   27.9        17.433332  ]",-0.07546050487880873,269.3030428998646,0.4650278743149514
189,0.05,1,2,3,opinion-timeseries,dem,"[66.        66.        66.        35.166668  34.766666  34.766666
 34.766666  62.666668  62.666668  62.4       53.933334  47.566666
 42.666668  42.666668  38.2       38.2       38.166668  38.166668
 33.8       29.666666  16.233334  16.233334  27.6       12.9
  7.0666666  4.3        2.3        2.3        2.3        2.3
  2.3        2.3        2.3        2.3        1.4       39.066666
 39.066666  56.566666  56.566666  56.566666  56.566666  53.766666
 53.533333  47.        47.        57.        62.        65.2
 68.86667   62.233334  64.73333   64.433334  57.133335  50.566666
 53.733334  53.733334  53.733334  52.733334  52.733334  52.733334
 54.433334  55.433334  55.433334  27.8      ]",0.05077729367691853,426.1361687433587,0.5387493125476126
190,0.05,1,2,3,opinion-timeseries,mod,"[47.        84.76667   91.63333   51.266666  50.033333  26.133333
 26.1       50.2       61.766666  67.433334  31.433332  27.5
 24.333334  24.333334  21.533333  18.7       18.7        5.233333
  4.8        4.366667   1.8333334 19.633333  31.366667  13.8
  3.7333333  1.1        0.3       29.2       29.133333  42.466667
 50.666668  42.533333  41.066666  53.633335  27.        48.8
 59.6       57.166668  26.266666  11.3        4.9333334 37.7
 37.633335  45.6       51.966667  53.266666  53.366665  53.966667
 50.133335  44.833332  53.266666  54.033333  51.633335  49.4
 51.166668  47.266666  47.033333  46.233334  43.366665  43.266666
 47.666668  50.466667  26.633333  14.3      ]",-0.23404691406370626,349.57227907832555,0.5224850387516614
191,0.05,1,2,3,opinion-timeseries,rep,"[53.        84.63333   90.46667   50.9       50.466667  25.466667
 25.433332  49.6       62.066666  68.63333   30.166666  26.7
 23.733334  23.733334  21.        18.4       18.4        4.766667
  4.0666666  3.5666666  1.5333333 19.7       29.933332  13.266666
  2.7333333  0.8        0.2       27.566668  27.566668  42.
 49.933334  42.133335  41.566666  53.833332  26.633333  48.6
 61.166668  58.233334  26.033333  11.266666   5.0666666 37.966667
 37.9       48.533333  55.166668  53.766666  53.266666  53.1
 50.533333  45.        52.833332  53.7       51.266666  49.7
 51.466667  47.3       46.7       46.233334  42.2       42.133335
 45.633335  48.233334  26.633333  16.133333 ]",-0.09251839167802385,271.9052145970758,0.4731011491859626
192,0.05,1,2,4,opinion-timeseries,dem,"[57.        57.        57.        31.166666  30.466667  30.466667
 30.466667  60.1       60.1       59.933334  51.566666  45.2
 40.1       40.1       35.266666  35.266666  35.166668  35.166668
 30.866667  27.233334  14.7       14.7       25.9       12.033334
  6.766667   3.9333334  2.2666667  2.2666667  2.2666667  2.2666667
  2.2666667  2.2666667  2.2666667  2.2666667  1.6333333 38.033333
 38.033333  57.066666  57.066666  57.066666  57.066666  55.133335
 54.733334  48.7       48.7       57.933334  63.033333  66.333336
 70.066666  62.366665  64.46667   64.26667   57.366665  51.033333
 53.933334  53.933334  53.933334  53.2       53.2       53.2
 55.066666  56.266666  56.266666  29.3      ]",0.15399670221175918,430.9187925514826,0.5531477454541802
193,0.05,1,2,4,opinion-timeseries,mod,"[46.         84.13333    90.5        51.333332   50.3        25.733334
 25.733334   51.833332   63.366665   68.96667    32.433334   28.566668
 25.166666   25.166666   22.3        19.566668   19.566668    5.8
  5.0666666   4.4666667   2.0666666  18.566668   29.733334   13.466666
  2.9         0.96666664  0.26666668 29.566668   29.5        43.533333
 51.7        43.333332   43.9        55.6        27.4        50.066666
 61.4        59.2        26.866667   12.133333    5.6666665  36.9
 36.7        46.133335   52.5        53.7        54.033333   53.5
 49.433334   43.233334   52.         53.533333   51.133335   49.3
 50.9        47.133335   46.566666   46.1        42.5        42.433334
 47.033333   49.833332   26.6        14.5       ]",-0.2350228481284561,348.33787621747416,0.5203786020558528
194,0.05,1,2,4,opinion-timeseries,rep,"[51.         87.566666   93.46667    52.3        51.866665   25.466667
 25.433332   50.266666   63.333332   69.9        30.266666   27.5
 24.066668   24.033333   21.466667   18.433332   18.4         4.5666666
  3.8666666   3.2666667   1.4333333  19.033333   29.566668   13.266666
  2.6666667   0.56666666  0.2        28.566668   28.566668   43.633335
 51.533333   43.466667   41.066666   54.         27.833334   48.4
 61.366665   59.8        25.866667   11.033334    5.0666666  37.533333
 37.4        48.866665   54.933334   54.7        54.233334   52.866665
 48.1        43.833332   52.766666   53.966667   52.466667   50.6
 52.166668   48.333332   47.7        47.333332   43.5        43.433334
 47.333332   49.9        26.966667   16.366667  ]",-0.0936572665443511,271.4428285363397,0.47159664702827286
195,0.05,1,2,5,opinion-timeseries,dem,"[69.        69.        69.        36.        35.533333  35.533333
 35.533333  62.766666  62.766666  62.7       54.5       48.
 41.833332  41.833332  36.6       36.6       36.533333  36.533333
 32.4       28.933332  14.6       14.6       25.7       11.666667
  6.         3.2333333  1.6666666  1.6666666  1.6666666  1.6666666
  1.6666666  1.6666666  1.6666666  1.6666666  0.8666667 39.
 39.        58.366665  58.366665  58.366665  58.366665  54.7
 54.433334  47.633335  47.633335  56.533333  62.233334  65.566666
 69.46667   61.866665  64.13333   63.866665  56.        48.8
 51.4       51.4       51.4       50.5       50.5       50.5
 52.5       53.9       53.9       26.966667 ]",0.019102053171455937,431.06173337926765,0.5440776580332947
196,0.05,1,2,5,opinion-timeseries,mod,"[43.         85.26667    92.46667    50.5        49.6        26.333334
 26.3        49.5        61.666668   67.53333    30.666666   27.233334
 23.833334   23.733334   20.2        17.9        17.866667    4.9666667
  4.5666666   4.0666666   1.7666667  18.5        29.766666   12.866667
  2.9333334   0.6666667   0.23333333 27.833334   27.8        41.233334
 48.6        41.4        41.333332   53.366665   26.633333   48.
 59.633335   57.         25.4        11.033334    4.633333   35.533333
 35.533333   46.033333   52.8        53.866665   54.166668   52.833332
 48.3        43.2        52.433334   53.4        50.7        48.266666
 50.5        46.166668   45.766666   45.5        42.433334   42.3
 45.733334   49.2        26.766666   15.3       ]",-0.23772179696712592,354.29259402271424,0.5322684439400682
197,0.05,1,2,5,opinion-timeseries,rep,"[43.         84.53333    91.433334   51.4        50.766666   24.733334
 24.633333   49.633335   62.233334   68.1        30.666666   27.133333
 24.166666   24.         21.166666   18.6        18.6         4.866667
  4.3333335   3.7         1.7666667  20.4        31.766666   15.166667
  3.2333333   0.7         0.16666667 29.166666   29.133333   43.
 51.466667   43.3        43.466667   56.033333   28.2        49.833332
 62.233334   60.533333   26.633333   11.366667    4.133333   37.066666
 37.         48.3        54.433334   53.4        53.033333   52.466667
 48.666668   44.533333   52.766666   53.8        52.1        50.333332
 52.333332   47.666668   47.1        46.566666   43.133335   43.133335
 46.733334   49.166668   27.533333   17.333334  ]",-0.06232166804237078,269.0816427639828,0.4638160226354665
198,0.05,1,2,6,opinion-timeseries,dem,"[66.        66.        66.        33.4       32.933334  32.933334
 32.933334  61.666668  61.666668  61.533333  52.6       46.366665
 40.9       40.9       37.133335  37.133335  37.133335  37.133335
 32.866665  28.433332  14.566667  14.566667  26.633333  12.266666
  6.4        3.6        2.1        2.1        2.1        2.1
  2.1        2.1        2.1        2.1        1.2666667 39.966667
 39.966667  58.6       58.6       58.6       58.6       53.533333
 53.233334  46.766666  46.766666  55.766666  61.6       64.86667
 68.9       61.1       63.366665  63.033333  54.8       49.2
 52.8       52.8       52.8       51.8       51.8       51.8
 53.066666  54.666668  54.666668  27.733334 ]",0.059247802148316424,430.56756666007266,0.5459925955417195
199,0.05,1,2,6,opinion-timeseries,mod,"[39.        81.63333   89.26667   49.466667  48.533333  24.966667
 24.933332  49.9       62.9       68.73333   29.966667  26.333334
 22.733334  22.733334  19.866667  17.666666  17.666666   4.5333333
  4.133333   3.8        1.5       19.233334  30.2       13.333333
  3.2        0.6666667  0.1       27.933332  27.833334  41.366665
 48.7       42.266666  42.033333  53.966667  26.3       48.133335
 59.833332  57.766666  26.766666  12.033334   5.5       36.733334
 36.666668  44.6       51.3       52.2       52.9       53.333332
 50.233334  44.4       52.7       53.633335  51.6       49.133335
 50.933334  46.966667  46.466667  45.9       42.1       42.033333
 45.9       47.833332  25.        13.5      ]",-0.20624715856687703,353.9382980388761,0.5331334615628696
200,0.05,1,2,6,opinion-timeseries,rep,"[4.4000000e+01 8.5166664e+01 9.1666664e+01 5.2299999e+01 5.1900002e+01
 2.4833334e+01 2.4700001e+01 5.0633335e+01 6.3900002e+01 6.9666664e+01
 3.1200001e+01 2.7200001e+01 2.4400000e+01 2.4400000e+01 2.1500000e+01
 1.9200001e+01 1.9133333e+01 4.9333334e+00 4.3666668e+00 4.2333331e+00
 2.1333334e+00 2.1233334e+01 3.2933334e+01 1.5700000e+01 3.3666666e+00
 6.0000002e-01 6.6666670e-02 3.0433332e+01 3.0400000e+01 4.4366665e+01
 5.2633335e+01 4.5299999e+01 4.3500000e+01 5.5833332e+01 2.9466667e+01
 4.9266666e+01 6.3200001e+01 6.0200001e+01 2.7666666e+01 1.2500000e+01
 5.4333334e+00 3.7200001e+01 3.7066666e+01 4.7500000e+01 5.4400002e+01
 5.3833332e+01 5.3233334e+01 5.2666668e+01 4.9333332e+01 4.5299999e+01
 5.3099998e+01 5.3733334e+01 5.2033333e+01 4.9900002e+01 5.1466667e+01
 4.7266666e+01 4.6666668e+01 4.6266666e+01 4.2333332e+01 4.2299999e+01
 4.5833332e+01 4.8766666e+01 2.7500000e+01 1.6799999e+01]",-0.07492085268453601,267.33420349589517,0.46215838137731297
201,0.05,1,2,7,opinion-timeseries,dem,"[70.        70.        70.        37.533333  36.9       36.9
 36.9       64.26667   64.26667   64.13333   55.933334  49.266666
 43.866665  43.866665  38.366665  38.366665  38.333332  38.333332
 33.866665  30.5       16.266666  16.266666  27.733334  13.5
  7.         3.9        2.1666667  2.1666667  2.1666667  2.1666667
  2.1666667  2.1666667  2.1666667  2.1666667  1.3666667 37.533333
 37.533333  57.4       57.4       57.4       57.4       53.
 52.766666  45.566666  45.566666  54.3       60.566666  64.03333
 67.9       60.1       62.4       62.066666  54.8       48.4
 51.9       51.9       51.9       50.866665  50.866665  50.866665
 52.7       54.033333  54.033333  27.166666 ]",-0.017942697504777488,428.485093946554,0.5408945202600407
202,0.05,1,2,7,opinion-timeseries,mod,"[47.         83.2        89.96667    49.466667   48.733334   25.933332
 25.9        48.733334   60.733334   66.23333    30.866667   27.466667
 24.3        24.266666   21.         18.333334   18.3         4.866667
  4.1666665   3.6333334   1.5666667  19.4        30.966667   14.633333
  3.1666667   0.6         0.13333334 27.466667   27.4        42.033333
 50.366665   42.933334   41.8        53.333332   28.         48.166668
 60.         56.733334   25.366667   12.366667    5.633333   36.433334
 36.2        45.933334   51.966667   53.033333   53.133335   52.166668
 48.966667   44.166668   53.066666   53.6        51.266666   48.733334
 49.9        45.466667   45.066666   44.733334   41.4        41.333332
 46.2        48.866665   25.633333   14.466666  ]",-0.23253315526902937,352.59797607817194,0.5285514070073125
203,0.05,1,2,7,opinion-timeseries,rep,"[53.         87.26667    92.566666   51.466667   50.8        24.966667
 24.933332   48.8        61.1        67.2        30.033333   26.666666
 23.933332   23.8        20.933332   18.066668   18.066668    4.766667
  4.4333334   3.9333334   1.6666666  20.         31.333334   14.2
  3.4333334   0.73333335  0.1        27.866667   27.833334   42.8
 50.933334   43.966667   44.633335   56.966667   28.633333   50.533333
 61.733334   59.7        26.333334   11.533334    4.766667   38.2
 38.066666   48.666668   55.1        53.933334   53.233334   52.566666
 49.333332   45.066666   53.366665   54.6        52.9        51.366665
 53.         49.233334   48.633335   48.         44.433334   44.366665
 47.466667   50.3        26.166666   16.        ]",-0.07756026470438486,269.3705987000197,0.4659482729544694
204,0.05,1,2,8,opinion-timeseries,dem,"[62.         62.         62.         32.233334   31.733334   31.733334
 31.733334   61.3        61.3        61.166668   52.733334   46.566666
 41.         41.         36.166668   36.166668   36.033333   36.033333
 31.433332   28.166666   15.4        15.4        25.266666   10.966666
  6.133333    3.0666666   1.4333333   1.4333333   1.4333333   1.4333333
  1.4333333   1.4333333   1.4333333   1.4333333   0.76666665 37.766666
 37.766666   57.3        57.3        57.3        57.3        53.266666
 53.066666   47.         47.         56.966667   62.5        65.73333
 70.166664   62.366665   64.63333    64.2        57.166668   50.7
 53.866665   53.866665   53.866665   53.033333   53.033333   53.033333
 54.666668   55.533333   55.533333   27.6       ]",0.1007518533734764,432.2921715572528,0.5500076657274549
205,0.05,1,2,8,opinion-timeseries,mod,"[4.5000000e+01 8.2766670e+01 8.9599998e+01 5.0500000e+01 4.9299999e+01
 2.5233334e+01 2.5166666e+01 4.8366665e+01 6.0333332e+01 6.6966667e+01
 2.9900000e+01 2.6866667e+01 2.3566668e+01 2.3500000e+01 2.0333334e+01
 1.8433332e+01 1.8400000e+01 5.0000000e+00 4.2666669e+00 3.9333334e+00
 1.5666667e+00 1.9333334e+01 3.1400000e+01 1.3566667e+01 3.3333333e+00
 6.9999999e-01 6.6666670e-02 2.7299999e+01 2.7133333e+01 4.1633335e+01
 4.9833332e+01 4.2500000e+01 4.3033333e+01 5.5400002e+01 2.8166666e+01
 5.0200001e+01 6.0733334e+01 5.8599998e+01 2.6933332e+01 1.2600000e+01
 5.7333331e+00 3.7400002e+01 3.7200001e+01 4.7000000e+01 5.4099998e+01
 5.4200001e+01 5.3700001e+01 5.3266666e+01 4.8700001e+01 4.3099998e+01
 5.3200001e+01 5.4133335e+01 5.1433334e+01 4.9200001e+01 5.0200001e+01
 4.6099998e+01 4.5766666e+01 4.5400002e+01 4.1400002e+01 4.1299999e+01
 4.5433334e+01 4.8633335e+01 2.5466667e+01 1.4000000e+01]",-0.21792909996489374,351.76688586545964,0.5266622603139905
206,0.05,1,2,8,opinion-timeseries,rep,"[4.7000000e+01 8.4800003e+01 9.2233330e+01 5.1299999e+01 5.0700001e+01
 2.6400000e+01 2.6299999e+01 4.9599998e+01 6.2966667e+01 6.9300003e+01
 3.0433332e+01 2.7466667e+01 2.3833334e+01 2.3733334e+01 2.1033333e+01
 1.7966667e+01 1.7933332e+01 4.5333333e+00 3.9666667e+00 3.5333333e+00
 1.8333334e+00 1.9833334e+01 3.1033333e+01 1.3733334e+01 3.0666666e+00
 5.6666666e-01 6.6666670e-02 2.9033333e+01 2.9033333e+01 4.3566666e+01
 5.2099998e+01 4.4166668e+01 4.4000000e+01 5.6133335e+01 2.8000000e+01
 5.0799999e+01 6.2533333e+01 6.0666668e+01 2.6833334e+01 1.1933333e+01
 5.6333332e+00 3.8366665e+01 3.8266666e+01 4.9533333e+01 5.6000000e+01
 5.4933334e+01 5.4866665e+01 5.4200001e+01 4.9433334e+01 4.4799999e+01
 5.2400002e+01 5.3233334e+01 5.1000000e+01 4.9500000e+01 5.0900002e+01
 4.6966667e+01 4.6400002e+01 4.5700001e+01 4.1400002e+01 4.1333332e+01
 4.5233334e+01 4.7866665e+01 2.5900000e+01 1.5633333e+01]",-0.08039166429166265,270.15827880368397,0.466135348541198
207,0.05,1,2,9,opinion-timeseries,dem,"[65.         65.         65.         31.827587   31.48276    31.48276
 31.48276    59.13793    59.13793    59.13793    51.37931    45.58621
 40.310345   40.310345   35.310345   35.310345   35.24138    35.24138
 30.896551   27.448277   13.965517   13.965517   24.931034   10.620689
  5.034483    2.689655    1.2758621   1.2758621   1.2758621   1.2758621
  1.2758621   1.2758621   1.2758621   1.2758621   0.82758623 39.551723
 39.551723   58.275864   58.275864   58.275864   58.275864   52.655174
 52.344826   45.931034   45.931034   55.517242   61.         64.72414
 68.89655    62.275864   64.655174   64.37931    57.310345   50.41379
 53.41379    53.41379    53.41379    52.103447   52.103447   52.103447
 53.655174   54.96552    54.96552    28.137932  ]",0.08854557421272237,435.1080871781759,0.5531854222315505
