,er_p,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
10,0.05,0.01,3,opinion-timeseries,mod,"[46.       46.466667 47.233334 45.333332 44.666668 44.6      44.6
 44.633335 45.1      45.366665 44.9      44.866665 44.866665 44.833332
 43.7      43.233334 42.833332 42.766666 42.4      41.8      40.766666
 41.233334 41.433334 40.633335 39.533333 38.033333 37.033333 37.5
 37.5      38.133335 38.733334 39.133335 39.733334 40.466667 40.033333
 40.6      41.166668 41.466667 41.133335 40.7      40.3      41.033333
 40.733334 41.5      41.7      42.3      42.733334 43.566666 43.4
 43.233334 43.733334 44.066666 43.166668 42.3      41.8      41.3
 41.266666 40.933334 40.466667 40.466667 40.5      40.933334 40.3
 39.966667]",-0.6510131535756236,270.183904878555,0.42183312564507547
11,0.05,0.01,3,opinion-timeseries,rep,"[46.       47.       47.533333 45.866665 45.866665 44.733334 43.966667
 43.566666 44.2      44.7      43.8      43.766666 43.766666 43.066666
 42.966667 42.666668 42.666668 42.033333 42.       41.966667 41.366665
 41.766666 42.2      42.133335 40.866665 39.7      38.6      39.133335
 39.133335 39.833332 40.466667 40.066666 39.766666 40.666668 40.633335
 40.666668 41.133335 40.8      39.966667 39.1      38.5      39.366665
 38.8      39.8      40.066666 39.4      38.7      38.1      37.433334
 37.4      37.966667 38.966667 38.666668 38.4      38.166668 37.733334
 37.4      37.4      36.833332 36.566666 36.6      36.633335 36.066666
 36.033333]",-0.9121418188666328,195.74753675647386,0.3476892442896541
12,0.05,0.01,4,opinion-timeseries,dem,"[69.       69.       69.       66.4      65.76667  65.76667  65.76667
 66.1      66.1      65.433334 64.166664 63.533333 63.033333 63.033333
 61.833332 61.833332 61.133335 61.133335 60.366665 59.7      58.933334
 58.933334 58.466667 57.633335 56.866665 55.533333 54.8      54.8
 54.466667 54.466667 54.466667 54.466667 54.466667 54.466667 53.566666
 54.066666 54.066666 54.666668 54.666668 54.666668 54.666668 54.133335
 53.066666 52.533333 52.533333 53.2      54.233334 54.9      55.733334
 55.366665 55.4      54.2      53.1      52.166668 52.566666 52.566666
 52.566666 51.9      51.9      51.9      51.966667 51.9      51.9
 51.5     ]",-0.9452451962896634,273.70258346972895,0.3458393654537568
13,0.05,0.01,4,opinion-timeseries,mod,"[41.       41.533333 42.       40.433334 40.033333 40.       39.933334
 39.866665 40.266666 40.433334 39.966667 39.933334 39.933334 39.933334
 38.966667 38.733334 38.3      38.233334 38.       37.666668 36.433334
 37.       37.9      37.266666 36.5      35.633335 34.766666 35.4
 35.4      36.233334 36.766666 37.233334 37.833332 38.533333 38.2
 38.8      39.466667 40.1      39.333332 38.866665 38.5      38.9
 38.566666 39.133335 39.233334 39.766666 40.266666 40.966667 40.933334
 40.7      41.5      41.8      41.166668 40.2      39.8      39.4
 39.366665 38.9      38.6      38.6      38.8      39.1      38.166668
 37.633335]",-0.36410225998971346,291.41228338083044,0.46508995295176325
14,0.05,0.01,4,opinion-timeseries,rep,"[51.       51.933334 52.533333 51.166668 51.1      50.033333 49.533333
 48.8      49.466667 50.033333 48.833332 48.833332 48.766666 48.4
 48.4      47.933334 47.866665 47.066666 47.066666 47.       46.3
 46.9      47.566666 47.533333 46.066666 44.9      43.266666 43.9
 43.9      44.366665 44.866665 44.733334 44.6      45.166668 45.1
 45.1      45.4      45.133335 44.2      43.5      42.7      43.133335
 42.6      42.966667 42.933334 41.966667 41.066666 40.233334 39.533333
 39.533333 40.2      41.4      40.966667 40.666668 40.2      39.666668
 39.2      39.2      39.       38.6      38.633335 38.733334 37.933334
 37.933334]",-0.879914924679412,170.3835368803295,0.29529070531682483
15,0.05,0.01,5,opinion-timeseries,dem,"[62.       62.       62.       60.266666 59.866665 59.866665 59.866665
 60.3      60.3      59.6      58.5      58.033333 57.4      57.4
 56.       56.       55.4      55.4      54.966667 54.366665 53.5
 53.5      52.966667 52.       51.2      49.9      49.1      49.1
 48.6      48.6      48.6      48.6      48.6      48.6      48.
 48.466667 48.466667 49.033333 49.033333 49.033333 49.033333 49.166668
 48.633335 48.166668 48.166668 49.066666 49.833332 50.6      51.333332
 50.6      50.666668 49.5      48.666668 47.466667 47.9      47.9
 47.9      47.633335 47.633335 47.633335 47.5      47.466667 47.466667
 47.2     ]",-0.9195634410352557,312.01861730698647,0.4046665496646108
16,0.05,0.01,5,opinion-timeseries,mod,"[37.       37.866665 38.566666 37.433334 37.133335 37.066666 37.066666
 37.2      37.766666 37.566666 36.966667 36.933334 36.833332 36.833332
 36.166668 35.666668 35.2      35.2      34.9      34.4      33.5
 34.133335 34.2      33.6      32.833332 31.966667 31.1      31.7
 31.7      32.366665 33.066666 33.7      34.333332 34.9      34.433334
 35.1      35.5      35.566666 35.166668 34.6      34.133335 34.8
 34.1      34.7      34.833332 35.633335 36.666668 36.966667 36.766666
 36.333332 37.166668 37.533333 37.2      36.333332 36.066666 35.733334
 35.733334 35.333332 34.833332 34.833332 34.966667 35.2      34.466667
 34.      ]",-0.49581280347895684,319.8758012518983,0.514188327506091
17,0.05,0.01,5,opinion-timeseries,rep,"[46.       46.833332 47.6      46.566666 46.566666 45.4      44.8
 44.266666 44.866665 45.666668 44.8      44.766666 44.733334 44.333332
 44.333332 43.966667 43.966667 43.266666 43.266666 43.266666 42.9
 43.133335 43.5      43.5      41.7      40.433334 39.166668 39.666668
 39.666668 40.133335 40.366665 40.233334 40.1      40.966667 40.933334
 41.       41.633335 41.2      40.533333 39.733334 39.066666 39.733334
 39.266666 39.8      40.133335 39.8      39.366665 38.8      37.8
 37.733334 38.333332 39.5      39.       38.7      38.433334 38.1
 37.7      37.666668 37.233334 36.933334 36.966667 36.966667 36.433334
 36.4     ]",-0.8952220208816126,191.66552830163,0.33788634844101195
18,0.05,0.01,6,opinion-timeseries,dem,"[62.       62.       62.       60.033333 59.333332 59.333332 59.333332
 59.933334 59.933334 58.966667 57.7      57.2      56.7      56.7
 55.766666 55.766666 55.2      55.2      54.4      53.566666 52.533333
 52.533333 52.066666 51.1      50.166668 49.6      48.633335 48.633335
 48.166668 48.166668 48.166668 48.166668 48.166668 48.166668 47.333332
 48.066666 48.066666 48.833332 48.833332 48.833332 48.833332 48.8
 47.866665 47.3      47.3      48.333332 49.6      50.666668 51.466667
 51.2      51.       49.966667 49.1      48.133335 48.466667 48.466667
 48.466667 48.1      48.1      48.1      48.133335 48.4      48.4
 47.866665]",-0.9053725896131506,313.22017782199623,0.4073764719296425
19,0.05,0.01,6,opinion-timeseries,mod,"[42.       42.833332 43.7      42.8      42.2      42.1      42.066666
 42.066666 42.633335 42.533333 42.       41.933334 41.933334 41.866665
 41.066666 40.566666 40.166668 40.133335 39.7      38.933334 37.9
 38.566666 39.466667 38.833332 37.9      37.2      36.3      36.733334
 36.733334 37.3      37.933334 38.266666 39.033333 39.7      39.2
 39.9      40.466667 41.066666 40.766666 40.4      39.8      39.933334
 39.466667 39.966667 40.3      41.033333 42.033333 42.466667 42.566666
 42.133335 42.966667 43.2      42.2      41.166668 40.866665 40.233334
 40.233334 39.9      39.7      39.633335 40.2      40.366665 39.533333
 39.133335]",-0.4617825814311235,280.63553461436624,0.44477949705038927
20,0.05,0.01,6,opinion-timeseries,rep,"[46.       46.866665 47.566666 45.833332 45.8      44.933334 44.366665
 44.033333 44.533333 45.1      44.133335 44.133335 44.133335 43.333332
 43.266666 42.9      42.866665 42.066666 42.066666 42.033333 41.4
 41.833332 42.5      42.5      40.9      39.5      38.266666 38.933334
 38.933334 39.6      40.133335 39.966667 39.733334 40.266666 40.233334
 40.233334 41.033333 40.766666 40.133335 39.4      38.5      39.1
 38.466667 39.166668 39.433334 39.066666 38.133335 38.066666 37.3
 37.3      38.3      39.6      38.933334 38.6      38.3      38.
 37.633335 37.633335 37.266666 36.966667 36.966667 36.933334 36.3
 36.233334]",-0.9148607774316658,195.48956334900024,0.346724777079756
21,0.05,0.01,7,opinion-timeseries,dem,"[73.       73.       73.       70.666664 70.2      70.2      70.2
 70.5      70.5      69.9      68.23333  67.63333  66.73333  66.73333
 65.666664 65.666664 65.03333  65.03333  64.4      63.733334 62.066666
 62.066666 61.133335 60.       59.1      58.066666 56.866665 56.866665
 56.633335 56.633335 56.633335 56.633335 56.633335 56.633335 56.133335
 56.633335 56.633335 56.866665 56.866665 56.866665 56.866665 56.4
 55.166668 54.466667 54.466667 55.633335 56.766666 57.6      58.5
 58.066666 57.9      56.766666 55.866665 54.666668 55.066666 55.066666
 55.066666 54.666668 54.666668 54.666668 54.4      54.433334 54.433334
 54.1     ]",-0.9344939939290612,254.34753545200618,0.3163761261254999
