,ws_p,ws_k,simple_spread_chance,repetition,run,pearson,euclidean,mape
0,0.1,2,0.01,0,0,-0.779409585251779,274.62614311423465,0.4189325898465825
1,0.1,2,0.01,0,1,-0.20571231045365954,252.78606219861285,0.38679597491311785
2,0.1,2,0.01,0,2,-0.7495610363651863,230.305765087313,0.3487864333953901
3,0.1,2,0.01,0,3,-0.829324865909543,233.60355879914778,0.3442039514128539
4,0.1,2,0.01,0,4,-0.7108150383493871,227.66939086715675,0.33635295135732207
5,0.1,2,0.01,0,5,-0.42223082355150715,219.86442800979785,0.32968714242576674
6,0.1,2,0.01,0,6,-0.6773930596604196,231.57191816082857,0.35306447368349364
7,0.1,2,0.01,0,7,-0.6366096276518888,226.991627736949,0.33911064039625155
8,0.1,2,0.01,0,8,-0.7376612358205286,241.13199157478198,0.3638476118027303
9,0.1,2,0.01,0,9,-0.6620484502585119,227.01351113562566,0.33418773311711875
10,0.1,2,0.01,0,10,-0.7441788948627476,233.87185154532958,0.35481985918353137
11,0.1,2,0.01,0,11,-0.680357789968126,259.8811511231837,0.3844008432372977
12,0.1,2,0.01,0,12,-0.7311740555739578,224.42146390932183,0.3345233584567391
13,0.1,2,0.01,0,13,-0.6278039412942278,246.83899126713243,0.3736284926049314
14,0.1,2,0.01,0,14,-0.8279400651230008,240.662445924649,0.3655885252421451
15,0.1,2,0.01,0,15,-0.5465949066271429,242.75392405027347,0.365369913432559
16,0.1,2,0.01,0,16,-0.7492470289734893,234.89201887271744,0.34762756484584917
17,0.1,2,0.01,0,17,-0.5631783943809455,219.24356780139752,0.3263280045755072
18,0.1,2,0.01,0,18,-0.8089010252430183,267.55563823554184,0.40526652785554035
19,0.1,2,0.01,0,19,-0.5829391345006144,238.51466632071163,0.3581211274976228
20,0.1,2,0.01,0,20,-0.7916663209275856,214.80731993991125,0.31339546087202647
21,0.1,2,0.01,0,21,-0.6142339694436934,240.29769387550414,0.35589700943818997
22,0.1,2,0.01,0,22,-0.7995586333696755,226.94609638545873,0.3400834849590623
23,0.1,2,0.01,0,23,-0.7539610028990325,251.58543157425174,0.37901461652611235
24,0.1,2,0.01,0,24,-0.767798439422577,237.98912305532383,0.3486649717129757
25,0.1,2,0.01,0,25,-0.47683835505095057,286.19001089006673,0.43707002412344437
26,0.1,2,0.01,0,26,-0.5670095289153897,221.30209408269147,0.3241861893181341
27,0.1,2,0.01,0,27,-0.585061353771632,252.23703322225253,0.37580624154820913
28,0.1,2,0.01,0,28,-0.5866737103982728,229.45718603574585,0.34789146726962966
29,0.1,2,0.01,0,29,-0.6961637950811937,244.96755535102884,0.36645421268723827
30,0.1,2,0.01,1,0,-0.6855779457482413,243.06913000886865,0.3692525993192066
31,0.1,2,0.01,1,1,-0.6273944532233804,260.34277440457623,0.3994698153321537
32,0.1,2,0.01,1,2,-0.623111338328635,259.49249147494373,0.4015490378205914
33,0.1,2,0.01,1,3,-0.48737017233001384,260.5708071488162,0.39330885000306887
34,0.1,2,0.01,1,4,-0.3923776901764174,240.938490786775,0.3724741684926675
35,0.1,2,0.01,1,5,-0.8325953751601703,267.08763919259434,0.40980729223383766
36,0.1,2,0.01,1,6,-0.45721993456561566,226.666978518008,0.3470918341547021
37,0.1,2,0.01,1,7,-0.7814738119253897,250.44670388445468,0.38571924550432657
38,0.1,2,0.01,1,8,-0.8426399046699226,262.91540021757737,0.39946051313455816
39,0.1,2,0.01,1,9,-0.12763128859025338,230.19793641974763,0.3484349912678941
40,0.1,2,0.01,1,10,-0.637697211666139,253.39378936178403,0.37780861865825394
41,0.1,2,0.01,1,11,-0.7724795950271967,247.11536675875917,0.3795003305267441
42,0.1,2,0.01,1,12,-0.5189054608645217,255.20209259139392,0.3907306904248257
43,0.1,2,0.01,1,13,-0.46274925822970836,235.54185878357745,0.35838834470564823
44,0.1,2,0.01,1,14,-0.7999042529198553,248.1750310931137,0.380788240563029
45,0.1,2,0.01,1,15,-0.5255185842329284,254.31853550975816,0.3864132628544292
46,0.1,2,0.01,1,16,-0.7535030327450617,255.3569988895108,0.3900608861107487
47,0.1,2,0.01,1,17,-0.6050479511311726,249.59773107117982,0.3747394754872768
48,0.1,2,0.01,1,18,-0.3439254567337568,249.67612593383342,0.37730745250859354
49,0.1,2,0.01,1,19,-0.5598174811460133,244.29353097923467,0.3745349416057769
