,ws_p,ws_k,simple_spread_chance,repetition,run,pearson,euclidean,mape
50,0.1,2,0.01,1,20,-0.44200040263343077,239.88229763169647,0.3640613788095816
51,0.1,2,0.01,1,21,-0.5677059053927785,254.9669826223777,0.39322942411186484
52,0.1,2,0.01,1,22,-0.6853090092722519,260.50601782750925,0.39498437850956347
53,0.1,2,0.01,1,23,-0.6285368989994735,239.5695992418368,0.36706109550505817
54,0.1,2,0.01,1,24,-0.6562040656877471,260.9707739859546,0.4006045763825376
55,0.1,2,0.01,1,25,-0.2659553548307561,237.99835693307304,0.3614665832293574
56,0.1,2,0.01,1,26,-0.7416516837131937,262.7737848702529,0.3997235613046877
57,0.1,2,0.01,1,27,-0.8315505689847038,259.63826791517187,0.3989633904178193
58,0.1,2,0.01,1,28,-0.6697614669644532,244.94164088524016,0.37187014041262967
59,0.1,2,0.01,1,29,-0.7497906592527737,252.49856599690904,0.384661224426129
60,0.1,2,0.01,2,0,-0.65254513704207,263.49828847524793,0.3904580064816427
61,0.1,2,0.01,2,1,-0.39138699789169534,262.29821785612995,0.3961238152278537
62,0.1,2,0.01,2,2,-0.45690515980163743,259.1619282071774,0.3926291575869149
63,0.1,2,0.01,2,3,-0.7135369567660744,289.038733231016,0.4327993648453609
64,0.1,2,0.01,2,4,-0.725861049973703,275.1439429273361,0.41267664408039506
65,0.1,2,0.01,2,5,-0.43455290375941164,261.1028130001436,0.40069381790213693
66,0.1,2,0.01,2,6,-0.4693984400597298,243.01854814413613,0.37199088626026117
67,0.1,2,0.01,2,7,-0.4627509699033327,239.23364619579812,0.35683928277430016
68,0.1,2,0.01,2,8,-0.8733125884147932,272.4995974143472,0.4087338243297653
69,0.1,2,0.01,2,9,-0.4005621343189696,258.3258911123463,0.3965228948741566
70,0.1,2,0.01,2,10,-0.8004643664348983,279.5744972685438,0.42390743276035964
71,0.1,2,0.01,2,11,-0.5662835013943388,288.7300118046364,0.43373813801846106
72,0.1,2,0.01,2,12,-0.30690534097956806,251.05984591638318,0.37903823705549006
73,0.1,2,0.01,2,13,-0.5142843644907795,276.22247197658766,0.4172653868847789
74,0.1,2,0.01,2,14,-0.641911825665701,248.5068831608769,0.3790717969583703
75,0.1,2,0.01,2,15,-0.7270455577006955,277.86385311799256,0.4245136658818686
76,0.1,2,0.01,2,16,-0.46359247103465445,258.1957380701494,0.3902564012651523
77,0.1,2,0.01,2,17,-0.6278858918330584,258.957069847626,0.3889951244172001
78,0.1,2,0.01,2,18,-0.45609159734195703,247.68699916872524,0.3693509712767838
79,0.1,2,0.01,2,19,-0.4384411726016464,257.15341777729583,0.3799124372970722
80,0.1,2,0.01,2,20,-0.45234208521999814,258.27868672949455,0.3835969776931997
81,0.1,2,0.01,2,21,-0.7823238157990661,264.4862291266042,0.3933482000934439
82,0.1,2,0.01,2,22,-0.4567372314800064,257.55174419808895,0.3921629993638147
83,0.1,2,0.01,2,23,-0.597247264772561,250.03650301230618,0.3760159284957381
84,0.1,2,0.01,2,24,-0.662518091186392,263.97519590860605,0.3996976011956043
85,0.1,2,0.01,2,25,-0.41905521862642336,258.2212558005006,0.39805458811750016
86,0.1,2,0.01,2,26,-0.45344028345204973,245.30175708883158,0.37168735621579807
87,0.1,2,0.01,2,27,-0.42168576413090775,258.42227168189794,0.3894114517903205
88,0.1,2,0.01,2,28,-0.3766294461917026,239.07590238142726,0.36286670349527267
89,0.1,2,0.01,2,29,-0.706710828604623,257.7782465841926,0.3898457994706606
90,0.1,2,0.01,3,0,-0.4402617158283408,266.7551098236141,0.4108372737470671
91,0.1,2,0.01,3,1,-0.6438462864212102,239.64557465859198,0.354768422776448
92,0.1,2,0.01,3,2,-0.7001784783712984,277.2586169788788,0.43058523017228295
93,0.1,2,0.01,3,3,-0.6886631525783437,264.67515804540864,0.40179895911539415
94,0.1,2,0.01,3,4,-0.42838140498705873,270.00642829157687,0.39987341013203154
95,0.1,2,0.01,3,5,-0.4192781895583135,265.6120277955106,0.4022190407585084
96,0.1,2,0.01,3,6,-0.5357033296537829,252.66311329598577,0.3798514774738136
97,0.1,2,0.01,3,7,-0.7117679131649144,276.2270347113049,0.42076215188740157
98,0.1,2,0.01,3,8,-0.39069961712834883,265.54734161051005,0.4090516472013044
99,0.1,2,0.01,3,9,-0.6127363510933447,268.9920020793126,0.4066649609262652
100,0.1,2,0.01,3,10,-0.3218182630106049,263.43336077519285,0.39869867864190117
101,0.1,2,0.01,3,11,-0.5520490584051041,243.65270150241733,0.35957122626510357
102,0.1,2,0.01,3,12,-0.5451145049995442,250.6669780105001,0.3798912441378124
103,0.1,2,0.01,3,13,-0.5008517302958292,268.1777521135744,0.4025312022581547
104,0.1,2,0.01,3,14,-0.6115432968813899,270.8152167451081,0.4031801750517203
105,0.1,2,0.01,3,15,-0.3964759144529337,270.3507360681242,0.413470551244028
106,0.1,2,0.01,3,16,-0.7268001158500138,274.93761355818606,0.4178666530333535
107,0.1,2,0.01,3,17,-0.4337529100256523,263.9111704137545,0.40886980104163584
108,0.1,2,0.01,3,18,-0.8120337244438621,279.2651659875577,0.426084814281998
109,0.1,2,0.01,3,19,-0.42008445542973744,268.7939958854544,0.4085849272308806
110,0.1,2,0.01,3,20,-0.5595642398553047,264.3847632447394,0.4036539622519255
111,0.1,2,0.01,3,21,-0.5503783698426473,275.1831271169737,0.4127787245853282
112,0.1,2,0.01,3,22,-0.4788847928638016,265.4076045096266,0.4032898038143207
113,0.1,2,0.01,3,23,-0.4440677258448649,254.65096726017984,0.3905043588560684
114,0.1,2,0.01,3,24,-0.6079629789471627,251.15025194629595,0.37799104884556994
115,0.1,2,0.01,3,25,-0.3329999524748242,253.83517030796403,0.3822767813075936
116,0.1,2,0.01,3,26,-0.4812958961065516,269.5297276304869,0.41388703880829353
117,0.1,2,0.01,3,27,-0.43727636127589903,275.2223213920282,0.4183289270420878
118,0.1,2,0.01,3,28,-0.7787615416402702,265.0488005411074,0.4066167612373839
119,0.1,2,0.01,3,29,-0.47528808914822734,252.24356894946277,0.3859647657328218
120,0.1,2,0.01,4,0,-0.4799360454907955,257.16205360430587,0.3891587071658134
121,0.1,2,0.01,4,1,-0.2560702471283152,233.84822169803215,0.3598671504582378
122,0.1,2,0.01,4,2,-0.6732017046487299,263.59786967820025,0.3961785678221062
123,0.1,2,0.01,4,3,-0.434315317209252,241.36211339465976,0.3602171271485943
124,0.1,2,0.01,4,4,-0.5990679086747955,237.05881771840745,0.36062580241643777
125,0.1,2,0.01,4,5,-0.5288720878333478,264.74749416760886,0.3986709393805153
126,0.1,2,0.01,4,6,-0.37820070653533217,257.6740305791039,0.3849474086212399
127,0.1,2,0.01,4,7,-0.6575939255482407,252.44207591879285,0.3823027178553304
128,0.1,2,0.01,4,8,-0.7534901271279112,268.66986315253433,0.4086352459802978
129,0.1,2,0.01,4,9,-0.44077424974201757,271.4963485361491,0.41515822588330686
130,0.1,2,0.01,4,10,-0.6929621783578436,279.210943710116,0.4233767525718206
131,0.1,2,0.01,4,11,-0.6173051411034337,248.4457816628874,0.37187110447082944
132,0.1,2,0.01,4,12,-0.42155434640478845,257.01423595404356,0.38444328339519335
133,0.1,2,0.01,4,13,-0.3354586382831703,209.24322881262734,0.30500613813995464
134,0.1,2,0.01,4,14,-0.3016853247037441,233.53455987212774,0.35222346862665793
135,0.1,2,0.01,4,15,-0.6690514108970088,269.8470935506167,0.40935650035119586
136,0.1,2,0.01,4,16,-0.7880381492821792,288.90613384101056,0.43432702043377774
137,0.1,2,0.01,4,17,-0.786402131578714,274.31140919697197,0.4135472411803834
138,0.1,2,0.01,4,18,-0.7609773351962018,275.66138145749187,0.42058785830075257
139,0.1,2,0.01,4,19,-0.756535502645467,262.2422670634412,0.4022200023383427
140,0.1,2,0.01,4,20,-0.7196625719052948,273.39947281533273,0.4209913987600338
141,0.1,2,0.01,4,21,-0.3740331337829816,238.6374873672022,0.36396325015205244
142,0.1,2,0.01,4,22,-0.7893187630511144,260.18834639239003,0.38912545503042945
143,0.1,2,0.01,4,23,-0.5861734355326788,253.77783138005472,0.3838981891579378
144,0.1,2,0.01,4,24,-0.14012329882789806,241.2027529580893,0.3585268466424882
145,0.1,2,0.01,4,25,-0.8239668013829412,272.8045231174223,0.4149028486231086
146,0.1,2,0.01,4,26,-0.4594992985988086,261.1638945122321,0.39348068500374084
147,0.1,2,0.01,4,27,-0.75326459408983,279.7769966616336,0.4285418887540944
148,0.1,2,0.01,4,28,-0.741532855032077,245.47729498776857,0.3684295692794682
149,0.1,2,0.01,4,29,-0.7921032954962474,285.20150733029703,0.42813802649880656
150,0.1,2,0.01,5,0,-0.7269238936338872,239.3244285123744,0.36512348328490773
151,0.1,2,0.01,5,1,-0.5414488599744788,245.28780802314373,0.36764779603574843
152,0.1,2,0.01,5,2,-0.6598310662343038,244.6933484665998,0.3609038472858
153,0.1,2,0.01,5,3,-0.619794474374152,237.76696256683968,0.3632020733751698
154,0.1,2,0.01,5,4,-0.581995159170915,242.24386435252032,0.36759814811611724
155,0.1,2,0.01,5,5,-0.44957754763333363,231.0903795565238,0.3445099622846633
156,0.1,2,0.01,5,6,-0.7061309359238915,248.49365894327897,0.3879050062757797
157,0.1,2,0.01,5,7,-0.7895331910940803,250.94747606748857,0.38243339348314215
158,0.1,2,0.01,5,8,-0.7649013034574995,255.07065151921483,0.3875691725400568
159,0.1,2,0.01,5,9,-0.4780928780270304,242.3301741944358,0.37453122148689816
160,0.1,2,0.01,5,10,-0.7966088105798486,240.23043364134506,0.3610164379302861
161,0.1,2,0.01,5,11,-0.5754033415132436,223.29487200265262,0.34193350223961705
162,0.1,2,0.01,5,12,-0.643967873605593,236.62186357780885,0.3619360025742993
163,0.1,2,0.01,5,13,-0.8525886917591171,269.4273473025799,0.4078966391055932
164,0.1,2,0.01,5,14,-0.5457075706697153,232.099699152046,0.35425261678869996
165,0.1,2,0.01,5,15,-0.680611508973808,254.77703203109036,0.3845669125787888
166,0.1,2,0.01,5,16,-0.6571682730374694,274.9131650059341,0.4217412594042888
167,0.1,2,0.01,5,17,-0.7844610674908216,248.97310748042318,0.37680498894022435
168,0.1,2,0.01,5,18,-0.645364163966501,234.10134296765077,0.35781667901249464
169,0.1,2,0.01,5,19,-0.8108346021534333,243.01346599807331,0.369798685934944
170,0.1,2,0.01,5,20,-0.4945623409615585,234.9443526662608,0.3546734342141901
171,0.1,2,0.01,5,21,-0.6669993205495152,243.39177941336285,0.3674335544142771
172,0.1,2,0.01,5,22,-0.5952145385860844,240.08634138833304,0.3682304869945641
173,0.1,2,0.01,5,23,-0.6933744472297722,263.897052946718,0.3946984242996434
174,0.1,2,0.01,5,24,-0.7742741204615656,248.67286217730543,0.3731257664442811
175,0.1,2,0.01,5,25,-0.6168485731536348,214.20914679384,0.32821907808622774
176,0.1,2,0.01,5,26,-0.8012792929191627,238.75898885248844,0.35943646091470577
177,0.1,2,0.01,5,27,-0.24534679243285584,205.7132027092806,0.3200933295035191
178,0.1,2,0.01,5,28,-0.7549897825918385,240.31502910313884,0.3630597638691648
179,0.1,2,0.01,5,29,-0.6555797173649335,225.13658223895922,0.3429724516841601
180,0.1,2,0.01,6,0,-0.6257161702469874,238.57635770821594,0.35619131411030164
181,0.1,2,0.01,6,1,-0.744123968909871,255.78315977768463,0.38199290871267677
182,0.1,2,0.01,6,2,-0.43961167032483867,238.94455552180594,0.3622230470152356
183,0.1,2,0.01,6,3,-0.4547721132951961,235.45320309884173,0.34965158650885786
184,0.1,2,0.01,6,4,-0.5804891183097679,242.78987186257052,0.372552672723351
185,0.1,2,0.01,6,5,-0.4022381546930913,228.04063227738322,0.34474992389891135
186,0.1,2,0.01,6,6,-0.8699407403956475,256.84658473770804,0.39290943248933335
187,0.1,2,0.01,6,7,-0.7957584546170043,263.1134419359942,0.3929400029156507
188,0.1,2,0.01,6,8,-0.6265714627579962,239.59034203247492,0.35992766225315936
189,0.1,2,0.01,6,9,-0.3774961292002585,219.57689420600954,0.3228540589965695
190,0.1,2,0.01,6,10,-0.4205005262604529,238.000656387435,0.3588697207187653
191,0.1,2,0.01,6,11,-0.5356481129421004,255.81781523592596,0.38659567626549474
192,0.1,2,0.01,6,12,-0.4474296383730179,241.49031154030388,0.35813163254501584
193,0.1,2,0.01,6,13,-0.49204578927571796,252.5665141696925,0.3877032963972638
194,0.1,2,0.01,6,14,-0.5432908437187992,238.19901989127348,0.3590838527367825
195,0.1,2,0.01,6,15,-0.6489965613396383,248.3014104782018,0.36565271854059805
196,0.1,2,0.01,6,16,-0.5521792081287409,282.7055724588904,0.42647586505433505
197,0.1,2,0.01,6,17,-0.6045092699087684,238.8287106117682,0.3637024938707132
198,0.1,2,0.01,6,18,-0.6207449692075478,264.3614808941751,0.39118706355719773
199,0.1,2,0.01,6,19,-0.7529794172983282,238.86897577378804,0.3589719501799149
200,0.1,2,0.01,6,20,-0.16789116407491667,209.78257594470696,0.3169484319208514
201,0.1,2,0.01,6,21,-0.5155814259038168,259.18542539722205,0.3818572756354852
202,0.1,2,0.01,6,22,-0.7667532900858997,238.76707464732874,0.3589257672107695
203,0.1,2,0.01,6,23,-0.5432201470929378,218.83286276518825,0.32223568844465017
204,0.1,2,0.01,6,24,-0.8406472632425883,258.4447194226615,0.389528641678021
205,0.1,2,0.01,6,25,-0.7110455144383172,258.26378270399505,0.38467951070139467
206,0.1,2,0.01,6,26,-0.8123274893449476,262.61299587848663,0.3952364614169073
207,0.1,2,0.01,6,27,-0.660809943407919,234.36510570198402,0.34520695101182436
208,0.1,2,0.01,6,28,-0.612055110900886,263.6652307059907,0.3951157359922836
209,0.1,2,0.01,6,29,-0.6279727464104425,232.373565995032,0.3472522849588357
210,0.1,2,0.01,7,0,-0.7070875070856486,216.95686810490645,0.32598742767810707
211,0.1,2,0.01,7,1,-0.7227297546474967,248.32273289388715,0.36835995570458807
212,0.1,2,0.01,7,2,-0.7534577489538284,214.27615659368527,0.3097366655969917
213,0.1,2,0.01,7,3,-0.6043037522533176,208.91457213474442,0.3148887156797507
214,0.1,2,0.01,7,4,-0.5781878038397047,237.62632541259336,0.34991291066762803
215,0.1,2,0.01,7,5,-0.7670548971453023,244.9310217180623,0.3699215097531671
216,0.1,2,0.01,7,6,-0.69933222453674,232.66790859197408,0.3448109288094204
217,0.1,2,0.01,7,7,-0.6778156217656739,232.41118550284094,0.3437116239767488
218,0.1,2,0.01,7,8,-0.6763299781938553,249.63834346199167,0.3712069015018691
219,0.1,2,0.01,7,9,-0.768442679536733,237.0250820311484,0.35220717145273683
220,0.1,2,0.01,7,10,-0.829421144806502,252.1002014086837,0.37584199488048115
221,0.1,2,0.01,7,11,-0.7937884467927475,243.80681691738508,0.36840613721389026
222,0.1,2,0.01,7,12,-0.8138008700481242,263.2166025633762,0.3887726763390953
223,0.1,2,0.01,7,13,-0.5737701786403632,265.3513161489674,0.40101607103874687
224,0.1,2,0.01,7,14,-0.8391265175695729,252.02087547355552,0.3804446163111724
225,0.1,2,0.01,7,15,-0.6489397315803793,233.61789353320114,0.3450258579208585
226,0.1,2,0.01,7,16,-0.8305708826214174,250.67406113635639,0.3776801064431872
227,0.1,2,0.01,7,17,-0.8053662742924143,228.67226556745013,0.3348181490346552
228,0.1,2,0.01,7,18,-0.7215244801202768,217.60660302697377,0.3230547094943786
229,0.1,2,0.01,7,19,-0.8172768437149833,285.89253616422184,0.4326176805030591
230,0.1,2,0.01,7,20,-0.7831021488486326,221.7177963413087,0.32826416358784444
231,0.1,2,0.01,7,21,-0.825525215758034,241.155437858814,0.3610426133489968
232,0.1,2,0.01,7,22,-0.8038056556861995,240.13446668388158,0.3595121901603937
233,0.1,2,0.01,7,23,-0.7380164634700911,262.9397332850603,0.3960357417811809
234,0.1,2,0.01,7,24,-0.44629994464284795,228.99480837565594,0.34541194442692413
235,0.1,2,0.01,7,25,-0.6146173005607313,231.27106446297796,0.3496883854085702
236,0.1,2,0.01,7,26,-0.7168507080054116,243.56551617318348,0.36024263916265326
237,0.1,2,0.01,7,27,-0.6183194172831972,222.84599268317086,0.3303420821770253
238,0.1,2,0.01,7,28,-0.8130736186267735,229.3467478347378,0.33955040089186167
239,0.1,2,0.01,7,29,-0.7948971386399878,253.10633894774708,0.38223233812305385
240,0.1,2,0.01,8,0,-0.6669504860734278,238.86647539084106,0.3540436153752065
241,0.1,2,0.01,8,1,-0.8555820888006614,266.9213880773614,0.3986516535438354
242,0.1,2,0.01,8,2,-0.5723858368760707,259.6920761393388,0.39053225437282785
243,0.1,2,0.01,8,3,-0.8343249845601067,285.04198765087784,0.4184472992605528
244,0.1,2,0.01,8,4,-0.573837074964033,249.97102466221952,0.37241397926598196
245,0.1,2,0.01,8,5,-0.7188155711907193,266.7960598682053,0.39565741228693874
246,0.1,2,0.01,8,6,-0.6081859155689694,253.97769774302137,0.3743706655864032
247,0.1,2,0.01,8,7,-0.699601227976644,270.4616179554966,0.42207204308793056
248,0.1,2,0.01,8,8,-0.7302138455608912,221.88340716629776,0.33327197151902294
249,0.1,2,0.01,8,9,-0.8419527641813881,277.418504208064,0.4080286125495454
250,0.1,2,0.01,8,10,-0.7995849497523863,276.4249703659564,0.4111277819823423
251,0.1,2,0.01,8,11,-0.7577498494273825,258.97743400492516,0.3866991370559382
252,0.1,2,0.01,8,12,-0.5531402856391437,247.1486219197335,0.36736035024476
253,0.1,2,0.01,8,13,-0.8612360377881529,256.3710474475229,0.38089498586269754
254,0.1,2,0.01,8,14,-0.5676321823460468,248.70661018313112,0.3671435318351995
255,0.1,2,0.01,8,15,-0.7294566765718384,262.32317858734774,0.3909882925802372
256,0.1,2,0.01,8,16,-0.7779152690214651,245.34038207576884,0.37351635889013707
257,0.1,2,0.01,8,17,-0.7364711835866604,248.60386430693413,0.3663619316705355
258,0.1,2,0.01,8,18,-0.7686359286461028,271.5592775659939,0.40784958915580133
259,0.1,2,0.01,8,19,-0.533230480434366,268.3485027185694,0.4097321397461502
260,0.1,2,0.01,8,20,-0.619791678375896,269.1477802194513,0.40551993008565496
261,0.1,2,0.01,8,21,-0.8360881581386358,273.0812623389208,0.4024766165730307
262,0.1,2,0.01,8,22,-0.6458948269770891,260.40925488351934,0.3914830769055775
263,0.1,2,0.01,8,23,-0.4633908112142815,234.78789887649637,0.3522152486733711
264,0.1,2,0.01,8,24,-0.39504087089369017,226.4619143992736,0.33944853116625406
265,0.1,2,0.01,8,25,-0.7796956711406094,274.3156686476622,0.422396288936057
266,0.1,2,0.01,8,26,-0.46722865865567664,238.9294112518677,0.35105210418504273
267,0.1,2,0.01,8,27,-0.7487547599707548,278.20268668449523,0.424524767755333
268,0.1,2,0.01,8,28,-0.44185661734643683,223.91666866738646,0.33917458447268634
269,0.1,2,0.01,8,29,-0.7500581271026229,274.21906230284077,0.4180535852627652
270,0.1,2,0.01,9,0,-0.8305372514047455,276.0687041178822,0.42176324875840027
271,0.1,2,0.01,9,1,-0.5643474920236019,251.63252643943858,0.38014691770331793
272,0.1,2,0.01,9,2,-0.4599312799822774,237.37226249137848,0.35483018850070774
273,0.1,2,0.01,9,3,-0.7984459883427993,278.5245986481371,0.4183584242686135
274,0.1,2,0.01,9,4,-0.6049045663869833,255.22010457122428,0.3818121968138392
275,0.1,2,0.01,9,5,-0.8407047275198175,267.08110841597755,0.3960042578249074
276,0.1,2,0.01,9,6,-0.7873793615800307,243.71178203644982,0.35552167436072396
277,0.1,2,0.01,9,7,-0.6598876016914973,256.68296736920433,0.37832226461874313
278,0.1,2,0.01,9,8,-0.576794239221453,263.3505366948493,0.405471551170346
279,0.1,2,0.01,9,9,-0.8190633024006436,232.84700887322506,0.3525498325317844
280,0.1,2,0.01,9,10,-0.6678030389681283,234.16176123550406,0.34695100728107403
281,0.1,2,0.01,9,11,-0.4320042928717584,240.57172255133273,0.3615439790445676
282,0.1,2,0.01,9,12,-0.623333409123576,247.06207991645934,0.36475504602208364
283,0.1,2,0.01,9,13,-0.807717855881226,218.82163211379478,0.32770149710529795
284,0.1,2,0.01,9,14,-0.7024459020225509,240.80864679807118,0.36605997049397865
285,0.1,2,0.01,9,15,-0.7079999657874335,221.72545545186145,0.32915845812702904
286,0.1,2,0.05,0,0,-0.513145140088151,341.99201711926383,0.5077006181382894
287,0.1,2,0.05,0,1,-0.5768010469561561,343.21066574753905,0.5157326167308801
288,0.1,2,0.05,0,2,-0.5751416043283606,334.95660982238246,0.49140257530242987
289,0.1,2,0.05,0,3,-0.37726267458024126,316.8014844819129,0.4767301594292434
290,0.1,2,0.05,0,4,-0.5391356493474158,336.62149034105255,0.5010051391797946
291,0.1,2,0.05,0,5,-0.4747422554775002,331.7231670290815,0.49399676772473944
292,0.1,2,0.05,0,6,-0.5617243005525445,350.1589050640742,0.5152118377609446
293,0.1,2,0.05,0,7,-0.5152080094747814,322.13467487398833,0.4822915866693003
294,0.1,2,0.05,0,8,-0.5277793383439816,320.45725490005157,0.4839184285171063
295,0.1,2,0.05,0,9,-0.4423740619258522,324.8759513733142,0.4791229107974318
296,0.1,2,0.05,0,10,-0.4953533247288446,332.9436291018296,0.4981309031183015
297,0.1,2,0.05,0,11,-0.49636849856757576,323.8718667001421,0.48054271244171476
298,0.1,2,0.05,0,12,-0.5602170747512877,339.53092523370896,0.5013058988645208
299,0.1,2,0.05,0,13,-0.4131115924549587,324.001611983485,0.4888040937087541
300,0.1,2,0.05,0,14,-0.4489480666331042,323.24716586717665,0.4749901388722318
301,0.1,2,0.05,0,15,-0.3512348953070228,332.7691517775807,0.5047706367571939
302,0.1,2,0.05,0,16,-0.5052597958047018,337.7209576904654,0.5073300516185543
303,0.1,2,0.05,0,17,-0.3752697030611227,302.3507994578012,0.447753999492861
304,0.1,2,0.05,0,18,-0.440640419887458,295.1102368905173,0.4352421709640644
305,0.1,2,0.05,0,19,-0.5192926567476875,321.7388225172436,0.4721223491420905
306,0.1,2,0.05,0,20,-0.5215956502772107,348.35527486291363,0.5197623516135318
307,0.1,2,0.05,0,21,-0.5178321245198104,334.18422508537805,0.49105420841700087
308,0.1,2,0.05,0,22,-0.393199498657858,313.3855594257633,0.46770703409878545
309,0.1,2,0.05,0,23,-0.5565495172426665,338.29547246431815,0.5019203745551224
310,0.1,2,0.05,0,24,-0.4272147582475739,335.26816370457965,0.5073576851128027
311,0.1,2,0.05,0,25,-0.480553242569914,310.6183094524823,0.45883869577541087
312,0.1,2,0.05,0,26,-0.5551717662017296,327.5684364483158,0.4830382924474416
313,0.1,2,0.05,0,27,-0.4561483247753089,299.08894558492875,0.4340932385745326
314,0.1,2,0.05,0,28,-0.39942866336248256,306.4288996225947,0.4580141529096034
315,0.1,2,0.05,0,29,-0.6391186182960107,329.06118273422265,0.48949957877320155
316,0.1,2,0.05,1,0,-0.5549286500607485,354.20989612565046,0.5257449911175971
317,0.1,2,0.05,1,1,-0.3770411578916428,306.86649327419815,0.4622592397982592
318,0.1,2,0.05,1,2,-0.6060680058997829,345.0283922342544,0.514447403055294
319,0.1,2,0.05,1,3,-0.46730181129651166,318.5660699010601,0.4744050522056437
320,0.1,2,0.05,1,4,-0.6117622164495774,344.57973275388287,0.5141590400556907
321,0.1,2,0.05,1,5,-0.4970276509867057,327.4489400111697,0.48617509509332496
322,0.1,2,0.05,1,6,-0.4884774118764231,337.5194627436769,0.5087052340174599
323,0.1,2,0.05,1,7,-0.44767504098518457,329.3167898839453,0.4978415528695752
324,0.1,2,0.05,1,8,-0.5537777372785829,336.1726409958484,0.4985310878476406
