,er_p,complex_spread_ratio,repetition,run,pearson,euclidean,mape
130,0.05,0.05,4,10,0.10786066830213181,379.019466818268,0.5456008291510202
131,0.05,0.05,4,11,0.18470531972074908,351.1597382505888,0.4853358949013042
132,0.05,0.05,4,12,0.19233055038449517,349.1104980355214,0.4916412987541175
133,0.05,0.05,4,13,0.19133062855337815,348.8067225099937,0.49159645449772565
134,0.05,0.05,4,14,0.18981077885127498,348.9844430575715,0.4924662426937562
135,0.05,0.05,4,15,0.19387205580962652,349.40672123955636,0.4934702557087622
136,0.05,0.05,4,16,0.1932734283233816,347.8782950780476,0.4902563353513422
137,0.05,0.05,4,17,0.18896821238174158,349.342905740679,0.49295525500507953
138,0.05,0.05,4,18,0.18874429568404164,348.57690498442116,0.49259549850653084
139,0.05,0.05,4,19,0.19234140926519258,349.1890206656664,0.4929208732214511
140,0.05,0.05,4,20,0.1953153339537919,349.5528596390109,0.4932734458089934
141,0.05,0.05,4,21,0.1946292673594443,348.9065764865924,0.4904916302864614
142,0.05,0.05,4,22,0.19379149311585922,347.59978573909757,0.4898840909378028
143,0.05,0.05,4,23,0.1900154199097911,348.92924980961135,0.4921179442855224
144,0.05,0.05,4,24,0.18956106149972327,348.70842339163886,0.49235107114986404
145,0.05,0.05,4,25,0.20261914429934155,347.91098695159013,0.4887659105685433
146,0.05,0.05,4,26,0.1855236773783202,348.4084827426124,0.4919316664936864
147,0.05,0.05,4,27,0.19356343107743249,347.89667699191745,0.4902429036228148
148,0.05,0.05,4,28,0.1915838307446496,348.73762974148696,0.49035334039231765
149,0.05,0.05,4,29,0.19299630523933187,349.2221351296962,0.4930770660556954
150,0.05,0.05,5,0,0.22476908842411947,325.5601550418876,0.4490762840770506
151,0.05,0.05,5,1,0.22709024714612205,327.45883801821407,0.4506256170165188
152,0.05,0.05,5,2,0.22202489201643183,327.1408524078608,0.45114688233518846
153,0.05,0.05,5,3,0.21664761433964777,326.33132048609576,0.4492100993056618
154,0.05,0.05,5,4,0.21944541568181353,328.0279869804471,0.4521906359878341
155,0.05,0.05,5,5,0.22436877419878987,323.0685916197824,0.44424907241694384
156,0.05,0.05,5,6,0.2118574390216201,314.2515030334054,0.4441579552880846
157,0.05,0.05,5,7,0.22382499321504049,326.3171654275208,0.4488729036601109
158,0.05,0.05,5,8,0.21078038658842924,327.1071641983256,0.45022712662113634
159,0.05,0.05,5,9,0.2230757490711135,324.97410882767264,0.4467145981129969
160,0.05,0.05,5,10,0.2262671881327467,326.2678883113982,0.4499749937978863
161,0.05,0.05,5,11,0.2197846768455305,327.5691666517305,0.4517392901712123
162,0.05,0.05,5,12,0.22149175607012173,326.20836443972047,0.44923230959289867
163,0.05,0.05,5,13,0.23182318635462681,325.37852801631584,0.44784671340444365
164,0.05,0.05,5,14,0.22393610509898368,326.7950153428507,0.4508854358001084
165,0.05,0.05,5,15,0.22467638251474498,326.291393017054,0.45025741821875825
166,0.05,0.05,5,16,0.1612062427693275,374.8684224355946,0.5218915028673112
167,0.05,0.05,5,17,0.19887556870342035,330.45644399073694,0.44974186544167477
168,0.05,0.05,5,18,0.2344967783112506,324.5302989562045,0.4442570923658992
169,0.05,0.05,5,19,0.21816919800041623,327.2571464279362,0.45069189811976057
170,0.05,0.05,5,20,0.2287204819566848,326.17496600580415,0.4488005938521032
171,0.05,0.05,5,21,0.2219000080556678,326.43322790665576,0.449842255544776
172,0.05,0.05,5,22,0.22906674848308095,325.7123254068424,0.44828853025090165
173,0.05,0.05,5,23,0.22860865265778374,329.19117337003036,0.4520020993128029
174,0.05,0.05,5,24,0.22547582650156084,330.9311659764,0.4562419971440737
175,0.05,0.05,5,25,0.21538546029587735,364.4427776595374,0.5106844681367174
176,0.05,0.05,5,26,0.2285342543367863,326.267626868371,0.4493495403580661
177,0.05,0.05,5,27,0.22274020367413402,328.75622209873205,0.4516970554987025
178,0.05,0.05,5,28,0.16499812802265904,362.73005451761765,0.5044019660449836
179,0.05,0.05,5,29,0.22893793830945933,324.2914204271029,0.44696108105020255
180,0.05,0.05,6,0,0.21024153814578148,346.3556852374086,0.47877179030404066
181,0.05,0.05,6,1,0.2218879154019873,347.06264968575596,0.4748718478346623
182,0.05,0.05,6,2,0.20755127053734235,346.5890523914013,0.47942190803362844
183,0.05,0.05,6,3,0.21861219785930522,347.18378371580616,0.47952082724797157
184,0.05,0.05,6,4,0.2212106782385348,346.6951782280973,0.47916510126635387
185,0.05,0.05,6,5,0.2086779767841335,347.1734870097177,0.477327809248699
186,0.05,0.05,6,6,0.0513581620930659,413.2477958707,0.602316832624293
187,0.05,0.05,6,7,0.21934335555602846,344.7282127236011,0.4744832024300769
188,0.05,0.05,6,8,0.004911852591799194,413.3480165073061,0.598466009232619
189,0.05,0.05,6,9,0.19900351779963474,333.9006911239237,0.4598283228136885
190,0.05,0.05,6,10,0.21582005514531585,347.62924439083446,0.479222107156168
191,0.05,0.05,6,11,0.21101552279202496,347.12342385924444,0.47771703024394735
192,0.05,0.05,6,12,0.2108586374470068,347.0020744931428,0.4786694020786086
193,0.05,0.05,6,13,0.20463928971245712,347.94399463249624,0.4813116922995338
194,0.05,0.05,6,14,0.20900518917112096,347.0012341856448,0.47759043967613524
195,0.05,0.05,6,15,0.2006409654003991,348.6777341819391,0.4839329711254636
196,0.05,0.05,6,16,0.21331626778178772,346.2247925142587,0.4774931350655199
197,0.05,0.05,6,17,0.22314016989958896,346.59981002238743,0.47653778205345376
198,0.05,0.05,6,18,0.22454853781554793,346.4707612675117,0.47614906323500295
199,0.05,0.05,6,19,0.21321933766225332,345.87452116386936,0.47692347283361336
200,0.05,0.05,6,20,0.20231097196097425,345.8662594320317,0.47871796553802937
201,0.05,0.05,6,21,0.21088353284953407,347.7507627984981,0.4798897254632619
202,0.05,0.05,6,22,0.21071563366233684,346.0076117860305,0.4757257748208956
203,0.05,0.05,6,23,0.2094555984035299,347.1351225999859,0.4795287585705292
204,0.05,0.05,6,24,0.21427599233499064,345.4181709742099,0.4757416492505511
205,0.05,0.05,6,25,0.20690836390706482,346.75289296012284,0.4797603865207689
206,0.05,0.05,6,26,0.22126284590669618,346.02216631948096,0.4760558521417984
207,0.05,0.05,6,27,0.21619444984772562,345.5975653494385,0.47601041324253063
208,0.05,0.05,6,28,0.21097109280849868,346.3804387575685,0.4778601860423007
209,0.05,0.05,6,29,0.2179999627739655,325.89978721037363,0.45014349978775153
210,0.05,0.05,7,0,0.2312612966999259,348.9686391321729,0.4780113713316685
211,0.05,0.05,7,1,0.2200969263206085,335.59734701410383,0.45727152183982506
212,0.05,0.05,7,2,0.19945723110076108,359.74088586136713,0.5136104092115003
213,0.05,0.05,7,3,0.21838130544643305,334.151213220696,0.45509055025967343
214,0.05,0.05,7,4,0.2175320842708346,337.1400856841771,0.4593696461473316
215,0.05,0.05,7,5,0.2165679500226967,333.6894328622975,0.45525199733132854
216,0.05,0.05,7,6,0.2096120964629864,336.2094588931709,0.45773474572085604
217,0.05,0.05,7,7,0.21942030650392405,332.46821959309204,0.4523514408004374
218,0.05,0.05,7,8,0.2204093018895491,335.29088426430457,0.4579189329257298
219,0.05,0.05,7,9,0.20921226277265803,333.7551248029832,0.455284696541107
220,0.05,0.05,7,10,0.21628230965123965,333.1568246676439,0.45568249803766486
221,0.05,0.05,7,11,0.21060590671192872,334.73740578775164,0.4569401815353516
222,0.05,0.05,7,12,0.08465507260896804,399.0219932448227,0.5780838267180716
223,0.05,0.05,7,13,0.21893905601751715,335.77196291749215,0.45816846158205937
224,0.05,0.05,7,14,0.21775662467734694,335.30867550126726,0.4579150675786927
225,0.05,0.05,7,15,0.21750553051647292,337.58877550814697,0.46085292008589374
226,0.05,0.05,7,16,0.2170330389651555,333.9871557974718,0.45628325911844314
227,0.05,0.05,7,17,0.21801956753971682,334.6457705191604,0.45685630383305753
228,0.05,0.05,7,18,0.221546901462746,332.7635092834441,0.45293256931490466
229,0.05,0.05,7,19,0.23341738430563855,332.17971092206204,0.44946860206873246
230,0.05,0.05,7,20,0.22347907248861432,333.5970647191946,0.45295858985148757
231,0.05,0.05,7,21,0.2238678724923401,300.5123701747429,0.42749188203470756
232,0.05,0.05,7,22,0.18747341863298017,364.68854488721735,0.49918066533299604
233,0.05,0.05,7,23,0.21683490264562577,334.13036252655695,0.4561425433048682
234,0.05,0.05,7,24,0.21805412493574017,333.73102879959646,0.4539420551279121
235,0.05,0.05,7,25,0.2184793412953644,358.2474489895385,0.5105427014736553
236,0.05,0.05,7,26,0.21741667939021556,333.523282154688,0.45443108690249057
237,0.05,0.05,7,27,0.21872115294801664,334.14518420275164,0.4546729570912118
238,0.05,0.05,7,28,0.22040904582662768,333.7030678093424,0.4545371801545466
239,0.05,0.05,7,29,0.2127041982690959,332.26889570914614,0.4518126780815936
240,0.05,0.05,8,0,0.2198008168826023,354.2134259061166,0.489864940147628
241,0.05,0.05,8,1,0.19430214079019015,350.07742298933584,0.49025253833857807
242,0.05,0.05,8,2,0.22142715195694665,309.73392985151037,0.4393000226122743
243,0.05,0.05,8,3,0.19313361770132811,349.2529876884214,0.4886695723942667
244,0.05,0.05,8,4,0.19072756965238993,350.32043006464414,0.4903465457611012
245,0.05,0.05,8,5,0.20072825212442266,348.66641871941147,0.4872762597970697
246,0.05,0.05,8,6,0.1896261212745838,349.8978929081923,0.49027507696088285
247,0.05,0.05,8,7,0.20107567627235332,348.22968167539847,0.4859009319223764
248,0.05,0.05,8,8,0.2035529824373119,349.7541231147129,0.4890935408186053
249,0.05,0.05,8,9,0.2003712545056915,348.7231187847547,0.48568596308933226
250,0.05,0.05,8,10,0.202745296106831,348.4374538713489,0.4856349845799015
251,0.05,0.05,8,11,0.18381014796067752,379.2411243129648,0.537672577273128
252,0.05,0.05,8,12,0.19982459877369355,348.8353637329271,0.48375191963026953
253,0.05,0.05,8,13,0.20348360374473362,349.2530111088002,0.48747196965635725
254,0.05,0.05,8,14,0.19193064103647317,349.33350926800927,0.48837450930268494
255,0.05,0.05,8,15,0.189883077835688,349.62809492265677,0.48989315935897154
256,0.05,0.05,8,16,0.19891198748271535,318.792860368218,0.43498637297663284
257,0.05,0.05,8,17,0.19893770565829863,349.83138516069306,0.4890103802691888
258,0.05,0.05,8,18,0.2004137679706753,350.4024771622055,0.48874316800082335
259,0.05,0.05,8,19,0.20066460570550593,349.03853360699804,0.4868013321216868
260,0.05,0.05,8,20,0.19618267442092177,347.8864174489856,0.48511465733765097
261,0.05,0.05,8,21,0.20356566449278954,349.72765280496,0.4878162782742517
262,0.05,0.05,8,22,0.19857188530551714,348.43464575868364,0.4857941305335907
263,0.05,0.05,8,23,0.20483576328268993,348.27538017697543,0.48633274572444757
264,0.05,0.05,8,24,0.19758599329085968,349.1890840743083,0.48906821758108004
265,0.05,0.05,8,25,0.20094336047372788,347.6708464553714,0.4841657881885508
266,0.05,0.05,8,26,0.2017018324163522,349.3881583621928,0.4878686938853298
267,0.05,0.05,8,27,0.1968749099990287,348.9636180146943,0.48726602272949715
268,0.05,0.05,8,28,0.08233192599612103,383.4214834863513,0.5477298779562637
269,0.05,0.05,8,29,0.19269370400252106,349.23027636745974,0.4887725788616924
270,0.05,0.05,9,0,0.20459561868236628,397.17497447567786,0.5810182270522032
271,0.05,0.05,9,1,0.20762685845736387,323.41419416662,0.4458421046351468
272,0.05,0.05,9,2,0.20604427785847998,322.4812083540075,0.44211559401797523
273,0.05,0.05,9,3,0.20899077790411513,323.0384779817644,0.4447391207831264
274,0.05,0.05,9,4,0.20690692350473291,330.3655340079105,0.44838719005138566
275,0.05,0.05,9,5,0.21170985980956405,320.88831986563395,0.4409446364707353
276,0.05,0.05,9,6,0.21384700433563894,324.25393304656427,0.44671167015801627
277,0.05,0.05,9,7,0.21121244236862205,322.45618439092436,0.4438106286005988
278,0.05,0.05,9,8,0.2135702430112725,323.40987062341617,0.44597313584343734
279,0.05,0.05,9,9,0.21899046283348525,321.5334421942551,0.4423830656144762
280,0.05,0.05,9,10,0.21314613387519118,323.0890545975977,0.4451105769054471
281,0.05,0.05,9,11,0.21531428879089295,323.1866585373889,0.444858393980482
282,0.05,0.05,9,12,0.2109534507564046,323.6716496024364,0.4451098101247926
283,0.05,0.05,9,13,0.20897068151767226,322.918972345757,0.44535176620946615
284,0.05,0.05,9,14,0.21195715226281375,324.2288047221184,0.4471897653164016
285,0.05,0.05,9,15,0.23691565615145857,305.90532933371566,0.4422631314389938
286,0.05,0.05,9,16,0.21084494965716283,321.2238791834686,0.4420863927856746
287,0.05,0.05,9,17,0.21924908829150516,321.9160883441702,0.442412404650643
288,0.05,0.05,9,18,0.21370815755917594,324.5765931032149,0.44770030016070156
289,0.05,0.05,9,19,0.21744483849861693,323.3133128943711,0.4448819770747922
290,0.05,0.05,9,20,0.21558500234950617,339.54490874613333,0.46197464594550447
291,0.05,0.05,9,21,0.2159433232141299,322.1078521945465,0.4433789407167273
292,0.05,0.05,9,22,0.2182310686748129,320.7784010041942,0.44180206905793656
293,0.05,0.05,9,23,0.21108766900779977,321.3468500707317,0.44295838119744185
294,0.05,0.05,9,24,0.21179874303091814,323.3523802145643,0.4463183531885524
295,0.05,0.05,9,25,0.20951368339595522,324.27816966538654,0.4457885246558481
296,0.05,0.05,9,26,0.21194622862414614,321.51166206107814,0.4418975525663025
297,0.05,0.05,9,27,0.21389914081964978,324.4908659313999,0.4480842179642593
298,0.05,0.05,9,28,0.20698741788588004,324.0758999702187,0.44689872528034363
299,0.05,0.05,9,29,0.21271524225477045,321.23719311827114,0.4422690144863097
300,0.05,0.1,0,0,0.12792088059371917,365.7704215598694,0.4988777866599594
301,0.05,0.1,0,1,0.11112502920418432,366.2155037950879,0.5036399182871161
302,0.05,0.1,0,2,0.1342277221454393,366.05713983098104,0.5005945237504864
303,0.05,0.1,0,3,0.12790315113146886,366.9785679664721,0.5006287671375818
304,0.05,0.1,0,4,0.12202102639591339,365.4900128720713,0.4985784000472582
305,0.05,0.1,0,5,0.21831364034737166,265.78287579188833,0.36463883954641596
306,0.05,0.1,0,6,0.12294043807451671,366.08868029264255,0.49968972203350065
307,0.05,0.1,0,7,0.11600505908514093,366.0420272134657,0.5007569391054977
308,0.05,0.1,0,8,0.13002535062427942,365.7269108849088,0.49478234552957706
309,0.05,0.1,0,9,0.1333784728863072,335.18840298752303,0.4748486265188084
310,0.05,0.1,0,10,0.18910815648097457,324.5740065459196,0.46309903859386115
311,0.05,0.1,0,11,0.11006939855784674,366.4889005844225,0.5037625098465193
312,0.05,0.1,0,12,0.12187945481200191,367.18002998895355,0.5048083763841202
313,0.05,0.1,0,13,0.143528610502362,365.94287662867663,0.499084504692628
314,0.05,0.1,0,14,0.15263092576017678,366.1037020035098,0.4999783120244537
315,0.05,0.1,0,15,0.14424911441103339,366.4379830984201,0.5015517921150727
316,0.05,0.1,0,16,0.11908300930427845,367.2745653680633,0.5032114007219189
317,0.05,0.1,0,17,0.12535438825250167,366.09562674855607,0.4995386156145165
318,0.05,0.1,0,18,0.14267654759108006,366.0640838054523,0.5024692589882155
319,0.05,0.1,0,19,0.20035256180724095,299.0609157588606,0.41646984564092787
320,0.05,0.1,0,20,0.1537359767190748,367.4705720572037,0.5075039030704799
321,0.05,0.1,0,21,0.143969082986355,365.32128800679806,0.49852678387402527
322,0.05,0.1,0,22,0.11511291795538264,366.1098785475083,0.5045096338862418
323,0.05,0.1,0,23,0.13156531176427255,363.7259015535096,0.49156932436304146
324,0.05,0.1,0,24,0.12933737781447377,365.40285850397095,0.49927965188630274
325,0.05,0.1,0,25,0.12455535530544404,365.88407097329605,0.49902643526967
326,0.05,0.1,0,26,0.10902955538618721,365.98925469876104,0.5030216541874907
327,0.05,0.1,0,27,0.1339894198233591,366.73273755697164,0.498932214748522
328,0.05,0.1,0,28,0.13456272814157097,365.91543801435955,0.4969786292269817
329,0.05,0.1,0,29,0.1162467279348746,366.5926689974029,0.5027870935026965
330,0.05,0.1,1,0,0.17742591422240686,328.22943002179164,0.45951850281656653
331,0.05,0.1,1,1,0.1800616483149596,327.85782683627787,0.454080494862301
332,0.05,0.1,1,2,0.1929483487197535,327.1261888289053,0.4535560606493214
333,0.05,0.1,1,3,0.1889461855665776,350.2839015691837,0.4758836438412253
334,0.05,0.1,1,4,0.1601948814073442,328.8661335459368,0.45910295135831203
335,0.05,0.1,1,5,0.17752786081701136,328.03335110382386,0.4587610971286831
336,0.05,0.1,1,6,0.1767960876856063,328.82667632774036,0.4569434689866572
337,0.05,0.1,1,7,0.1669281713064064,328.9269356736959,0.45991729052167957
338,0.05,0.1,1,8,0.16796445521613715,330.04522141990486,0.46153445868501275
339,0.05,0.1,1,9,0.18292432471238315,327.95256243345847,0.4566551874786537
340,0.05,0.1,1,10,0.17121814615608025,327.64952283158686,0.4570886353352223
341,0.05,0.1,1,11,0.19780952085078451,310.95111568017643,0.42351436690211414
342,0.05,0.1,1,12,0.1773859083283249,328.3783307833736,0.45706491755008033
343,0.05,0.1,1,13,0.1534354208837666,347.5688898367932,0.4944637360489135
344,0.05,0.1,1,14,0.18571101866554848,329.63473373465087,0.46046514162702373
345,0.05,0.1,1,15,0.17210206744946585,326.58528408654894,0.45571411701209547
346,0.05,0.1,1,16,0.1945710568100505,329.399479008446,0.4552392626060227
347,0.05,0.1,1,17,0.18116399848783396,328.9509678514343,0.456826668271926
348,0.05,0.1,1,18,0.17997017184932762,329.02179230229984,0.4594348859128643
