,er_p,complex_spread_ratio,repetition,run,pearson,euclidean,mape
0,0.05,0.05,0,0,0.21079971604944114,334.8414723960292,0.45727924187963875
1,0.05,0.05,0,1,0.21213088351570228,335.42416705149384,0.4583136906378127
2,0.05,0.05,0,2,0.20521139423386858,333.82961802332056,0.4568215883237834
3,0.05,0.05,0,3,0.1337107032164618,378.3151909604819,0.5429808639870501
4,0.05,0.05,0,4,0.20861124732994996,332.02286024018576,0.4515659097641827
5,0.05,0.05,0,5,0.20132394077769902,353.9533547850271,0.4946749047000319
6,0.05,0.05,0,6,0.1232998929930894,363.6403852948826,0.5177313192244686
7,0.05,0.05,0,7,0.2109026639939651,332.83108905622186,0.45483188192267815
8,0.05,0.05,0,8,0.21145986716570028,334.40621368016286,0.45717144936111703
9,0.05,0.05,0,9,0.14814710830301803,369.0905147189394,0.5236129988660475
10,0.05,0.05,0,10,0.21670504022418702,335.5442873121768,0.4574476845833771
11,0.05,0.05,0,11,0.2183782257450195,332.8939387664464,0.45354630049896444
12,0.05,0.05,0,12,0.21988066917982388,334.75628567961894,0.455361554110838
13,0.05,0.05,0,13,0.12789957721346382,379.0954114499444,0.5374482632095454
14,0.05,0.05,0,14,0.21523905523689146,334.15855211924276,0.45623578570995776
15,0.05,0.05,0,15,0.20358271423534455,357.6242653302913,0.4977300535380665
16,0.05,0.05,0,16,0.1955966896705977,334.83167519284973,0.46351640776540187
17,0.05,0.05,0,17,0.2140668438758583,332.9469993407076,0.45438488568753327
18,0.05,0.05,0,18,0.21402882462236028,340.29394852744696,0.46818553074550145
19,0.05,0.05,0,19,0.21723501614555576,333.2557895035067,0.45318058016524193
20,0.05,0.05,0,20,0.2125831438623885,334.4854205482393,0.4557824307511293
21,0.05,0.05,0,21,0.15478084877647477,377.20246649413554,0.5310261617394846
22,0.05,0.05,0,22,0.21549362100501404,322.09841941000406,0.4446916372452829
23,0.05,0.05,0,23,0.20063124033051336,367.8285333407592,0.5254781088893354
24,0.05,0.05,0,24,0.21044186735959589,334.2508594115645,0.4571528687977688
25,0.05,0.05,0,25,0.09924698117294482,392.24596435836276,0.5670963073744454
26,0.05,0.05,0,26,0.21524969209593448,334.23872306087134,0.45515334653919437
27,0.05,0.05,0,27,0.046159336734181405,417.5455219194157,0.6066467309988874
28,0.05,0.05,0,28,0.19011878968388837,337.4218164159362,0.4798995319261685
29,0.05,0.05,0,29,0.2216808858983761,333.01441790035597,0.45141355216216167
30,0.05,0.05,1,0,0.21966591643500988,341.34247318033357,0.4673293711709321
31,0.05,0.05,1,1,0.22681263033519236,341.57061485994967,0.4673470273192068
32,0.05,0.05,1,2,0.22196178845209577,342.1449761632271,0.46980918677904643
33,0.05,0.05,1,3,0.2342161836982464,342.65507128642344,0.46391424349259397
34,0.05,0.05,1,4,0.22004887069922455,343.1947185846265,0.4702612344141966
35,0.05,0.05,1,5,0.21435665063212275,342.54529048631986,0.4724157120891126
36,0.05,0.05,1,6,0.22655920174829036,339.16045595850585,0.46377972926236016
37,0.05,0.05,1,7,0.2042188960474567,343.48611550315394,0.4741169033073451
38,0.05,0.05,1,8,0.22420024550663378,343.04135782655675,0.4720830589947198
39,0.05,0.05,1,9,0.2044599389319751,346.88767828606757,0.4873559228916223
40,0.05,0.05,1,10,0.21599357719034792,342.1049122098804,0.4692790732277416
41,0.05,0.05,1,11,0.2159410162610008,342.12453883134276,0.47192363034004375
42,0.05,0.05,1,12,0.20439322195816603,341.937781348206,0.4715085100827501
43,0.05,0.05,1,13,0.22126502113746582,342.1576952212886,0.46864325800831974
44,0.05,0.05,1,14,0.224840750297968,343.30489223939657,0.46999729988380207
45,0.05,0.05,1,15,0.2131882633134551,341.85720920469504,0.46900725189438947
46,0.05,0.05,1,16,0.21450052893542235,344.7120107109336,0.4752663557653262
47,0.05,0.05,1,17,0.2036318820963374,341.552439070146,0.47184559101747
48,0.05,0.05,1,18,0.21959458833623935,342.370049218777,0.46853260816726056
49,0.05,0.05,1,19,0.21909361206542155,342.0615861048796,0.46983727606753095
50,0.05,0.05,1,20,0.22011796803852246,343.5351437293695,0.470731249909314
51,0.05,0.05,1,21,0.2172405385876219,341.89546813707346,0.46766929830695636
52,0.05,0.05,1,22,0.22844153913950893,340.98933376764353,0.46475226368935596
53,0.05,0.05,1,23,0.21280460027091727,343.9576454621729,0.47351068916298455
54,0.05,0.05,1,24,0.22498555931728617,343.4381167227986,0.47004843213213227
55,0.05,0.05,1,25,0.21901112883955046,342.7727913311642,0.4708007820269023
56,0.05,0.05,1,26,0.2170895143274619,342.0364767455364,0.4701273394257572
57,0.05,0.05,1,27,0.21849826449151577,341.81564396039965,0.4706813440405449
58,0.05,0.05,1,28,0.21345700180115312,342.55907717815376,0.47123529459678953
59,0.05,0.05,1,29,0.2150801676074592,342.26043633772787,0.4704919239515666
60,0.05,0.05,2,0,0.13534959430167445,377.19417197890954,0.5314634852536154
61,0.05,0.05,2,1,0.11083860988193074,378.8411760241891,0.5379426638937009
62,0.05,0.05,2,2,0.11681714511822243,377.90908867357507,0.5363011947491343
63,0.05,0.05,2,3,0.12196750609763864,376.8880638191254,0.5335185288740935
64,0.05,0.05,2,4,0.11853505840209055,375.5296443530758,0.5295505516985902
65,0.05,0.05,2,5,0.09427940216788737,382.26991205068504,0.545250291548287
66,0.05,0.05,2,6,0.12757193932483568,378.097385042461,0.5351156150897844
67,0.05,0.05,2,7,0.12304101766673066,373.93908131716535,0.5290825722398242
68,0.05,0.05,2,8,0.1206784916412497,376.1781375798052,0.5312114478886687
69,0.05,0.05,2,9,0.12235891494302437,377.8049827726418,0.5338088796523256
70,0.05,0.05,2,10,0.10159248623857699,378.73384618569463,0.5374979354889018
71,0.05,0.05,2,11,0.07629391600832483,416.1547041463023,0.6098949408746246
72,0.05,0.05,2,12,0.11622114972960344,380.3093300960552,0.5412993180779272
73,0.05,0.05,2,13,0.11911544301564958,378.32333014782745,0.5371911462510246
74,0.05,0.05,2,14,0.12253394910786353,375.7318414075703,0.5330413025564469
75,0.05,0.05,2,15,0.12152575800603987,396.2511493497678,0.5698253229931867
76,0.05,0.05,2,16,0.10490287223909406,378.5691514913017,0.5389229213112497
77,0.05,0.05,2,17,0.1065996651903753,382.91016794248844,0.5462395815269616
78,0.05,0.05,2,18,0.12023829227385557,380.4640400536996,0.541994527943329
79,0.05,0.05,2,19,0.14731390999830224,372.1376813110826,0.5186872267900372
80,0.05,0.05,2,20,0.11440172425506369,377.4508647708603,0.5346438942923218
81,0.05,0.05,2,21,0.12237349366156676,376.7047085300151,0.5322699514297299
82,0.05,0.05,2,22,0.10730654165486381,382.3651643368441,0.5448705627522334
83,0.05,0.05,2,23,0.11620368900797401,376.2098286136673,0.5326272737608883
84,0.05,0.05,2,24,0.09005078444520688,378.2896095208361,0.537313510267253
85,0.05,0.05,2,25,0.10973147420908884,377.04551984455657,0.5343691516479336
86,0.05,0.05,2,26,0.12049359497742783,374.03917076784796,0.5272602306850666
87,0.05,0.05,2,27,0.10218117179524244,382.72501445886655,0.5446034676127497
88,0.05,0.05,2,28,0.11590539398053477,379.26264717599435,0.5391850660967062
89,0.05,0.05,2,29,0.1129048215123521,375.8520572651371,0.5326522992567397
90,0.05,0.05,3,0,0.13588589252727737,376.04002405087414,0.5372150143128188
91,0.05,0.05,3,1,0.15055161463160602,370.57365499952374,0.5273187098095039
92,0.05,0.05,3,2,0.1374222566934353,373.32671223887127,0.5309340737092335
93,0.05,0.05,3,3,0.142484251574818,369.2276161835911,0.524510290700176
94,0.05,0.05,3,4,0.13970984782263776,370.29595741409395,0.5275618476390198
95,0.05,0.05,3,5,0.13679612421234766,374.5065218261439,0.5353231324309898
96,0.05,0.05,3,6,0.14600944293871007,370.7727379688782,0.5279065740057771
97,0.05,0.05,3,7,0.13480788869200874,373.04120324931773,0.5301796422564099
98,0.05,0.05,3,8,0.13735101740959502,370.4958463538721,0.5279169727421201
99,0.05,0.05,3,9,0.1396913693991427,371.74184626798365,0.5285290214443962
100,0.05,0.05,3,10,0.13464692749699442,370.9265525110939,0.5275612896353886
101,0.05,0.05,3,11,0.1327385037547412,370.0325973552688,0.5267281354472414
102,0.05,0.05,3,12,0.13399366935089646,373.5261485617825,0.5330117993818341
103,0.05,0.05,3,13,0.13239433501694137,375.7057464311397,0.5354972168710878
104,0.05,0.05,3,14,0.13168514732257994,375.2331983412774,0.535395853098604
105,0.05,0.05,3,15,0.12793695731206162,368.9786243712333,0.5259882483021238
106,0.05,0.05,3,16,0.13551027704859148,373.7971110347625,0.5339542288981229
107,0.05,0.05,3,17,0.1327475308529578,371.51944417875785,0.5294607291867609
108,0.05,0.05,3,18,0.13479664148949333,372.65575029835344,0.5313623127386741
109,0.05,0.05,3,19,0.130616585343528,373.7769219708644,0.5328126305284239
110,0.05,0.05,3,20,0.13399916388756808,372.58129705876553,0.5308569726087599
111,0.05,0.05,3,21,0.13761274837950346,373.9183206697317,0.5321686629794158
112,0.05,0.05,3,22,0.1370525903045535,369.3257954945063,0.5247908213768432
113,0.05,0.05,3,23,0.13464126722266356,372.00324488822895,0.5310606184628957
114,0.05,0.05,3,24,0.1472338642587445,371.6843789920649,0.528044931651054
115,0.05,0.05,3,25,0.2129681588462926,343.0927221717375,0.4739672476052173
116,0.05,0.05,3,26,0.13829774831029462,370.63645129336214,0.5275585886346199
117,0.05,0.05,3,27,0.13336220574627886,373.0065737213119,0.5332101838240785
118,0.05,0.05,3,28,0.14275389433598956,371.97481423529695,0.5298462941856743
119,0.05,0.05,3,29,0.14527061129281627,369.6370381718528,0.5267947233071152
120,0.05,0.05,4,0,0.18556445094642396,348.9896782293766,0.4918214002400834
121,0.05,0.05,4,1,0.18559180516378182,349.07118612437006,0.4915840264094256
122,0.05,0.05,4,2,0.19066406561123114,349.2223034521866,0.49265987979209064
123,0.05,0.05,4,3,0.19615815654616994,349.2448846693622,0.49215552037378996
124,0.05,0.05,4,4,0.18881486570953343,348.65313456086534,0.49087291013490403
125,0.05,0.05,4,5,0.19071758302347006,349.7498273963434,0.49335016330601317
126,0.05,0.05,4,6,0.21586088296368963,336.70828844143085,0.46569931056146663
127,0.05,0.05,4,7,0.19697371524590326,348.5433211260861,0.49003163762403074
128,0.05,0.05,4,8,0.1861997157603105,349.09587624784695,0.4919112848964413
129,0.05,0.05,4,9,0.1905769903248481,348.7258978540767,0.49154580036978207
