,ba_m,complex_spread_ratio,repetition,run,pearson,euclidean,mape
5618,15,0.1,0,9,0.0029345966797612866,318.9514784253374,0.4060717526100864
5619,15,0.1,0,10,0.003134751487072892,320.5001447616628,0.40701413177226997
5620,15,0.1,0,11,0.010980874382934611,320.2654780402883,0.40541738860817217
5621,15,0.1,0,12,-0.0026154089832316485,320.9863204948471,0.4112638917047426
5622,15,0.1,0,13,0.010918996260217325,319.0848500177188,0.4016538719602403
5623,15,0.1,0,14,0.007181438535930025,319.8015956990269,0.4041255533409891
5624,15,0.1,0,15,0.0009865457447964892,320.929029674202,0.4090676956003576
5625,15,0.1,0,16,0.00540195659076706,320.0064651866037,0.4065121149642799
5626,15,0.1,0,17,0.0077205224029168,319.7697775040795,0.4051537158504657
5627,15,0.1,0,18,0.006959752840185286,319.38659156135526,0.4060688881428505
5628,15,0.1,0,19,0.0030262835355682194,320.3487713163237,0.40746111688242537
5629,15,0.1,0,20,0.005860937819965624,320.1636259557188,0.4059606074348084
5630,15,0.1,0,21,0.005034228678911522,319.98844539596513,0.40702009532841316
5631,15,0.1,0,22,0.013610036052152616,319.656714996577,0.4023761404327444
5632,15,0.1,0,23,-0.0026226517368528324,320.7212834017455,0.40752462750759116
5633,15,0.1,0,24,0.00287342605716176,320.31324646174716,0.4080850693646001
5634,15,0.1,0,25,0.007497591198124996,319.86993094160465,0.40443383057632465
5635,15,0.1,0,26,0.0016842409802828677,320.0304507872053,0.40794197339193045
5636,15,0.1,0,27,-0.003891522361203622,320.179233223175,0.40968319658919133
5637,15,0.1,0,28,0.015726774035189916,319.60593035212906,0.402384952783679
5638,15,0.1,0,29,0.006363806455284893,320.42607580903206,0.4080311487448413
5639,15,0.1,1,0,0.0936018105289768,297.24050420967194,0.40378792825174653
5640,15,0.1,1,1,0.0804295922769616,297.30605380784596,0.406129333788998
5641,15,0.1,1,2,0.07292982699495175,295.59489381589646,0.40226299926729725
5642,15,0.1,1,3,0.08205358300673346,296.3236802248919,0.4040097440412505
5643,15,0.1,1,4,0.08525158377541368,297.56125681601804,0.40542476322979665
5644,15,0.1,1,5,0.08001366803325613,295.60118347808304,0.39971942395471816
5645,15,0.1,1,6,0.08923030126702587,296.17649000550574,0.4025456167632045
5646,15,0.1,1,7,0.09167840410106341,296.79925152319805,0.4039960046623923
5647,15,0.1,1,8,0.07455912014061017,295.3025424220221,0.4015473579474132
5648,15,0.1,1,9,0.07426250437882562,296.51661250881466,0.4032509469943311
5649,15,0.1,1,10,0.08746694773108214,297.18427692536693,0.4044120213646256
5650,15,0.1,1,11,0.08562916630562196,296.19323683971334,0.4025206146778711
5651,15,0.1,1,12,0.08358986858386779,297.73267128198273,0.4070271589930871
5652,15,0.1,1,13,0.0788097008332556,297.2863931185831,0.40654224127213756
5653,15,0.1,1,14,0.08285432967257976,297.3424930742909,0.4046295223631439
5654,15,0.1,1,15,0.06954819029136197,296.75413712209615,0.4044566267382377
5655,15,0.1,1,16,0.09085254949132565,297.5293109150036,0.4052780770725796
5656,15,0.1,1,17,0.08201547825140905,297.6443266859936,0.40552585192465
5657,15,0.1,1,18,0.09110027904269434,295.2749852048931,0.3983239429885171
5658,15,0.1,1,19,0.07187429975574701,296.04375454393374,0.40374397918212296
5659,15,0.1,1,20,0.08344373762541912,296.44212525737595,0.4050861916908806
5660,15,0.1,1,21,0.08622380690332958,297.1742478247926,0.40506590929043407
5661,15,0.1,1,22,0.07327874327250782,295.4430619272287,0.40111599001589
5662,15,0.1,1,23,0.08336118058995146,295.32957784699346,0.4018004705466503
5663,15,0.1,1,24,0.06351547749156534,295.86775361252177,0.40206363383691923
5664,15,0.1,1,25,0.18179671829248054,272.6838904269005,0.363170073990344
5665,15,0.1,1,26,0.07581520208528131,296.05088019427956,0.40344083231934635
5666,15,0.1,1,27,0.08508392817088295,296.2790830832759,0.4049711038101294
5667,15,0.1,1,28,0.07568516682082173,298.2805300237033,0.40627933830255863
5668,15,0.1,1,29,0.07423298959524859,297.0084848523179,0.4055897783116822
5669,15,0.1,2,0,-0.039527674694003916,373.74240718259813,0.5544891136676868
5670,15,0.1,2,1,-0.04202516562900319,369.6144131690881,0.5453033675375972
5671,15,0.1,2,2,-0.061127273654308555,370.43343220808384,0.543572608908239
5672,15,0.1,2,3,-0.0570586892331349,368.5141818349727,0.5385339453069572
5673,15,0.1,2,4,-0.03471325173799267,373.6983881386863,0.5558628373104975
5674,15,0.1,2,5,-0.048466498743785315,370.3713544422992,0.5472518084193737
5675,15,0.1,2,6,-0.042871985449514184,372.43487758488163,0.5527258152606853
5676,15,0.1,2,7,-0.06288930628209609,372.5088140239632,0.5465049923038244
5677,15,0.1,2,8,-0.0421903744154565,373.6845110996812,0.5551841278824087
5678,15,0.1,2,9,-0.02062676641152883,375.32648870910936,0.5606070370045012
5679,15,0.1,2,10,-0.03893607935877332,373.15503626974584,0.5539690363772881
5680,15,0.1,2,11,-0.058717065381270084,375.4406616463759,0.5559302977899016
5681,15,0.1,2,12,-0.05997149926193201,378.6286434078181,0.56442749046762
5682,15,0.1,2,13,-0.06893396267935949,371.06492633218136,0.5430794905346544
5683,15,0.1,2,14,-0.04837658604365234,372.60273038481165,0.5512772034290319
5684,15,0.1,2,15,-0.05766754943897478,369.31211643243677,0.5424116199583006
5685,15,0.1,2,16,-0.02548124928985984,378.92789243544144,0.5686928746026375
5686,15,0.1,2,17,-0.054165648288859565,374.8791624291719,0.5557275140865879
5687,15,0.1,2,18,-0.07460583592584653,367.3061057713315,0.5304027018241171
5688,15,0.1,2,19,-0.07068419136134174,370.44171444275065,0.5401989303581362
5689,15,0.1,2,20,0.13686519771463432,299.9823281697813,0.40628832436769
5690,15,0.1,2,21,-0.07684026395977649,372.0507089811956,0.5439989632009751
5691,15,0.1,2,22,-0.022629718505457155,377.5295997065732,0.5645099572957865
5692,15,0.1,2,23,-0.05018724500552938,370.06195286329097,0.5443817596349251
5693,15,0.1,2,24,0.15278321256700877,263.52068666896326,0.3598992342877542
5694,15,0.1,2,25,-0.060251412369571176,372.52733765523,0.5468958088612622
5695,15,0.1,2,26,-0.045017652467570356,370.5123779929522,0.5460870649053643
5696,15,0.1,2,27,-0.030815358019918873,375.0811421636368,0.5600184924871731
5697,15,0.1,2,28,-0.028128280352809,371.9858477057353,0.5523915510626981
