,ws_p,ws_k,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
0,0.1,2,0.05,0,opinion-timeseries,dem,"[67.       67.       67.       35.068966 35.068966 35.068966 35.068966
 61.448277 61.448277 61.448277 60.655174 59.896553 59.689655 59.689655
 59.41379  59.41379  59.41379  59.41379  59.068966 58.827587 37.931034
 37.931034 55.206898 39.37931  29.48276  22.51724  17.931034 17.931034
 17.931034 17.931034 17.931034 17.931034 17.931034 17.931034 14.344828
 26.413794 26.413794 34.896553 34.896553 34.896553 34.896553 37.13793
 37.13793  37.13793  37.13793  43.310345 48.03448  52.103447 59.103447
 59.103447 62.344826 62.344826 62.344826 62.344826 65.72414  65.72414
 65.72414  65.72414  65.72414  65.72414  69.       72.13793  72.13793
 61.310345]",0.0036123726881724027,368.62648245992625,0.4643323067343091
1,0.1,2,0.05,0,opinion-timeseries,mod,"[51.       84.82758  90.55173  85.68965  85.68965  85.68965  85.68965
 85.68965  85.82758  85.89655  85.89655  85.89655  85.89655  85.89655
 85.89655  85.89655  85.89655  85.89655  85.89655  85.89655  81.17242
 82.17242  82.206894 78.344826 76.413795 74.86207  73.86207  74.86207
 74.86207  74.86207  74.86207  74.86207  74.86207  74.86207  73.31035
 74.31035  74.31035  74.31035  73.06896  73.       73.       74.
 74.       74.       74.       74.       74.       74.       74.
 74.       74.       74.       74.       74.       74.       74.
 74.       74.       74.       74.       74.       74.       73.
 73.      ]",-0.36666974132767804,103.05009313083856,0.13801502197365523
2,0.1,2,0.05,0,opinion-timeseries,rep,"[59.       90.10345  91.89655  82.206894 82.206894 70.55173  70.55173
 70.55173  73.44827  74.75862  65.965515 65.965515 65.965515 65.965515
 65.965515 65.965515 65.965515 57.482758 57.482758 57.482758 57.482758
 60.86207  62.62069  62.62069  57.896553 54.172413 51.655174 54.724136
 54.724136 56.689655 57.96552  55.275864 52.86207  53.58621  53.58621
 53.58621  53.793102 53.793102 49.       44.41379  40.62069  42.310345
 42.310345 46.068966 48.655174 50.03448  50.310345 50.37931  50.37931
 50.37931  50.37931  51.275864 51.275864 51.275864 51.275864 51.275864
 51.275864 51.275864 51.275864 51.275864 51.275864 51.275864 47.517242
 47.517242]",-0.8469888934632065,141.7490179089606,0.2508978074547751
3,0.1,2,0.05,1,opinion-timeseries,dem,"[70.       70.       70.       38.766666 38.766666 38.766666 38.766666
 61.133335 61.133335 61.133335 61.133335 61.133335 61.133335 61.133335
 61.133335 61.133335 61.133335 61.133335 61.133335 61.133335 44.266666
 44.266666 62.       50.3      42.966667 37.6      34.2      34.2
 34.2      34.2      34.2      34.2      34.2      34.2      31.3
 42.433334 42.433334 52.866665 52.866665 52.866665 52.866665 53.633335
 53.633335 53.633335 53.633335 64.36667  71.6      76.26667  79.566666
 79.566666 80.3      80.3      80.3      80.3      80.53333  80.53333
 80.53333  80.53333  80.53333  80.53333  80.63333  80.666664 80.666664
 67.933334]",0.32447164366595965,274.68897358193124,0.3449324618496402
4,0.1,2,0.05,1,opinion-timeseries,mod,"[35.       63.533333 74.3      70.166664 70.166664 70.166664 70.166664
 70.166664 74.166664 76.8      76.8      76.8      76.8      76.8
 76.8      76.8      76.8      76.8      76.8      76.8      70.333336
 72.96667  74.9      69.03333  64.666664 61.066666 57.6      59.766666
 59.766666 61.766666 63.1      64.1      64.7      64.833336 61.033333
 62.5      63.1      63.133335 59.466667 55.7      52.266666 50.3
 50.3      51.766666 53.1      54.566666 55.333332 55.766666 55.866665
 55.866665 55.933334 55.933334 55.933334 55.933334 55.933334 55.933334
 55.933334 55.933334 55.933334 55.933334 55.933334 55.933334 52.7
 49.1     ]",-0.2714354380715451,145.94266421621646,0.2200413000103088
5,0.1,2,0.05,1,opinion-timeseries,rep,"[51.       87.       91.2      85.433334 85.433334 78.333336 78.333336
 78.333336 79.73333  81.2      76.7      76.7      76.7      76.7
 76.7      76.7      76.7      70.166664 70.166664 70.166664 70.166664
 70.9      72.066666 72.066666 66.2      59.3      52.9      53.833332
 53.833332 55.3      56.866665 53.4      50.3      51.1      51.1
 51.1      51.6      51.6      48.566666 44.833332 41.6      41.6
 41.6      42.533333 43.6      44.7      45.333332 45.5      45.5
 45.5      45.566666 45.566666 45.566666 45.566666 45.566666 45.566666
 45.566666 45.566666 45.566666 45.566666 45.566666 45.566666 43.8
 43.8     ]",-0.8128516238485067,170.08068919201145,0.3191556653761953
6,0.1,2,0.05,2,opinion-timeseries,dem,"[79.       79.       79.       46.       46.       46.       46.
 68.46667  68.46667  68.46667  68.46667  68.46667  68.46667  68.46667
 68.46667  68.46667  68.46667  68.46667  68.46667  68.46667  44.7
 44.7      63.5      46.333332 36.966667 31.966667 29.333334 29.333334
 29.333334 29.333334 29.333334 29.333334 29.333334 29.333334 28.166666
 39.966667 39.966667 49.5      49.5      49.5      49.5      51.733334
 51.733334 51.733334 51.733334 62.366665 70.2      76.46667  83.666664
 83.666664 85.566666 85.566666 85.566666 85.566666 86.5      86.5
 86.5      86.5      86.5      86.5      86.9      86.96667  86.96667
 74.4     ]",0.17097306002592394,276.60530475593015,0.3268243404430492
7,0.1,2,0.05,2,opinion-timeseries,mod,"[47.       75.566666 84.333336 75.73333  75.73333  75.73333  75.73333
 75.73333  77.73333  78.23333  78.23333  78.23333  78.23333  78.23333
 78.23333  78.23333  78.23333  78.23333  78.23333  78.23333  66.23333
 68.4      68.9      59.066666 51.266666 44.233334 39.3      39.366665
 39.366665 39.4      39.466667 39.5      39.5      39.5      36.266666
 36.266666 36.266666 36.266666 34.033333 32.4      31.466667 31.166666
 31.166666 31.166666 31.166666 32.966667 34.7      36.566666 36.566666
 36.566666 36.566666 38.333332 38.333332 38.333332 38.333332 38.333332
 38.333332 38.333332 38.333332 38.333332 38.333332 38.333332 37.866665
 37.7     ]",-0.6112412074962578,271.48074916589053,0.40003095037601116
8,0.1,2,0.05,2,opinion-timeseries,rep,"[49.       87.23333  89.066666 80.4      80.4      68.4      68.4
 68.4      75.2      77.86667  68.76667  68.76667  68.76667  68.76667
 68.76667  68.76667  68.76667  61.366665 61.366665 61.366665 61.2
 66.1      70.       70.       63.8      58.566666 54.9      59.366665
 59.366665 63.1      66.9      65.86667  64.53333  67.8      67.8
 67.8      69.       69.       61.1      54.266666 48.866665 48.6
 48.6      56.733334 61.833332 64.73333  66.433334 67.76667  67.76667
 67.76667  68.166664 68.166664 68.166664 68.166664 68.166664 68.166664
 68.166664 68.166664 68.166664 68.166664 68.166664 68.166664 58.2
 58.166668]",-0.3729977813230671,97.54338707433764,0.13754849564310315
9,0.1,2,0.05,3,opinion-timeseries,dem,"[71.       71.       71.       38.066666 38.066666 38.066666 38.066666
 63.833332 63.833332 63.833332 63.833332 63.833332 63.833332 63.833332
 63.833332 63.833332 63.833332 63.833332 63.833332 63.833332 45.8
 45.8      61.1      46.733334 36.266666 28.666666 23.766666 23.766666
 23.766666 23.766666 23.766666 23.766666 23.766666 23.766666 20.3
 34.9      34.9      46.       46.       46.       46.       44.966667
 44.966667 44.966667 44.966667 55.9      63.1      69.26667  76.7
 76.7      79.13333  79.13333  79.13333  79.13333  81.066666 81.066666
 81.066666 81.066666 81.066666 81.066666 81.86667  82.333336 82.333336
 72.2     ]",0.19356412395974842,309.6775597914646,0.37535489254764876
10,0.1,2,0.05,3,opinion-timeseries,mod,"[53.       83.63333  88.2      80.2      80.2      80.2      80.2
 80.2      80.5      80.566666 80.566666 80.566666 80.566666 80.566666
 80.566666 80.566666 80.566666 80.566666 80.566666 80.566666 74.3
 74.3      74.3      68.933334 63.466667 59.033333 55.133335 55.133335
 55.133335 55.133335 55.133335 55.133335 55.133335 55.133335 51.733334
 51.733334 51.733334 51.733334 49.166668 46.566666 44.766666 43.7
 43.7      43.7      43.7      45.4      47.3      49.733334 49.733334
 49.733334 49.733334 51.5      51.5      51.5      51.5      51.5
 51.5      51.5      51.5      51.5      51.5      51.5      48.466667
 46.233334]",-0.5987285885392963,194.06967418898677,0.30171004758968023
